ts,open,high,low,close
2010-11-14,1195.5,1200.0,1195.0,1198.0
2010-11-15,1197.75,1205.5,1188.75,1193.25
2010-11-16,1193.5,1194.5,1170.75,1179.25
2010-11-17,1179.0,1186.5,1173.25,1186.25
2010-11-18,1186.0,1199.5,1184.25,1195.0
2010-11-19,1194.75,1199.75,1187.5,1198.0
2010-11-21,1204.0,1205.75,1202.75,1204.25
2010-11-22,1204.0,1205.5,1182.5,1193.0
2010-11-23,1193.25,1194.25,1174.75,1183.75
2010-11-24,1184.0,1197.25,1175.5,1195.25
2010-11-25,1195.0,1200.25,1192.75,1196.5
2010-11-26,1196.25,1196.25,1182.25,1183.0
2010-11-28,1190.0,1192.25,1184.0,1189.25
2010-11-29,1189.0,1193.5,1172.25,1182.25
2010-11-30,1182.5,1187.75,1173.0,1180.5
2010-12-01,1180.75,1207.5,1180.5,1204.5
2010-12-02,1204.75,1223.25,1202.0,1220.0
2010-12-03,1220.25,1227.0,1213.0,1223.5
2010-12-05,1224.75,1226.5,1221.25,1222.75
2010-12-06,1223.0,1225.25,1216.25,1224.75
2010-12-07,1224.5,1234.75,1219.25,1219.5
2010-12-08,1219.75,1229.0,1217.25,1229.0
2010-12-09,1228.75,1232.75,1221.25,1230.5
2010-12-10,1230.75,1236.0,1227.25,1235.0
2010-12-12,1236.5,1236.75,1232.25,1234.5
2010-12-13,1234.25,1241.75,1233.75,1234.5
2010-12-14,1234.75,1242.0,1232.75,1235.25
2010-12-15,1235.5,1239.25,1228.75,1231.25
2010-12-16,1231.5,1239.5,1227.75,1237.5
2010-12-17,1237.25,1240.75,1234.75,1239.75
2010-12-19,1239.5,1240.5,1234.0,1234.75
2010-12-20,1235.0,1246.0,1234.0,1245.0
2010-12-21,1245.25,1251.0,1244.75,1249.75
2010-12-22,1249.5,1255.5,1249.0,1255.25
2010-12-23,1255.0,1255.5,1249.25,1252.5
2010-12-26,1249.25,1250.25,1245.5,1250.25
2010-12-27,1250.5,1254.5,1245.5,1254.0
2010-12-28,1254.25,1256.5,1251.5,1254.75
2010-12-29,1255.0,1258.25,1254.25,1255.0
2010-12-30,1255.25,1257.25,1251.5,1255.5
2010-12-31,1255.25,1256.0,1249.5,1254.25
2011-01-02,1256.25,1260.75,1255.75,1260.0
2011-01-03,1259.75,1272.25,1258.5,1266.0
2011-01-04,1265.75,1269.75,1258.25,1261.75
2011-01-05,1262.0,1273.5,1255.75,1271.0
2011-01-06,1270.75,1276.75,1266.25,1271.0
2011-01-07,1270.75,1273.75,1257.75,1267.0
2011-01-09,1265.25,1267.75,1263.5,1267.5
2011-01-10,1267.25,1267.75,1258.0,1267.25
2011-01-11,1267.0,1273.5,1265.25,1270.75
2011-01-12,1271.0,1284.0,1269.25,1282.0
2011-01-13,1282.25,1284.25,1276.25,1281.5
2011-01-14,1281.75,1289.75,1274.25,1289.25
2011-01-16,1289.25,1291.25,1286.0,1286.0
2011-01-17,1285.75,1287.75,1282.75,1286.5
2011-01-18,1286.75,1296.0,1284.75,1294.25
2011-01-19,1294.5,1296.0,1275.0,1279.75
2011-01-20,1279.5,1280.0,1267.5,1275.25
2011-01-21,1275.0,1287.75,1273.25,1280.0
2011-01-23,1279.75,1283.25,1277.75,1283.0
2011-01-24,1282.75,1289.5,1278.25,1288.5
2011-01-25,1288.75,1291.25,1277.0,1290.25
2011-01-26,1290.0,1296.5,1288.25,1294.5
2011-01-27,1294.25,1298.0,1289.25,1292.25
2011-01-28,1292.0,1299.25,1270.25,1270.25
2011-01-30,1269.75,1274.75,1262.25,1274.25
2011-01-31,1274.0,1288.0,1267.5,1286.0
2011-02-01,1285.75,1305.75,1282.75,1302.5
2011-02-02,1302.75,1305.25,1296.75,1298.0
2011-02-03,1298.25,1305.5,1291.5,1304.0
2011-02-04,1304.25,1308.0,1298.0,1307.25
2011-02-06,1307.25,1309.0,1306.0,1308.0
2011-02-07,1307.75,1319.75,1306.0,1316.0
2011-02-08,1315.75,1322.0,1313.0,1318.25
2011-02-09,1318.0,1321.75,1311.75,1319.25
2011-02-10,1319.0,1320.25,1308.5,1314.25
2011-02-11,1314.0,1328.5,1310.0,1327.25
2011-02-13,1326.0,1328.5,1325.5,1328.25
2011-02-14,1328.5,1331.0,1324.5,1326.5
2011-02-15,1326.75,1332.5,1322.25,1331.25
2011-02-16,1331.0,1335.75,1327.5,1332.0
2011-02-17,1331.75,1339.75,1328.5,1338.75
2011-02-18,1339.0,1342.75,1335.0,1342.75
2011-02-20,1341.75,1342.25,1338.5,1340.25
2011-02-21,1340.0,1342.25,1326.0,1326.75
2011-02-22,1327.0,1334.25,1310.25,1318.25
2011-02-23,1318.0,1320.25,1297.5,1309.25
2011-02-24,1309.5,1309.75,1292.5,1307.75
2011-02-25,1307.5,1319.75,1305.25,1318.5
2011-02-27,1318.0,1318.0,1313.0,1316.0
2011-02-28,1316.25,1329.5,1313.75,1328.25
2011-03-01,1328.5,1336.25,1296.0,1297.25
2011-03-02,1297.0,1313.5,1297.0,1310.25
2011-03-03,1310.5,1332.75,1310.0,1330.5
2011-03-04,1330.75,1334.25,1311.25,1319.75
2011-03-06,1320.24,1323.25,1314.0,1314.25
2011-03-07,1314.75,1327.0,1302.75,1314.0
2011-03-08,1313.75,1325.5,1306.0,1317.5
2011-03-09,1317.75,1324.75,1301.75,1303.0
2011-03-10,1303.25,1307.75,1287.5,1292.75
2011-03-11,1293.0,1303.5,1278.5,1300.75
2011-03-13,1298.99,1300.5,1288.25,1295.0
2011-03-14,1295.25,1298.5,1267.0,1269.25
2011-03-15,1269.5,1283.5,1251.0,1271.75
2011-03-16,1272.0,1279.5,1241.25,1253.75
2011-03-17,1254.0,1279.25,1252.5,1278.0
2011-03-18,1278.25,1287.25,1270.75,1274.5
2011-03-20,1277.25,1284.0,1274.75,1281.75
2011-03-21,1281.5,1296.0,1280.75,1291.5
2011-03-22,1291.25,1296.25,1283.0,1283.75
2011-03-23,1284.0,1295.75,1279.0,1292.0
2011-03-24,1291.75,1313.75,1289.25,1308.75
2011-03-25,1308.5,1314.5,1305.25,1310.5
2011-03-27,1310.25,1313.0,1307.25,1310.25
2011-03-28,1310.5,1315.0,1301.75,1302.5
2011-03-29,1302.25,1318.25,1300.25,1317.5
2011-03-30,1317.25,1327.5,1317.25,1322.0
2011-03-31,1322.25,1325.75,1320.5,1322.25
2011-04-01,1322.0,1333.5,1321.0,1327.25
2011-04-03,1327.5,1329.25,1325.0,1325.25
2011-04-04,1325.5,1332.5,1324.5,1327.0
2011-04-05,1326.75,1334.0,1323.0,1328.25
2011-04-06,1328.5,1336.25,1326.75,1328.5
2011-04-07,1328.75,1335.0,1322.25,1330.5
2011-04-08,1330.25,1335.5,1318.75,1324.0
2011-04-10,1326.5,1329.5,1324.75,1326.5
2011-04-11,1326.75,1329.75,1311.5,1312.25
2011-04-12,1312.0,1315.25,1305.25,1310.5
2011-04-13,1310.75,1318.5,1305.0,1308.0
2011-04-14,1308.25,1313.0,1298.25,1310.5
2011-04-15,1310.25,1319.0,1305.75,1318.0
2011-04-17,1318.0,1318.25,1314.5,1317.25
2011-04-18,1317.0,1317.5,1290.25,1294.25
2011-04-19,1294.5,1315.75,1294.0,1315.5
2011-04-20,1315.75,1335.25,1315.25,1333.75
2011-04-21,1334.0,1337.5,1328.75,1330.5
2011-04-24,1329.75,1334.25,1329.75,1333.0
2011-04-25,1332.75,1335.25,1327.25,1330.0
2011-04-26,1330.25,1346.0,1328.0,1343.0
2011-04-27,1342.75,1356.0,1340.25,1355.75
2011-04-28,1355.5,1358.25,1346.75,1354.75
2011-04-29,1355.0,1363.5,1352.75,1363.0
2011-05-01,1364.5,1372.75,1360.0,1372.25
2011-05-02,1372.0,1372.25,1353.5,1354.0
