ts,open,high,low,close
2010-01-03,1.4301,1.4337,1.4257,1.429
2010-01-04,1.4289,1.4456,1.4269,1.4427
2010-01-05,1.4426,1.4483,1.4334,1.4355
2010-01-06,1.4356,1.4447,1.4283,1.44
2010-01-07,1.4399,1.4404,1.4299,1.4313
2010-01-08,1.4314,1.4439,1.4263,1.4409
2010-01-10,1.4428,1.4533,1.4408,1.4498
2010-01-11,1.4499,1.4556,1.4453,1.4483
2010-01-12,1.4484,1.4546,1.4456,1.4489
2010-01-13,1.4488,1.4579,1.4463,1.4533
2010-01-14,1.4532,1.4555,1.4406,1.4418
2010-01-15,1.4417,1.4445,1.4337,1.4386
2010-01-17,1.4353,1.4378,1.4335,1.4374
2010-01-18,1.4375,1.4414,1.4365,1.4394
2010-01-19,1.4393,1.4411,1.419,1.4212
2010-01-20,1.4211,1.422,1.4067,1.4096
2010-01-21,1.4095,1.4143,1.403,1.4123
2010-01-22,1.4124,1.4182,1.4086,1.4138
2010-01-24,1.4156,1.4174,1.4134,1.4167
2010-01-25,1.4168,1.4194,1.4088,1.4092
2010-01-26,1.4091,1.4111,1.4042,1.4076
2010-01-27,1.4075,1.4087,1.394,1.4013
2010-01-28,1.4012,1.4051,1.3912,1.393
2010-01-29,1.3931,1.3987,1.3862,1.3862
2010-01-31,1.3866,1.3887,1.3852,1.3881
2010-02-01,1.388,1.3938,1.3873,1.3916
2010-02-02,1.3915,1.3976,1.3902,1.3955
2010-02-03,1.3956,1.4025,1.3866,1.3889
2010-02-04,1.3888,1.3896,1.3669,1.3711
2010-02-05,1.3712,1.3742,1.3585,1.3678
2010-02-07,1.3658,1.3667,1.3621,1.3646
2010-02-08,1.3645,1.3713,1.3622,1.3692
2010-02-09,1.3693,1.3839,1.3689,1.3754
2010-02-10,1.3753,1.3812,1.3677,1.3792
2010-02-11,1.3791,1.3801,1.3595,1.3669
2010-02-12,1.367,1.3686,1.3531,1.3631
2010-02-14,1.3625,1.3631,1.3605,1.3609
2010-02-15,1.361,1.3649,1.3579,1.3643
2010-02-16,1.3644,1.3782,1.3634,1.3779
2010-02-17,1.3778,1.3788,1.3557,1.3568
2010-02-18,1.3569,1.3654,1.3442,1.3481
2010-02-19,1.3482,1.3617,1.3455,1.3613
2010-02-21,1.3636,1.3653,1.3601,1.3637
2010-02-22,1.3638,1.364,1.3574,1.3625
2010-02-23,1.3624,1.3691,1.3496,1.3539
2010-02-24,1.3538,1.3625,1.345,1.3471
2010-02-25,1.347,1.3603,1.3456,1.3584
2010-02-26,1.3585,1.3682,1.3549,1.363
2010-02-28,1.3623,1.3649,1.359,1.3604
2010-03-01,1.3603,1.3652,1.3459,1.3533
2010-03-02,1.3532,1.3652,1.3436,1.3636
2010-03-03,1.3637,1.3735,1.3591,1.3681
2010-03-04,1.368,1.3693,1.355,1.359
2010-03-05,1.3589,1.3629,1.3529,1.362
2010-03-07,1.363,1.369,1.3624,1.3677
2010-03-08,1.3678,1.3702,1.3604,1.3618
2010-03-09,1.3619,1.3627,1.3536,1.3599
2010-03-10,1.3598,1.3678,1.3543,1.364
2010-03-11,1.3641,1.3695,1.362,1.3691
2010-03-12,1.3692,1.3795,1.3685,1.3767
2010-03-14,1.3776,1.3777,1.3735,1.3739
2010-03-15,1.3737,1.376,1.3639,1.3683
2010-03-16,1.3682,1.3782,1.3655,1.3769
2010-03-17,1.377,1.3817,1.371,1.3724
2010-03-18,1.3725,1.3728,1.3585,1.3619
2010-03-19,1.3618,1.3626,1.3502,1.3528
2010-03-21,1.3536,1.3537,1.3508,1.3518
2010-03-22,1.3519,1.3568,1.3462,1.3553
2010-03-23,1.3552,1.3562,1.3445,1.3464
2010-03-24,1.3463,1.3469,1.3304,1.3328
2010-03-25,1.3327,1.3386,1.3266,1.3329
