ts,open,high,low,close
2010-11-14,2135.0,2142.0,2134.0,2139.75
2010-11-15,2139.5,2150.5,2113.0,2119.5
2010-11-16,2119.5,2124.25,2083.5,2099.0
2010-11-17,2099.0,2112.25,2088.25,2111.75
2010-11-18,2111.5,2146.5,2108.5,2129.5
2010-11-19,2129.5,2138.25,2119.75,2133.0
2010-11-21,2143.0,2148.75,2141.75,2145.5
2010-11-22,2145.25,2155.25,2120.75,2147.75
2010-11-23,2148.0,2149.5,2104.75,2126.5
2010-11-24,2126.5,2165.25,2113.25,2157.0
2010-11-25,2157.25,2163.25,2153.0,2156.75
2010-11-26,2156.5,2160.0,2134.75,2144.0
2010-11-29,2155.5,2160.0,2117.75,2137.0
2010-11-30,2137.0,2146.5,2109.5,2117.75
2010-12-01,2117.75,2173.75,2117.75,2158.75
2010-12-02,2158.5,2189.5,2156.75,2186.0
2010-12-03,2186.25,2194.75,2168.0,2187.5
2010-12-05,2187.5,2193.5,2185.0,2187.75
2010-12-06,2188.5,2195.75,2177.0,2195.25
2010-12-07,2195.25,2216.75,2184.75,2185.25
2010-12-08,2185.25,2207.5,2180.0,2206.5
2010-12-09,2206.75,2213.0,2192.25,2202.0
2010-12-10,2201.75,2216.5,2198.0,2214.25
2010-12-12,2216.0,2216.75,2210.0,2214.0
2010-12-13,2213.75,2225.25,2205.5,2207.5
2010-12-14,2207.75,2219.5,2204.25,2212.75
2010-12-15,2212.5,2223.25,2196.0,2200.75
2010-12-16,2201.0,2224.5,2197.75,2218.75
2010-12-17,2218.75,2226.25,2215.25,2219.5
2010-12-19,2215.5,2217.25,2207.0,2207.5
2010-12-20,2207.5,2229.75,2205.5,2226.5
2010-12-21,2226.75,2236.75,2224.25,2232.25
2010-12-22,2232.25,2238.5,2230.5,2238.0
2010-12-23,2237.75,2238.5,2223.75,2230.75
2010-12-26,2225.5,2228.25,2219.5,2227.5
2010-12-27,2227.5,2234.0,2207.0,2233.0
2010-12-28,2233.0,2236.5,2221.25,2228.75
2010-12-29,2228.75,2235.25,2228.0,2230.5
2010-12-30,2230.5,2232.0,2221.5,2226.75
2010-12-31,2226.75,2228.0,2207.75,2215.0
2011-01-02,2220.75,2228.5,2219.25,2227.75
2011-01-03,2227.75,2267.5,2225.75,2252.75
2011-01-04,2253.0,2262.5,2236.5,2240.0
2011-01-05,2239.75,2272.0,2229.25,2269.75
