ts,open,high,low,close
2010-01-03,92.97,93.09,92.69,92.74
2010-01-04,92.75,93.21,91.63,91.7
2010-01-05,91.69,92.16,91.25,92.06
2010-01-06,92.05,92.74,91.96,92.28
2010-01-07,92.29,93.77,92.11,93.17
2010-01-08,93.16,93.47,92.28,92.65
2010-01-10,92.6,92.62,92.18,92.34
2010-01-11,92.33,92.66,91.81,92.2
2010-01-12,92.19,92.29,90.72,91.1
2010-01-13,91.09,91.79,90.99,91.76
2010-01-14,91.77,92.03,90.84,91.09
2010-01-15,91.08,91.21,90.6,90.83
2010-01-17,90.78,91.0,90.72,90.9
2010-01-18,90.91,91.06,90.38,90.39
2010-01-19,90.4,91.36,90.31,91.17
2010-01-20,91.16,91.66,90.79,91.58
2010-01-21,91.57,91.87,89.78,89.97
2010-01-22,89.96,90.55,89.81,89.81
2010-01-24,90.23,90.27,89.82,90.09
2010-01-25,90.1,90.55,89.85,89.85
2010-01-26,89.86,90.33,89.14,89.25
2010-01-27,89.26,90.39,89.14,90.35
2010-01-28,90.36,90.55,89.58,89.94
2010-01-29,89.93,90.92,89.8,90.26
2010-01-31,89.89,90.38,89.88,90.21
2010-02-01,90.2,90.94,90.11,90.77
2010-02-02,90.76,90.85,90.26,90.45
2010-02-03,90.44,91.28,90.07,90.9
2010-02-04,90.91,91.07,88.55,89.66
2010-02-05,89.67,89.89,88.82,89.24
2010-02-07,89.43,89.46,89.14,89.34
2010-02-08,89.33,89.56,89.14,89.38
2010-02-09,89.37,90.01,89.32,89.72
2010-02-10,89.71,90.14,89.24,89.9
2010-02-11,89.89,90.04,89.57,89.61
2010-02-12,89.62,90.42,89.6,89.97
2010-02-14,90.11,90.23,89.98,90.15
2010-02-15,90.16,90.2,89.91,89.94
2010-02-16,89.95,90.51,89.7,90.32
2010-02-17,90.31,91.38,90.15,90.95
2010-02-18,90.96,92.09,90.56,91.74
2010-02-19,91.75,92.15,91.49,91.52
2010-02-21,91.52,91.9,91.48,91.64
2010-02-22,91.64,91.72,90.94,91.06
2010-02-23,91.07,91.13,89.9,90.19
2010-02-24,90.18,90.36,89.46,89.68
2010-02-25,89.67,89.73,88.8,89.24
2010-02-26,89.25,89.4,88.74,88.96
2010-02-28,88.86,89.2,88.81,89.1
2010-03-01,89.09,89.48,88.98,89.35
2010-03-02,89.36,89.37,88.47,88.71
2010-03-03,88.72,88.99,88.32,88.45
2010-03-04,88.46,89.35,88.14,89.24
2010-03-05,89.25,90.59,89.2,90.28
2010-03-07,90.4,90.68,90.34,90.42
2010-03-08,90.41,90.49,89.88,90.03
2010-03-09,90.02,90.11,89.63,90.01
2010-03-10,90.0,90.82,89.94,90.36
2010-03-11,90.37,90.74,90.31,90.62
2010-03-12,90.61,91.08,90.17,90.55
2010-03-14,90.84,90.84,90.54,90.68
2010-03-15,90.69,90.8,90.13,90.24
2010-03-16,90.23,90.73,89.98,90.37
2010-03-17,90.38,90.71,90.03,90.17
2010-03-18,90.18,90.8,89.76,90.47
2010-03-19,90.48,90.72,90.33,90.54
2010-03-21,90.49,90.56,90.41,90.44
2010-03-22,90.43,90.77,89.83,90.33
2010-03-23,90.32,90.57,90.13,90.52
2010-03-24,90.53,92.4,90.47,91.83
2010-03-25,91.84,92.95,91.77,92.47
2010-03-26,92.46,92.89,92.3,92.49
2010-03-28,92.44,92.71,92.35,92.64
2010-03-29,92.63,92.79,92.16,92.31
2010-03-30,92.3,93.34,92.12,93.24
2010-03-31,93.23,93.64,92.85,93.38
2010-04-01,93.37,94.04,93.32,93.74
2010-04-02,93.73,94.69,93.71,94.61
2010-04-04,94.68,94.78,94.31,94.39
2010-04-05,94.4,94.59,94.03,94.18
2010-04-06,94.17,94.27,93.56,94.18
2010-04-07,94.17,94.25,93.15,93.28
2010-04-08,93.29,93.62,92.83,93.47
2010-04-09,93.48,93.78,93.11,93.18
2010-04-11,92.91,93.31,92.9,93.18
2010-04-12,93.17,93.61,92.69,92.76
2010-04-13,92.77,93.41,92.57,93.25
2010-04-14,93.26,93.72,92.82,93.5
2010-04-15,93.49,93.49,92.59,92.62
2010-04-16,92.61,93.11,91.9,92.17
2010-04-18,91.86,92.21,91.82,92.09
2010-04-19,92.1,92.7,91.59,92.63
2010-04-20,92.64,93.39,92.54,93.16
2010-04-21,93.15,93.45,92.74,92.75
2010-04-22,92.74,93.63,92.74,93.47
2010-04-23,93.46,94.33,93.33,93.96
2010-04-25,94.0,94.36,93.93,94.28
2010-04-26,94.29,94.33,93.74,93.79
2010-04-27,93.78,94.03,92.81,93.22
2010-04-28,93.21,94.32,93.09,93.96
2010-04-29,93.95,94.26,93.85,94.08
2010-04-30,94.09,94.58,93.83,93.84
2010-05-02,93.9,94.14,93.84,93.89
2010-05-03,93.88,94.98,93.87,94.9
2010-05-04,94.91,94.96,94.32,94.75
2010-05-05,94.74,94.98,93.54,93.9
2010-05-06,93.89,93.98,88.26,92.46
2010-05-07,92.45,93.11,90.84,91.6
2010-05-09,92.44,92.88,91.69,92.6
2010-05-10,92.61,93.54,92.53,92.93
2010-05-11,92.92,93.14,92.21,92.69
2010-05-12,92.68,93.28,92.45,93.17
2010-05-13,93.18,93.64,92.51,92.77
2010-05-14,92.78,93.09,91.8,92.45
2010-05-16,92.25,92.41,91.96,92.01
2010-05-17,92.0,92.69,91.76,92.38
2010-05-18,92.37,92.97,91.55,91.89
