ts,open,high,low,close
2010-11-14,85.76,85.89,85.33,85.5
2010-11-15,85.49,86.18,84.69,85.03
2010-11-16,85.02,85.15,82.54,82.84
2010-11-17,82.83,82.97,80.65,81.94
2010-11-18,81.93,82.9,81.75,82.18
2010-11-19,82.19,83.31,81.08,81.99
2010-11-21,82.4,82.6,82.4,82.58
2010-11-22,82.57,82.86,80.68,81.1
2010-11-23,81.1,81.95,80.28,81.65
2010-11-24,81.64,84.22,81.15,83.72
2010-11-25,83.73,84.51,83.44,83.84
2010-11-26,83.83,84.0,82.77,83.88
2010-11-28,83.79,84.41,83.64,84.2
2010-11-29,84.21,85.88,83.59,85.12
2010-11-30,85.15,85.71,83.51,84.39
2010-12-01,84.38,86.93,84.34,86.6
2010-12-02,86.63,88.11,86.27,87.73
2010-12-03,87.72,89.47,87.14,89.4
2010-12-05,89.4,89.41,89.13,89.31
2010-12-06,89.32,89.73,88.52,88.95
2010-12-07,88.94,90.73,87.6,87.66
2010-12-08,87.66,89.61,87.32,89.4
2010-12-09,89.4,89.85,88.2,89.01
2010-12-10,89.0,89.46,87.61,88.24
2010-12-12,88.29,88.76,88.18,88.5
2010-12-13,88.52,89.95,88.35,88.87
2010-12-14,88.86,89.46,88.0,88.43
2010-12-15,88.44,89.65,87.42,89.05
2010-12-16,89.06,89.27,88.31,88.85
2010-12-17,88.86,89.16,87.69,88.61
2010-12-19,88.85,88.97,88.33,88.34
2010-12-20,88.34,89.72,87.72,89.38
2010-12-21,89.37,90.07,89.05,89.96
2010-12-22,89.97,90.77,89.83,90.59
2010-12-23,90.58,91.71,90.31,91.51
2010-12-24,91.51,91.76,90.27,90.75
2010-12-26,91.18,91.47,91.04,91.42
2010-12-27,91.41,91.85,90.49,91.07
2010-12-28,91.07,91.64,90.91,91.28
2010-12-29,91.27,91.51,90.77,91.23
2010-12-30,91.22,91.37,89.0,89.64
2010-12-31,89.64,92.03,89.03,91.26
2011-01-02,91.28,91.8,91.24,91.64
2011-01-03,91.65,92.55,91.27,91.61
2011-01-04,91.6,92.05,88.35,89.16
2011-01-05,89.15,90.82,88.08,90.25
2011-01-06,90.26,90.44,87.85,88.71
2011-01-07,88.71,89.45,87.23,88.39
2011-01-09,89.65,89.65,89.04,89.05
2011-01-10,89.06,89.74,88.12,89.16
2011-01-11,89.15,91.37,88.91,91.2
2011-01-12,91.21,93.06,90.78,92.88
2011-01-13,92.87,93.24,91.83,92.09
2011-01-14,92.1,92.74,91.15,92.42
2011-01-16,92.32,92.5,92.28,92.28
2011-01-17,92.28,92.3,91.76,92.16
2011-01-18,92.16,92.86,91.46,92.44
2011-01-19,92.45,92.98,91.31,91.67
2011-01-20,91.67,91.73,88.84,89.41
2011-01-21,89.42,90.2,88.86,89.12
2011-01-23,89.32,89.51,89.15,89.48
2011-01-24,89.47,89.6,87.25,87.55
2011-01-25,87.55,87.83,86.11,86.51
2011-01-26,86.5,87.76,86.02,87.1
2011-01-27,87.11,87.36,85.11,85.47
2011-01-28,85.48,89.69,85.39,89.43
2011-01-30,89.9,90.33,89.62,89.72
2011-01-31,89.73,92.81,88.39,92.01
2011-02-01,92.01,92.42,90.31,90.69
2011-02-02,90.69,91.75,90.07,91.35
2011-02-03,91.36,92.03,90.0,90.84
2011-02-04,90.82,91.64,88.45,88.98
2011-02-06,89.43,89.5,88.97,89.1
2011-02-07,89.1,89.43,87.17,87.26
2011-02-08,87.27,88.09,85.87,87.35
2011-02-09,87.35,90.41,86.36,90.34
2011-02-10,90.33,90.94,89.29,90.36
2011-02-11,90.37,90.89,88.67,89.02
2011-02-13,89.24,89.45,89.12,89.26
2011-02-14,89.25,90.36,88.48,89.03
2011-02-15,89.04,89.55,87.09,87.79
2011-02-16,87.79,88.75,87.09,87.93
2011-02-17,87.94,89.22,87.34,88.86
2011-02-18,88.86,90.94,88.41,89.91
2011-02-20,91.6,91.6,91.16,91.28
2011-02-21,91.29,98.0,91.26,96.54
2011-02-22,96.53,98.21,93.49,95.45
2011-02-23,95.46,99.93,95.4,98.64
2011-02-24,98.64,103.32,95.62,97.75
2011-02-25,97.75,99.17,96.14,98.17
2011-02-27,99.47,99.77,99.3,99.61
2011-02-28,99.61,99.64,96.71,97.37
2011-03-01,97.36,100.67,96.81,100.11
2011-03-02,100.11,102.7,99.2,102.22
2011-03-03,102.23,102.54,100.14,102.0
2011-03-04,102.01,105.13,101.86,105.07
2011-03-06,105.26,106.35,105.22,106.07
2011-03-07,106.07,106.93,104.55,104.93
2011-03-08,104.92,105.77,103.34,104.23
2011-03-09,104.22,106.3,103.9,106.2
2011-03-10,106.18,106.4,101.9,103.67
2011-03-11,103.67,103.68,99.03,101.7
2011-03-13,100.82,101.52,100.47,100.7
2011-03-14,100.72,102.76,99.75,100.37
2011-03-15,100.37,100.89,97.58,97.84
2011-03-16,97.84,100.54,96.95,98.52
2011-03-17,98.52,104.1,98.43,103.67
2011-03-18,103.69,104.39,101.0,102.11
2011-03-20,103.78,104.24,103.5,103.9
2011-03-21,103.9,104.12,102.6,103.32
2011-03-22,103.32,105.35,102.09,105.03
2011-03-23,105.04,106.32,104.37,105.14
2011-03-24,105.12,106.65,104.76,105.52
2011-03-25,105.49,105.9,104.49,105.65
2011-03-27,105.32,105.56,105.23,105.33
2011-03-28,105.33,105.37,103.14,103.18
