ts,open,high,low,close
2010-01-03,1098.45,1102.48,1093.18,1101.68
2010-01-04,1101.78,1123.7,1100.5,1122.8
2010-01-05,1122.73,1128.58,1115.1,1123.45
2010-01-06,1123.58,1140.38,1118.28,1133.2
2010-01-07,1133.18,1135.38,1121.93,1125.18
2010-01-08,1125.15,1139.33,1119.53,1137.73
2010-01-10,1153.2,1158.0,1149.35,1152.58
2010-01-11,1152.55,1161.88,1148.2,1151.98
2010-01-12,1151.83,1158.13,1124.88,1129.73
2010-01-13,1129.75,1145.43,1118.48,1141.45
2010-01-14,1141.48,1146.25,1130.78,1137.9
2010-01-15,1137.88,1139.38,1126.55,1130.68
2010-01-17,1128.15,1134.38,1127.25,1134.15
2010-01-18,1134.18,1139.28,1132.3,1137.38
2010-01-19,1137.33,1141.43,1128.78,1134.08
2010-01-20,1134.1,1134.43,1107.03,1113.55
2010-01-21,1113.58,1117.53,1088.43,1091.8
2010-01-22,1091.78,1098.53,1082.05,1093.13
2010-01-24,1093.3,1099.65,1092.7,1099.08
2010-01-25,1099.1,1104.0,1092.85,1096.28
2010-01-26,1096.25,1102.33,1085.4,1099.25
2010-01-27,1099.28,1099.98,1080.98,1089.23
2010-01-28,1089.28,1096.03,1073.98,1082.48
2010-01-29,1082.45,1090.15,1074.53,1080.85
2010-01-31,1080.2,1084.73,1076.55,1079.4
2010-02-01,1079.38,1107.63,1077.98,1102.55
2010-02-02,1102.53,1118.13,1101.8,1112.35
2010-02-03,1112.38,1124.83,1105.9,1108.88
2010-02-04,1108.93,1110.53,1059.43,1064.55
2010-02-05,1064.6,1068.0,1044.18,1066.03
2010-02-07,1067.55,1069.6,1064.83,1066.93
2010-02-08,1067.03,1073.6,1061.55,1067.8
2010-02-09,1067.83,1083.08,1066.23,1076.28
2010-02-10,1076.25,1082.18,1063.1,1078.08
2010-02-11,1078.1,1097.8,1074.68,1089.55
2010-02-12,1089.58,1093.33,1077.63,1093.28
2010-02-14,1093.3,1097.28,1092.33,1093.15
2010-02-15,1093.2,1107.83,1091.58,1107.48
2010-02-16,1107.45,1121.08,1107.08,1119.23
2010-02-17,1119.25,1127.03,1098.83,1103.1
2010-02-18,1103.08,1123.95,1097.75,1105.73
2010-02-19,1105.75,1126.73,1101.03,1119.05
2010-02-21,1124.55,1130.85,1123.3,1125.48
2010-02-22,1125.5,1127.98,1109.95,1115.13
2010-02-23,1115.15,1121.03,1099.18,1104.83
2010-02-24,1104.85,1106.85,1088.18,1090.98
2010-02-25,1090.95,1109.78,1088.48,1107.85
2010-02-26,1107.88,1118.88,1106.63,1117.45
2010-02-28,1118.5,1120.1,1115.03,1116.73
2010-03-01,1116.75,1123.38,1112.0,1116.03
2010-03-02,1116.08,1137.58,1114.8,1134.58
2010-03-03,1134.63,1144.8,1132.58,1136.2
2010-03-04,1136.15,1141.58,1125.68,1134.03
2010-03-05,1134.0,1140.53,1127.25,1134.7
2010-03-07,1136.2,1137.18,1132.3,1134.7
2010-03-08,1134.75,1137.55,1118.43,1121.23
2010-03-09,1121.28,1125.2,1108.43,1125.03
2010-03-10,1125.05,1127.88,1103.2,1108.18
2010-03-11,1108.23,1113.48,1100.53,1112.43
2010-03-12,1112.33,1119.25,1098.18,1101.55
2010-03-14,1101.82,1105.03,1100.9,1104.63
2010-03-15,1104.58,1110.35,1101.03,1109.58
2010-03-16,1109.63,1128.6,1109.15,1127.28
2010-03-17,1127.33,1133.18,1118.23,1123.08
2010-03-18,1123.05,1129.25,1118.0,1123.35
2010-03-19,1123.38,1126.78,1101.28,1106.73
2010-03-21,1106.55,1107.33,1103.25,1107.1
2010-03-22,1107.13,1108.58,1092.25,1104.53
2010-03-23,1104.5,1107.93,1094.28,1103.9
2010-03-24,1103.88,1105.0,1085.03,1088.2
2010-03-25,1088.13,1095.65,1086.48,1093.38
2010-03-26,1093.4,1109.43,1090.98,1107.25
2010-03-28,1112.85,1112.85,1103.23,1105.68
2010-03-29,1105.7,1114.58,1105.3,1109.95
2010-03-30,1109.93,1113.23,1101.48,1107.25
2010-03-31,1107.28,1117.98,1105.43,1112.13
2010-04-01,1112.18,1127.9,1111.43,1121.15
2010-04-02,1121.1,1126.0,1118.6,1122.0
2010-04-04,1122.5,1126.8,1120.0,1123.58
2010-04-05,1123.53,1133.23,1123.18,1128.03
2010-04-06,1127.98,1138.58,1122.68,1135.05
2010-04-07,1135.08,1153.08,1132.33,1146.63
2010-04-08,1146.58,1153.68,1143.48,1150.03
2010-04-09,1150.13,1164.6,1149.83,1161.33
2010-04-11,1167.0,1169.65,1164.08,1165.38
2010-04-12,1165.43,1167.48,1151.75,1153.33
2010-04-13,1153.28,1157.13,1144.75,1155.05
2010-04-14,1155.03,1161.93,1151.93,1157.05
2010-04-15,1157.0,1161.35,1150.0,1155.33
2010-04-16,1155.35,1157.48,1129.73,1137.18
2010-04-18,1137.45,1137.73,1133.9,1136.18
2010-04-19,1136.2,1137.9,1123.68,1136.6
2010-04-20,1136.58,1145.93,1135.43,1141.43
2010-04-21,1141.48,1150.43,1137.58,1145.78
2010-04-22,1145.8,1149.28,1131.58,1139.88
2010-04-23,1139.85,1157.7,1134.68,1157.4
2010-04-25,1156.95,1159.78,1154.08,1158.55
2010-04-26,1158.53,1158.83,1150.58,1154.48
2010-04-27,1154.53,1172.55,1146.1,1164.98
2010-04-28,1164.88,1174.33,1160.43,1165.28
2010-04-29,1165.23,1175.43,1161.9,1172.73
2010-04-30,1172.78,1181.5,1169.98,1179.03
2010-05-02,1179.1,1179.75,1176.35,1177.83
2010-05-03,1177.78,1187.65,1176.4,1179.28
2010-05-04,1179.33,1192.18,1166.35,1167.5
2010-05-05,1167.58,1177.53,1157.58,1174.58
2010-05-06,1174.68,1211.55,1172.35,1199.9
2010-05-07,1199.85,1213.53,1192.58,1208.05
2010-05-09,1199.35,1205.6,1195.1,1200.85
2010-05-10,1200.8,1204.15,1183.85,1201.53
2010-05-11,1201.5,1234.18,1201.05,1227.48
2010-05-12,1227.53,1248.43,1226.88,1237.5
2010-05-13,1237.35,1242.93,1227.05,1236.23
2010-05-14,1236.28,1249.3,1217.33,1231.88
2010-05-16,1231.87,1238.98,1230.35,1238.65
2010-05-17,1238.68,1242.23,1219.03,1225.43
2010-05-18,1225.48,1229.1,1206.73,1213.1
2010-05-19,1213.15,1220.23,1186.4,1196.73
2010-05-20,1196.68,1197.9,1166.18,1168.9
2010-05-21,1168.7,1187.53,1168.05,1176.75
2010-05-23,1177.15,1185.03,1176.95,1184.95
2010-05-24,1184.93,1196.65,1181.88,1192.28
2010-05-25,1192.08,1205.68,1186.1,1202.83
2010-05-26,1202.9,1216.45,1202.9,1213.03
2010-05-27,1212.98,1218.28,1205.7,1209.48
2010-05-28,1209.45,1215.3,1201.98,1214.05
2010-05-30,1213.08,1214.4,1209.55,1210.98
2010-05-31,1211.13,1222.0,1211.03,1220.48
2010-06-01,1220.43,1228.73,1216.18,1223.25
2010-06-02,1223.28,1225.23,1213.23,1222.2
2010-06-03,1222.23,1224.28,1200.68,1206.48
2010-06-04,1206.5,1219.85,1196.4,1219.6
2010-06-06,1219.7,1220.25,1214.4,1217.98
2010-06-07,1217.95,1244.45,1210.45,1237.68
2010-06-08,1237.73,1251.9,1233.28,1237.0
2010-06-09,1237.03,1238.78,1221.63,1232.53
2010-06-10,1232.55,1232.83,1214.68,1220.6
2010-06-11,1220.58,1230.53,1216.45,1226.45
2010-06-13,1227.15,1232.5,1226.7,1228.85
2010-06-14,1228.88,1233.93,1216.38,1221.15
2010-06-15,1221.18,1236.6,1219.9,1232.65
2010-06-16,1232.6,1237.65,1226.83,1232.33
2010-06-17,1232.28,1251.03,1230.73,1243.1
2010-06-18,1243.05,1262.13,1242.65,1256.55
2010-06-20,1260.3,1260.7,1255.85,1256.98
2010-06-21,1256.93,1265.03,1230.53,1238.75
2010-06-22,1238.83,1242.55,1231.83,1239.63
2010-06-23,1239.6,1246.23,1224.55,1235.28
2010-06-24,1235.23,1248.33,1227.88,1244.9
2010-06-25,1244.83,1258.15,1241.33,1255.43
2010-06-27,1254.3,1258.38,1253.45,1255.83
2010-06-28,1255.88,1262.55,1235.43,1239.28
2010-06-29,1239.35,1244.93,1227.13,1241.65
2010-06-30,1241.68,1247.43,1234.43,1239.68
2010-07-01,1239.65,1243.73,1196.38,1206.7
2010-07-02,1206.75,1213.28,1200.63,1211.18
2010-07-04,1211.4,1213.6,1209.83,1213.53
2010-07-05,1213.48,1214.28,1202.85,1205.75
2010-07-06,1205.68,1213.48,1189.05,1193.93
2010-07-07,1193.88,1206.68,1184.78,1205.45
2010-07-08,1205.5,1207.73,1187.28,1198.28
2010-07-09,1198.3,1213.58,1194.88,1211.65
2010-07-11,1211.35,1212.65,1208.28,1208.98
2010-07-12,1208.95,1210.1,1196.13,1199.05
2010-07-13,1199.08,1217.7,1197.43,1212.05
2010-07-14,1212.03,1217.93,1202.45,1212.28
2010-07-15,1212.3,1217.13,1203.6,1209.1
2010-07-16,1209.08,1209.18,1185.98,1192.7
2010-07-18,1192.23,1193.53,1190.58,1192.88
2010-07-19,1192.85,1194.55,1177.33,1183.03
2010-07-20,1182.98,1193.63,1175.3,1190.9
2010-07-21,1190.95,1197.83,1183.25,1185.65
2010-07-22,1185.63,1200.98,1180.93,1194.95
2010-07-23,1194.98,1203.85,1183.78,1188.8
2010-07-25,1188.68,1191.8,1187.63,1191.58
2010-07-26,1191.53,1194.55,1179.53,1185.43
2010-07-27,1185.48,1186.95,1157.93,1163.08
2010-07-28,1163.05,1166.53,1156.8,1165.03
2010-07-29,1165.05,1169.35,1159.23,1167.53
2010-07-30,1167.58,1183.43,1166.9,1180.55
2010-08-01,1181.63,1183.85,1179.23,1182.9
2010-08-02,1182.88,1190.28,1174.38,1183.33
2010-08-03,1183.28,1194.83,1179.33,1193.1
2010-08-04,1193.13,1202.83,1190.98,1193.95
2010-08-05,1193.93,1199.9,1189.78,1195.08
2010-08-06,1195.03,1210.8,1192.95,1205.05
2010-08-08,1204.8,1205.75,1203.3,1203.45
2010-08-09,1203.48,1209.65,1198.83,1199.28
2010-08-10,1199.25,1207.53,1190.45,1203.35
2010-08-11,1203.33,1207.85,1192.28,1199.15
2010-08-12,1199.13,1215.45,1198.65,1214.65
2010-08-13,1214.68,1217.5,1210.53,1215.25
2010-08-15,1214.13,1219.48,1213.9,1218.83
2010-08-16,1218.88,1227.28,1217.25,1223.28
2010-08-17,1223.2,1228.93,1222.35,1225.93
2010-08-18,1225.88,1232.33,1217.23,1228.55
2010-08-19,1228.63,1237.25,1227.8,1231.1
2010-08-20,1231.33,1232.5,1221.9,1227.78
2010-08-22,1226.88,1229.5,1226.03,1228.43
2010-08-23,1228.4,1231.75,1219.35,1221.18
2010-08-24,1221.2,1235.38,1209.95,1230.33
2010-08-25,1230.4,1241.3,1229.95,1239.38
2010-08-26,1239.4,1244.03,1233.6,1236.1
2010-08-27,1236.03,1242.13,1231.8,1237.8
2010-08-29,1238.02,1238.28,1234.33,1235.03
2010-08-30,1234.98,1238.23,1233.18,1236.83
2010-08-31,1236.85,1249.73,1231.68,1246.58
2010-09-01,1246.55,1254.55,1242.38,1245.98
2010-09-02,1245.95,1253.1,1245.05,1249.78
2010-09-03,1249.75,1253.68,1237.58,1246.55
2010-09-05,1247.75,1249.3,1246.73,1247.88
2010-09-06,1247.83,1251.1,1247.3,1248.38
2010-09-07,1248.33,1259.65,1244.6,1256.73
2010-09-08,1256.7,1262.38,1252.88,1254.95
2010-09-09,1254.93,1258.73,1242.23,1245.3
2010-09-10,1245.28,1251.03,1236.5,1245.95
2010-09-12,1246.0,1246.38,1241.93,1245.73
2010-09-13,1245.7,1250.03,1240.78,1249.7
2010-09-14,1249.73,1274.73,1248.55,1268.7
2010-09-15,1268.68,1271.78,1263.0,1267.3
2010-09-16,1267.33,1277.8,1264.63,1275.4
2010-09-17,1275.43,1282.73,1271.8,1274.03
2010-09-19,1276.75,1279.95,1274.15,1277.38
2010-09-20,1277.43,1283.58,1276.78,1278.88
2010-09-21,1278.93,1290.48,1271.1,1287.9
2010-09-22,1287.93,1296.05,1286.25,1292.53
2010-09-23,1292.7,1295.83,1286.8,1293.1
2010-09-24,1293.08,1299.7,1291.38,1296.33
2010-09-26,1297.35,1297.65,1294.73,1296.03
2010-09-27,1296.0,1299.83,1291.58,1293.68
2010-09-28,1293.7,1309.95,1282.9,1308.83
2010-09-29,1308.88,1313.43,1305.43,1307.63
2010-09-30,1307.58,1315.83,1295.93,1310.53
2010-10-01,1310.48,1320.55,1308.43,1318.8
2010-10-03,1317.8,1319.88,1315.43,1316.08
2010-10-04,1316.15,1319.73,1312.18,1314.28
2010-10-05,1314.33,1344.0,1313.28,1343.03
2010-10-06,1342.98,1352.8,1341.98,1350.83
2010-10-07,1350.85,1364.8,1325.63,1333.3
2010-10-08,1333.28,1349.6,1324.93,1346.4
2010-10-10,1348.18,1355.23,1348.03,1352.4
2010-10-11,1352.38,1355.2,1340.15,1350.08
2010-10-12,1349.98,1358.75,1340.55,1356.58
2010-10-13,1356.68,1379.2,1354.68,1377.33
2010-10-14,1377.35,1387.13,1370.38,1378.73
2010-10-15,1378.68,1385.45,1362.2,1368.35
2010-10-17,1370.2,1370.4,1356.38,1358.13
2010-10-18,1358.2,1374.88,1352.6,1369.1
2010-10-19,1369.08,1370.58,1328.23,1336.55
2010-10-20,1336.53,1349.03,1332.48,1344.1
2010-10-21,1344.05,1347.93,1317.8,1327.2
2010-10-22,1327.13,1328.43,1315.18,1328.28
2010-10-24,1331.95,1339.03,1330.83,1338.5
2010-10-25,1338.58,1349.08,1333.23,1339.48
2010-10-26,1339.53,1343.43,1327.98,1337.4
2010-10-27,1337.38,1337.88,1318.88,1326.73
2010-10-28,1326.75,1345.83,1322.88,1341.08
2010-10-29,1341.2,1359.38,1335.18,1359.18
2010-10-31,1360.25,1365.5,1356.58,1358.08
2010-11-01,1358.03,1365.43,1348.98,1353.9
2010-11-02,1353.88,1359.73,1350.23,1354.28
2010-11-03,1354.23,1364.43,1325.35,1356.23
2010-11-04,1356.18,1394.13,1353.73,1390.28
2010-11-05,1390.33,1398.08,1373.6,1393.48
2010-11-07,1395.5,1398.43,1387.88,1389.53
2010-11-08,1389.58,1413.08,1386.78,1411.03
2010-11-09,1411.05,1424.38,1382.63,1398.08
2010-11-10,1398.05,1410.05,1383.88,1406.05
2010-11-11,1406.1,1417.68,1385.83,1389.15
2010-11-12,1389.18,1395.28,1359.83,1368.53
2010-11-14,1370.2,1375.9,1366.73,1369.03
2010-11-15,1369.08,1376.78,1355.73,1363.53
2010-11-16,1363.6,1364.65,1329.53,1337.9
2010-11-17,1337.88,1350.93,1330.88,1349.2
2010-11-18,1349.13,1363.08,1346.78,1355.33
2010-11-19,1355.28,1362.08,1341.53,1353.38
2010-11-21,1357.48,1361.93,1354.73,1361.73
2010-11-22,1361.83,1367.68,1348.33,1358.83
2010-11-23,1358.78,1382.33,1356.03,1376.13
2010-11-24,1376.03,1381.38,1367.88,1370.83
2010-11-25,1370.88,1374.95,1369.93,1372.88
2010-11-26,1372.73,1372.93,1350.78,1363.35
2010-11-28,1363.3,1364.73,1353.18,1361.03
2010-11-29,1361.0,1369.23,1355.03,1364.33
2010-11-30,1364.38,1389.73,1363.83,1389.53
2010-12-01,1389.58,1396.88,1381.73,1391.73
2010-12-02,1391.68,1398.48,1382.98,1390.03
2010-12-03,1389.98,1415.53,1385.48,1413.8
2010-12-05,1414.5,1414.85,1408.93,1412.78
2010-12-06,1412.73,1427.38,1410.15,1421.18
2010-12-07,1421.15,1430.98,1388.03,1393.28
2010-12-08,1393.25,1400.15,1371.05,1388.03
2010-12-09,1387.9,1394.38,1380.58,1390.28
2010-12-10,1390.33,1392.08,1372.05,1385.5
2010-12-12,1382.83,1388.1,1380.13,1386.48
2010-12-13,1386.53,1405.48,1386.15,1402.13
2010-12-14,1402.1,1408.03,1391.83,1396.48
2010-12-15,1396.38,1396.48,1378.2,1380.78
2010-12-16,1380.73,1386.3,1361.08,1375.08
2010-12-17,1375.13,1378.85,1364.73,1375.0
2010-12-19,1377.03,1385.25,1376.6,1382.43
2010-12-20,1382.38,1388.03,1375.93,1386.23
2010-12-21,1386.08,1392.08,1380.83,1389.63
2010-12-22,1389.58,1390.93,1382.93,1387.68
2010-12-23,1387.63,1387.93,1371.98,1382.95
2010-12-24,1384.75,1385.3,1383.1,1383.1
2010-12-26,1376.35,1384.13,1371.95,1383.28
2010-12-27,1383.33,1391.78,1377.78,1390.83
2010-12-28,1390.78,1406.68,1388.0,1405.33
2010-12-29,1405.28,1414.03,1401.03,1412.73
2010-12-30,1412.78,1414.68,1403.03,1408.58
2010-12-31,1408.5,1421.23,1407.48,1418.83
2011-01-02,1418.15,1419.33,1413.98,1416.73
2011-01-03,1416.78,1423.83,1412.88,1415.83
2011-01-04,1415.88,1417.13,1374.68,1383.25
