date,sym,oi,nc_long,nc_short,c_long,c_short
2010-01-05,EUR,156155,37229,73017,75603,46052
2010-01-12,EUR,161287,36186,54103,77041,65306
2010-01-19,EUR,164501,34186,59468,80493,59772
2010-01-26,EUR,184978,33106,72645,107572,66224
2010-02-02,EUR,186878,31207,74948,110320,63773
2010-02-09,EUR,197457,34867,92019,120004,56636
2010-02-16,EUR,196042,34459,93881,119236,55730
2010-02-23,EUR,208474,32728,104351,135199,56953
2010-03-02,EUR,218803,35894,102664,135287,66049
2010-03-09,EUR,243524,32589,107140,169613,88988
2010-03-16,EUR,163822,41800,88141,82124,32720
2010-03-23,EUR,195287,39953,114870,113860,31884
2010-03-30,EUR,223554,35205,120531,147689,49896
2010-04-06,EUR,208883,39036,106259,129186,52156
2010-04-13,EUR,203199,37157,92621,124881,58998
2010-04-20,EUR,208291,33614,105038,130859,54711
2010-04-27,EUR,238298,34462,123475,155391,58045
2010-05-04,EUR,261076,36675,140077,175841,62928
2010-05-11,EUR,287589,39584,153474,197808,73314
2010-05-18,EUR,300526,54411,161554,195262,76108
2010-05-25,EUR,281966,45630,152366,190207,72954
2010-06-01,EUR,275266,45006,138331,176197,79109
2010-06-08,EUR,305060,45938,157883,198558,87172
2010-06-15,EUR,227632,49526,111886,133605,58614
2010-06-22,EUR,224050,41013,111987,139417,58197
2010-06-29,EUR,225752,43357,117027,140113,56627
2010-07-06,EUR,228333,56316,95225,122675,80214
2010-07-13,EUR,225703,56187,83237,123535,88641
2010-07-20,EUR,230118,55008,79259,130879,97825
2010-07-27,EUR,232193,56622,77961,130508,101249
2010-08-03,EUR,236101,60410,67707,127496,116469
2010-08-10,EUR,234276,55797,59528,132681,127762
2010-08-17,EUR,250090,61324,75951,137257,124115
2010-08-24,EUR,245448,54591,76194,142830,118301
2010-08-31,EUR,241133,51099,76668,143877,112447
2010-09-07,EUR,257788,53156,76855,148315,118728
2010-09-14,EUR,170651,54543,64187,67986,58316
2010-09-21,EUR,167463,52300,47203,63931,70956
2010-09-28,EUR,190039,70638,35308,64109,106549
2010-10-05,EUR,197406,72979,24736,66364,122353
2010-10-12,EUR,197836,68718,27207,73180,122239
2010-10-19,EUR,219761,74855,28107,80283,143118
2010-10-26,EUR,209103,70109,29604,79733,130949
2010-11-02,EUR,206972,70185,31575,74771,125394
2010-11-09,EUR,204528,61477,38194,80065,117860
2010-11-16,EUR,195598,54708,46102,82056,99611
2010-11-23,EUR,187189,43670,51963,90172,91128
2010-11-30,EUR,203930,47264,54512,96865,94867
2010-12-07,EUR,198099,32322,47612,115122,92641
2010-12-14,EUR,146781,35689,45993,63095,50387
2010-12-21,EUR,156136,38604,52697,68741,54908
2010-12-28,EUR,162312,33833,60312,80025,52498
2011-01-04,EUR,163239,37102,61303,77703,52848
2011-01-11,EUR,202004,42359,87541,108835,58443
2011-01-18,EUR,188933,67309,63200,65807,71021
2011-01-25,EUR,199706,73488,50587,62983,91071
2011-02-01,EUR,211730,80381,40447,65404,111805
2011-02-08,EUR,203541,73502,38768,65994,113877
2011-02-15,EUR,193304,63395,30931,69268,111581
2011-02-22,EUR,207869,77454,31856,68789,122623
2011-03-01,EUR,217066,83104,31796,66564,129694
2011-03-08,EUR,263702,98171,35877,93190,167583
2011-03-15,EUR,190848,86506,40190,44477,108111
2011-03-22,EUR,194709,81574,33221,53020,113015
2011-03-29,EUR,218177,93031,36401,62196,134511
2011-04-05,EUR,236270,99405,39548,70097,146642
2011-04-12,EUR,243203,105425,40440,69054,151768
2011-04-19,EUR,244006,102686,40491,74976,155704
2011-04-26,EUR,249000,105683,37404,72619,161952
2011-05-03,EUR,264337,128460,28944,62075,186930
2011-05-10,EUR,242927,98054,36607,83295,163027
2011-05-17,EUR,250533,89941,48296,105953,157756
2011-05-24,EUR,258663,75182,56053,134068,156886
2011-05-31,EUR,270101,80494,58524,136097,164386
2011-06-07,EUR,296126,96555,44719,133843,193019
2011-06-14,EUR,190373,84580,34686,48746,113295
2011-06-21,EUR,189190,72153,42382,62478,103169
2011-06-28,EUR,183206,68800,35813,57791,101137
2011-07-05,EUR,194329,81860,38666,54485,111116
2011-07-12,EUR,185541,61392,48976,70726,86428
2011-07-19,EUR,180314,58580,49334,77199,83685
2011-07-26,EUR,183690,60177,43139,71503,97247
2011-08-02,EUR,190722,58313,56550,85149,91248
2011-08-09,EUR,183571,49029,57302,86027,81060
2011-08-16,EUR,168931,47094,40368,75036,82944
2011-08-23,EUR,174714,47711,45172,78732,84822
2011-08-30,EUR,179162,43894,44278,81983,85137
2011-09-06,EUR,209515,33167,69610,128794,83050
2011-09-13,EUR,264500,25704,80163,194836,115819
2011-09-20,EUR,201556,19920,99380,147760,44819
2011-09-27,EUR,215172,19705,102178,159618,51938
2011-10-04,EUR,220839,18104,100801,169387,60185
2011-10-11,EUR,223167,17040,90835,170021,69466
