Datetime,open,high,low,close
2026-06-28,7431.0,7455.75,7420.75,7450.25
2026-06-29,7450.25,7507.0,7409.0,7502.5
2026-06-30,7506.25,7567.75,7491.5,7532.25
2026-07-01,7530.5,7579.0,7505.75,7554.5
2026-07-02,7552.25,7593.75,7479.5,7554.25
2026-07-05,7562.25,7574.25,7538.25,7541.25
2026-07-06,7542.0,7602.5,7539.75,7573.25
2026-07-07,7574.0,7587.5,7529.5,7554.75
2026-07-08,7553.75,7556.25,7468.5,7539.0
2026-07-09,7539.25,7595.0,7526.75,7583.5
2026-07-10,7583.25,7628.75,7552.75,7620.25
2026-07-12,7600.0,7615.25,7582.25,7583.75
2026-07-13,7583.25,7610.5,7531.5,7544.0
2026-07-14,7542.5,7613.75,7538.5,7607.25
2026-07-15,7606.25,7627.75,7571.75,7624.0
2026-07-16,7624.0,7632.0,7524.5,7525.75
2026-07-17,7521.0,7539.0,7473.0,7497.75
2026-07-19,7487.0,7517.5,7482.0,7505.25
2026-07-20,7505.75,7552.0,7473.0,7511.75
2026-07-21,7515.0,7554.0,7504.5,7535.0
2026-07-22,7538.0,7563.5,7504.0,7528.0
2026-07-23,7525.0,7535.5,7411.75,7437.25
2026-07-24,7440.5,7496.5,7431.5,7447.5
2026-07-26,7492.5,7512.0,7487.0,7499.25
2026-07-27,7499.5,7524.75,7416.25,7440.75
2026-07-28,7435.75,7501.0,7417.0,7447.25
2026-07-29,7445.75,7492.0,7324.0,7374.0
2026-07-30,7373.0,7504.5,7351.5,7497.5
2026-07-31,7497.75,7541.0,7427.5,7519.25
2026-08-02,7553.5,7564.5,7543.5,7562.25
2026-08-03,7561.75,7647.5,7542.75,7645.0
2026-08-04,7644.0,7792.5,7631.75,7792.0
2026-08-05,7792.75,7820.25,7745.75,7761.75
2026-08-06,7763.0,7768.5,7724.25,7729.25
2026-08-07,7729.75,7786.75,7725.5,7779.75
2026-08-09,7772.0,7786.25,7763.0,7783.75
2026-08-10,7783.5,7798.0,7764.5,7787.0
2026-08-11,7787.0,7796.0,7738.0,7755.5
2026-08-12,7754.5,7794.0,7752.75,7775.0
2026-08-13,7775.75,7838.5,7772.0,7824.25
2026-08-14,7825.25,7831.75,7796.5,7805.0
2026-08-16,7809.75,7814.0,7806.25,7812.25
2026-08-17,7812.75,7824.5,7741.0,7744.25
2026-08-18,7743.0,7744.75,7702.0,7706.75
2026-08-19,7705.0,7764.75,7698.25,7738.75
2026-08-20,7741.75,7745.25,7657.75,7668.75
2026-08-21,7669.75,7714.0,7664.25,7691.25
2026-08-23,7683.75,7703.25,7681.75,7682.5
2026-08-24,7683.0,7686.5,7655.0,7674.5
2026-08-25,7677.5,7714.0,7663.25,7690.25
2026-08-26,7689.75,7741.25,7671.0,7725.75
2026-08-27,7725.75,7755.5,7702.75,7741.75
2026-08-28,7738.25,7782.5,7711.75,7722.0
2026-08-30,7708.0,7714.75,7683.75,7692.75
2026-08-31,7693.0,7718.5,7674.75,7696.5
2026-09-01,7696.5,7706.25,7621.5,7635.5
2026-09-02,7635.25,7691.25,7618.5,7682.0
2026-09-03,7683.5,7766.5,7661.25,7757.75
2026-09-04,7757.0,7764.5,7711.75,7722.0
