,ret
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-30,0.0
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.0
2012-10-14,0.0
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-21,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-11,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-18,0.0
2012-11-19,0.00036763071125766743
2012-11-20,0.00036763071125766743
2012-11-21,0.00036763071125766743
2012-11-22,0.00036763071125766743
2012-11-25,0.00036763071125766743
2012-11-26,-0.0006758025154871429
2012-11-27,-0.0006758025154871429
2012-11-28,-0.0006758025154871429
2012-11-29,-0.0006758025154871429
2012-12-02,-0.0006758025154871429
2012-12-03,-7.340003775722109e-05
2012-12-04,-7.340003775722109e-05
2012-12-05,-7.340003775722109e-05
2012-12-06,-7.340003775722109e-05
2012-12-09,-7.340003775722109e-05
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,0.0
2012-12-16,0.0
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.0
2012-12-20,0.0
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0015128763264178524
2013-06-09,1.4952771917558888e-05
2013-06-10,0.0008512687912016748
2013-06-11,-0.00047698484224215315
2013-06-12,-0.0010007952099327507
2013-06-13,2.667372158083919e-05
2013-06-14,0.0007040552810770423
2013-06-16,-0.0007871982437494386
2013-06-17,0.00034722602235362233
2013-06-18,0.00040133308839494677
2013-06-19,0.0004565051850588926
2013-06-20,0.0016754633175726698
2013-06-21,-0.00111021411157511
2013-06-23,0.0013113884387764227
2013-06-24,-0.001140539191601999
2013-06-25,0.0036429636290733138
2013-06-26,0.0005978689344369392
2013-06-27,0.003598303234462997
2013-06-28,-0.0008410670554616286
2013-06-30,-0.000402605101356644
2013-07-01,-0.0015052337408583013
2013-07-02,0.0032643150518275794
2013-07-03,-0.001686140476272047
2013-07-04,0.0029979512750133563
2013-07-05,0.003839761825453051
2013-07-07,0.0002610892261672122
2013-07-08,-0.0027100851956354055
2013-07-09,0.0018127929755223232
2013-07-10,-0.011728413250515692
2013-07-11,-0.0005943676213412924
2013-07-12,-9.96100719002705e-05
2013-07-14,-0.0004128427431699287
2013-07-15,6.204801393188314e-05
2013-07-16,-0.00016135009186731938
2013-07-17,0.0012104360734573427
2013-07-18,-0.0003661940373475712
2013-07-19,0.00015280065245527915
2013-07-21,-0.0018207364126332814
2013-07-22,-0.0017550174061682871
2013-07-23,-0.00020324164775505508
2013-07-24,0.0004915335786276817
2013-07-25,-0.0031892623502034834
2013-07-26,0.0008495760259633829
2013-07-28,0.0006425202678041615
2013-07-29,5.303778056165732e-06
2013-07-30,-0.0003935541981149341
2013-07-31,0.0005800778113631701
2013-08-01,0.0026849249058609396
2013-08-02,-0.001436389613422033
2013-08-04,-0.00022531938151915026
2013-08-05,0.0002991840910789081
2013-08-06,0.000923366815762355
2013-08-07,-0.0002961454741832161
2013-08-08,-0.001581030455630452
2013-08-09,0.0008418476990254098
2013-08-11,-0.0009627634783071993
2013-08-12,-0.0006890219005303113
2013-08-13,0.00012837075564308938
2013-08-14,-0.0010635646847373648
2013-08-15,-0.0012471945247694994
2013-08-16,-0.0004581331190651192
2013-08-18,-0.00023001350293951045
2013-08-19,0.00028629395342261545
2013-08-20,-8.29003044789062e-05
2013-08-21,-0.00300134191137434
2013-08-22,-0.0021139058058457717
2013-08-23,-0.00019485451898305423
2013-08-25,-0.00010246318042029144
2013-08-26,0.0007971574658760368
2013-08-27,0.0030743718404808705
2013-08-28,-0.0015290828485797119
2013-08-29,-0.0024322431390601607
2013-08-30,-0.001051557391890693
2013-09-01,-0.0006284425412722439
2013-09-02,-0.0017196991320611236
2013-09-03,0.0004890276746757461
2013-09-04,-0.0011581108626556504
2013-09-05,0.0003792758631886171
2013-09-06,0.0004825824145749086
2013-09-08,-0.0006857748314061216
2013-09-09,0.0016549361577990107
2013-09-10,0.0027633632320082095
2013-09-11,-0.00029080374231165096
2013-09-12,0.002119893927040244
2013-09-13,-0.00029209489667526264
2013-09-15,-0.00012343410367877275
2013-09-16,0.0014416919552460562
2013-09-17,0.0016692876710394586
2013-09-18,-0.003652912380277512
2013-09-19,0.0023748879890717186
2013-09-20,0.0019047290816299974
2013-09-22,-0.00029924261637450576
2013-09-23,-0.0012993533187345234
2013-09-24,-0.0010499711521135117
2013-09-25,0.0010875388258461186
2013-09-26,-0.002077342155473736
2013-09-27,0.001155310656513079
2013-09-29,-0.0016037731492507098
2013-09-30,-0.0011303957546243478
2013-10-01,-0.0011102129425324754
2013-10-02,0.00447477997930129
2013-10-03,0.001878495373448889
2013-10-04,-0.0031436676447072947
2013-10-06,0.0013094068078390992
2013-10-07,0.001378992550456455
2013-10-08,-0.0016467600835930022
2013-10-09,-0.004142201676406924
2013-10-10,-0.0009080319656475319
2013-10-11,-0.0011975855654697554
2013-10-13,0.0013201735676496363
2013-10-14,-0.0008041483968719496
2013-10-15,-0.0014185925362685066
2013-10-16,0.00041849178865401726
2013-10-17,0.007144539620123103
2013-10-18,0.0012447627478162637
2013-10-20,-0.0006269386283865652
2013-10-21,-0.001348302415646113
2013-10-22,0.005599779862470251
2013-10-23,0.0011044809760488025
2013-10-24,-0.00030574942972306455
2013-10-25,0.00022339255706142877
2013-10-27,-0.00025966053014870655
2013-10-28,-0.00043351736077315166
2013-10-29,-0.003055623831782562
2013-10-30,0.000139038270482866
2013-10-31,-0.005711073887486445
2013-11-01,0.0003918043336123514
2013-11-03,0.00015771265943969148
2013-11-04,0.001045786114262234
2013-11-05,-0.0003136496849955977
2013-11-06,0.0002014470988286095
2013-11-07,-0.0036390455873094364
2013-11-08,0.0005228314141308377
2013-11-10,-0.00024071641117123297
2013-11-11,0.0023145280474131335
2013-11-12,0.0013009574711222622
2013-11-13,-0.00021815584880539453
2013-11-14,0.0009803713330341465
2013-11-15,0.0005628608682502939
2013-11-17,-0.00012582613656218124
2013-11-18,0.00022574612636368972
2013-11-19,0.001420534707943287
2013-11-20,0.00032785950779320896
2013-11-21,0.00297560083722089
2013-11-22,0.0019129587134344072
2013-11-24,0.0015675851289211349
2013-11-25,-0.002138792258628611
2013-11-26,0.0018871050289259192
2013-11-27,0.001378901186439965
2013-11-28,0.0009962335370647137
2013-11-29,-0.0010311954787587533
2013-12-01,0.0007979419944434591
2013-12-02,0.0048869364840146475
2013-12-03,-0.0010338229121928633
2013-12-04,-0.002749205733051179
2013-12-05,0.0021563636207321338
2013-12-06,0.0032131316981907267
2013-12-08,0.00022788892805641097
2013-12-09,0.0004880017777537985
2013-12-10,-0.00318273045249236
2013-12-11,0.0006655121302872883
2013-12-12,0.005553701893700662
2013-12-13,-0.0025943360430514366
2013-12-15,-0.00014919257211975403
2013-12-16,-6.836503070609634e-05
2013-12-17,0.0009399094310096258
2013-12-18,0.0008797430966239592
2013-12-19,0.002859813110780205
2013-12-20,-0.0006479261841142083
2013-12-22,0.0002197458227297235
2013-12-23,0.0009969269026088737
2013-12-24,-0.0007455090595776028
2013-12-25,0.0
2013-12-26,0.001678881817660949
2013-12-27,0.0009453542136099071
2013-12-29,0.0004586240574202144
2013-12-30,0.0019653321255037994
2013-12-31,-0.0009694042198200247
2014-01-01,-0.002173044418996899
2014-01-02,-0.005484718165817575
2014-01-03,-0.0012620736204566382
2014-01-05,-0.0013652262965631126
2014-01-06,0.00112576446992465
2014-01-07,0.002503260473038361
2014-01-08,-0.0014373398822265944
2014-01-09,0.0002879927450645284
2014-01-10,-0.0016032435898596473
2014-01-12,-0.0013993803627751545
2014-01-13,-0.0008035852945704368
2014-01-14,0.0023642892567770075
2014-01-15,-0.00011545613646392949
2014-01-16,-0.000818011645328481
2014-01-17,-0.0034483134200522176
2014-01-19,-0.0009948049143344514
2014-01-20,0.0017905020794379248
2014-01-21,0.0008698167479159253
2014-01-22,0.00028366852795035997
2014-01-23,0.00046128321878857736
2014-01-24,-0.0025400788715081246
2014-01-26,0.0002575604140498352
2014-01-27,0.0013367332904475136
2014-01-28,0.000527138795126459
2014-01-29,-0.002037453262616824
2014-01-30,-0.0011254764890043705
2014-01-31,-0.0023051439961597193
2014-02-02,0.00034121122580949096
2014-02-03,-0.0019236744758349142
2014-02-04,0.0006118097442796205
2014-02-05,0.0002976244352833132
2014-02-06,0.002514150501719798
2014-02-07,0.0013675061410804567
2014-02-09,-0.000386999003109401
2014-02-10,-0.00028696937761867085
2014-02-11,-0.0008059034576764315
2014-02-12,-0.0015551316726703146
2014-02-13,0.003167948798457195
2014-02-14,0.0015625507423925019
2014-02-16,0.0006558012475995716
2014-02-17,0.0014597530279199934
2014-02-18,0.000601932547033875
2014-02-19,-0.0010478388627753327
2014-02-20,0.00023971595011109743
2014-02-21,0.0012950571159998524
2014-02-23,-0.000742823784728584
2014-02-24,0.0017135855251997076
2014-02-25,0.0004741518592525847
2014-02-26,-0.002937198966715486
2014-02-27,-0.0007097688381155607
2014-02-28,0.003342535660526326
2014-03-02,0.000615645648302803
2014-03-03,-0.0008541667952602018
2014-03-04,-0.002882314774721578
2014-03-05,-0.0010881144473371969
2014-03-06,0.005857746945791926
2014-03-07,-0.001322813128972336
2014-03-09,-0.0008303001090329251
2014-03-10,0.0009462365646623097
2014-03-11,0.0009523364107526822
2014-03-12,0.002007535920145651
2014-03-13,0.0009545881165444207
2014-03-14,0.0030581113483611234
2014-03-16,-0.0005769667621195876
2014-03-17,-0.0020921964866834177
2014-03-18,0.000422067769460536
2014-03-19,-0.007314189891650691
2014-03-20,-0.0009332872128402895
2014-03-21,0.0005920107355866958
2014-03-23,-0.001178949192390733
2014-03-24,0.00026893882115180745
2014-03-25,-0.0007400857158303217
2014-03-26,-0.00037053239297491744
2014-03-27,-0.0026623066795369997
2014-03-28,-0.0012590257473625737
2014-03-30,-8.577927075600717e-05
2014-03-31,-0.0014280728590711604
2014-04-01,-0.00045405973841014166
2014-04-02,-0.0004978743186606956
2014-04-03,-0.0017652816612155051
2014-04-04,0.003121290667503533
2014-04-06,-0.0002468750647324681
2014-04-07,0.0018958207915823482
2014-04-08,0.004875093557634388
2014-04-09,0.0019914201558400807
2014-04-10,0.0024015640872153392
2014-04-11,-0.0005358872286298022
2014-04-13,-3.284888685801256e-05
2014-04-14,-0.002341805176460493
2014-04-15,-0.00329940800201814
2014-04-16,0.0017137102270729269
2014-04-17,-0.0024711681022216545
2014-04-18,-0.0002485025757496106
2014-04-20,-0.0014046970829463673
2014-04-21,0.0012680117759136347
2014-04-22,0.0023851110502286247
2014-04-23,0.0021683694579225574
2014-04-24,0.0019209764796411094
2014-04-25,0.0030870265852030237
2014-04-27,0.0011508586815788349
2014-04-28,-0.000611271824246012
2014-04-29,-0.0029331732545982737
2014-04-30,0.0017190058295206633
2014-05-01,-0.002444610951745539
2014-05-02,0.0034424974100900323
2014-05-04,0.0023432059580437026
2014-05-05,0.00022331902739527445
2014-05-06,-0.004684746975952787
2014-05-07,-0.0031901582205888478
2014-05-08,-0.005328128145689384
2014-05-09,-0.0024885155425745124
2014-05-11,0.0006809957984005758
2014-05-12,0.005426124544105578
2014-05-13,0.0003908361082789322
2014-05-14,0.0012515469062174143
2014-05-15,-0.0009030514517012031
2014-05-16,-0.0021468222801782986
2014-05-18,8.257318595260977e-05
2014-05-19,0.0025344747687424665
2014-05-20,0.00016595365120097288
2014-05-21,0.006107686539367
2014-05-22,-1.9944582937702918e-05
2014-05-23,0.0016048029746251204
2014-05-25,-0.00023477372151192589
2014-05-26,0.005124976552193982
2014-05-27,0.0064206177314020665
2014-05-28,-0.0015592473862262193
2014-05-29,-0.00016646280487881643
2014-05-30,0.005093507121899989
2014-06-01,-5.980510282960356e-05
2014-06-02,-0.0006683854620252293
2014-06-03,0.0009487320485480837
2014-06-04,0.001087518669520607
2014-06-05,0.0031375023486055423
2014-06-06,0.0013805639086877776
2014-06-08,-0.00022798064866224506
