,ret
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-30,0.0
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.0
2012-10-14,0.0
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-21,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-11,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-18,0.0
2012-11-19,0.00024508714083844497
2012-11-20,0.00024508714083844497
2012-11-21,0.00024508714083844497
2012-11-22,0.00024508714083844497
2012-11-25,0.00024508714083844497
2012-11-26,-0.00045053501032476194
2012-11-27,-0.00045053501032476194
2012-11-28,-0.00045053501032476194
2012-11-29,-0.00045053501032476194
2012-12-02,-0.00045053501032476194
2012-12-03,-4.8933358504814066e-05
2012-12-04,-4.8933358504814066e-05
2012-12-05,-4.8933358504814066e-05
2012-12-06,-4.8933358504814066e-05
2012-12-09,-4.8933358504814066e-05
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,0.0
2012-12-16,0.0
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.0
2012-12-20,0.0
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.004076157978901977
2013-04-07,0.0
2013-04-08,-0.0005062765202370572
2013-04-09,0.000613825878655583
2013-04-10,-0.0002727560184377266
2013-04-11,0.000669403831061253
2013-04-12,0.0028641980756327176
2013-04-14,0.0
2013-04-15,0.00047667835564296036
2013-04-16,0.0003101951151083244
2013-04-17,0.0008153730367879833
2013-04-18,-0.000522673382198129
2013-04-19,-0.00015752660515793636
2013-04-21,0.0
2013-04-22,0.00038359098136228094
2013-04-23,0.0007051502795463607
2013-04-24,4.22752137839583e-05
2013-04-25,-0.000389277899943503
2013-04-26,0.0009287485513561138
2013-04-28,0.0
2013-04-29,-0.00036802759776232027
2013-04-30,0.0009025567717656738
2013-05-01,0.0011979877954839888
2013-05-02,0.0008312623645495628
2013-05-03,-0.002468890387062073
2013-05-05,0.0
2013-05-06,-0.00019022557464612626
2013-05-07,-0.00037328274667793135
2013-05-08,0.0007701374748107627
2013-05-09,-0.0006933800425022409
2013-05-10,-0.0020357777352098
2013-05-12,0.0
2013-05-13,-0.001203074323663753
2013-05-14,-0.0007156887624310909
2013-05-15,0.0007320425510276402
2013-05-16,0.0015647428462315825
2013-05-17,-0.0014163876018856373
2013-05-19,0.0
2013-05-20,-0.00012242491383896088
2013-05-21,0.0005877961454581992
2013-05-22,-0.00299170853967392
2013-05-23,-0.0008861830095214907
2013-05-24,-0.0002631654541231342
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,-0.001495025368712652
2013-05-29,-0.0016640847516727992
2013-05-30,0.0004659606975595356
2013-05-31,-0.0014259232908514902
2013-06-02,0.0
2013-06-03,-0.0010576331504024788
2013-06-04,0.0006038293605277403
2013-06-05,-0.0022742075911068504
2013-06-06,0.0006995815010152941
2013-06-07,0.002947445402961771
2013-06-09,9.583363199204484e-06
2013-06-10,0.0008894462439388543
2013-06-11,-0.0014560062982765295
2013-06-12,0.0006409240832477115
2013-06-13,6.941569311116673e-05
2013-06-14,0.0007215328295049778
2013-06-16,-0.0005277919746098612
2013-06-17,0.0008687358862327876
2013-06-18,0.0006859899854597973
2013-06-19,0.0008101721673312219
2013-06-20,-0.00037139575964895307
2013-06-21,0.0005869571554358987
2013-06-23,0.0007591004822555457
2013-06-24,-0.0014420547165357944
2013-06-25,0.003395240525995913
2013-06-26,0.00046351872976085385
2013-06-27,0.0016149871055260911
2013-06-28,-0.0009832728509507368
2013-06-30,-0.0002421063683890054
2013-07-01,-0.0009971035076748308
2013-07-02,0.001573773772756879
2013-07-03,-0.0010208669260566372
2013-07-04,0.0017733608724396443
2013-07-05,0.004736617150941355
2013-07-07,0.0001602979093601084
2013-07-08,-0.0018277064616161699
2013-07-09,0.0007318819736672085
2013-07-10,-0.006733577545918951
2013-07-11,-0.0011601471744237875
2013-07-12,-0.00032767739223528165
2013-07-14,-0.00026597849266804416
2013-07-15,-0.0004037543363307639
2013-07-16,-0.00030995875308334394
2013-07-17,0.0008307840562348832
2013-07-18,0.0005594350078778173
2013-07-19,-0.0009581838609693028
2013-07-21,-0.0011684698402096687
2013-07-22,-0.0012120690130452158
2013-07-23,8.677183117273844e-05
2013-07-24,4.0560776491072644e-05
2013-07-25,-0.0022459552997955807
2013-07-26,0.0008892810705041234
2013-07-28,0.0004123817001969421
2013-07-29,0.00033742825460459145
2013-07-30,0.00027871244828119143
2013-07-31,-0.0005231864195493967
2013-08-01,0.002311337070577475
2013-08-02,-0.001112648765316588
2013-08-04,-0.00013533353271012578
2013-08-05,0.0010233288804362515
2013-08-06,0.001341556360583005
2013-08-07,-0.00014310682994283318
2013-08-08,-0.0017155201395021133
2013-08-09,-0.00040344246764312936
2013-08-11,-0.0005869898885590808
2013-08-12,-0.0014956497436697791
2013-08-13,0.0013818018137977239
2013-08-14,-0.0018737664385076467
2013-08-15,-0.0012957099532092716
2013-08-16,-0.00014599904511942196
2013-08-18,-0.00015204639603854847
2013-08-19,0.0002640872852214538
2013-08-20,-0.000475190003887029
2013-08-21,-0.0014363201221434343
2013-08-22,-0.0014866698776239045
2013-08-23,0.000161964001450804
2013-08-25,-6.18673710357679e-05
2013-08-26,0.0008397319634621184
2013-08-27,0.0017872838146527877
2013-08-28,0.00013508776531661617
2013-08-29,-0.0031189869706575142
2013-08-30,-0.0008914382228632066
2013-09-01,-0.00041725766840893907
2013-09-02,-0.0011207117818882793
2013-09-03,0.0016532855631455575
2013-09-04,-0.0010316432338321802
2013-09-05,0.0008535843738366699
2013-09-06,0.0005656867283393593
2013-09-08,-0.00045994115283243844
2013-09-09,0.00034552948077990234
2013-09-10,0.0017582906445164747
2013-09-11,-0.0008131735956523399
2013-09-12,0.0018002212544967762
2013-09-13,-0.0009057446066700855
2013-09-15,-5.925712897978677e-05
2013-09-16,0.00018722251425062488
2013-09-17,0.0022780430570305613
2013-09-18,-0.006165237089050359
2013-09-19,0.0012578285317033538
2013-09-20,-0.0005093766102321191
2013-09-22,-0.0002051712568251811
2013-09-23,-0.0008852162598803944
2013-09-24,-0.0017721221114018113
2013-09-25,-5.576954253169189e-06
2013-09-26,-0.0007753934350199651
2013-09-27,-0.00034763183804214305
2013-09-29,-0.0009600499582627593
2013-09-30,-0.0010014005357573625
2013-10-01,0.0009076397371617353
2013-10-02,0.001534194118707404
2013-10-03,0.0007053733108641014
2013-10-04,-0.0008888083550582409
2013-10-06,0.0007778957294972606
2013-10-07,0.00047018251251530605
2013-10-08,-0.0006870151484154971
2013-10-09,-0.0032397801257415875
2013-10-10,-0.0005051037059756731
2013-10-11,-0.0009914938370989442
2013-10-13,0.0007780894919764118
2013-10-14,-0.0003749351645772926
2013-10-15,-0.0006495528288882774
2013-10-16,0.000939989841023808
2013-10-17,0.005271794031546045
2013-10-18,0.0008013124137232615
2013-10-20,-0.0003817199833072441
2013-10-21,-0.001179839080973204
2013-10-22,0.003770196231998803
2013-10-23,0.002250655419016265
2013-10-24,-0.00017117364610289677
2013-10-25,-3.9739385292062286e-05
2013-10-27,-0.00017254835114298794
2013-10-28,-0.0007453591579823215
2013-10-29,-0.0012604924480604806
2013-10-30,-0.0011597997625907611
2013-10-31,-0.001838520525904051
2013-11-01,0.0007556562612153624
2013-11-03,9.566303834115967e-05
2013-11-04,0.001108935858184983
2013-11-05,-0.0010751547904623191
2013-11-06,0.00030708483379964766
2013-11-07,-0.0009261705080129131
2013-11-08,-0.001056226427254061
2013-11-10,-0.00014303815708961476
2013-11-11,-0.00014134341060014993
2013-11-12,0.001485829716938862
2013-11-13,0.0001796369983394658
2013-11-14,-0.0004676859904954024
2013-11-15,0.0010082080235178947
2013-11-17,-9.814538951548649e-05
2013-11-18,-8.684784666401443e-05
2013-11-19,0.0006038900975202233
2013-11-20,0.0023877789288513787
2013-11-21,0.0013035784010130421
2013-11-22,-0.0003770015783303175
2013-11-24,0.000995228888393069
2013-11-25,-0.0011400452889518188
2013-11-26,0.0005316449556818064
2013-11-27,0.0012077841850901213
2013-11-28,0.0006008034363428078
2013-11-29,-1.0721623565689951e-05
2013-12-01,0.00034568982192764545
2013-12-02,0.004596455589453944
2013-12-03,-0.0023858598081286588
2013-12-04,-0.0006363078498798287
2013-12-05,0.0014682045111728385
2013-12-06,0.0018060498222350393
2013-12-08,0.0001469461927541604
2013-12-09,0.001182131374211359
2013-12-10,-0.0034732925692760367
2013-12-11,0.0008465311224868811
2013-12-12,0.004389292236742683
2013-12-13,-0.0013701956662343444
2013-12-15,-0.00023610420971390423
2013-12-16,0.0004958421606947997
2013-12-17,-0.0001248402714834313
2013-12-18,0.0025332988046883093
2013-12-19,0.0016961968457062829
2013-12-20,-0.00366645901437468
2013-12-22,7.753130706216758e-05
2013-12-23,0.002015139077134102
2013-12-24,0.0006196115046422817
2013-12-25,0.0
2013-12-26,0.001630182021770625
2013-12-27,0.0006068931455802729
2013-12-29,0.00026131973620102536
2013-12-30,0.0006523733900174335
2013-12-31,0.0014918436492811146
2014-01-01,-0.0010402346168735279
2014-01-02,-0.005108018886801287
2014-01-03,8.392662176973879e-05
2014-01-05,-0.0007520720330337881
2014-01-06,0.0003482690138239552
2014-01-07,0.0008931061359651674
2014-01-08,-0.0011457793686754324
2014-01-09,0.0005150310076932366
2014-01-10,-0.0006430070752640668
2014-01-12,-0.0008312663523593965
2014-01-13,-0.0005303671772172663
2014-01-14,0.0018507404665352699
2014-01-15,0.00039475617905034146
2014-01-16,1.0920780567376047e-05
2014-01-17,-0.0015048505942740148
2014-01-19,-0.0005036750957394613
2014-01-20,0.000946002568233949
2014-01-21,0.0007398511662704083
2014-01-22,-0.0009324651053330957
2014-01-23,0.00033703933299971013
2014-01-24,-0.0036883329967983608
2014-01-26,0.00013645931859456334
2014-01-27,0.0010797300422130537
2014-01-28,0.001345375552282315
2014-01-29,-0.0016280510362727174
2014-01-30,0.0004063649229579321
2014-01-31,-0.0008153244947253543
2014-02-02,0.00018793612384765618
2014-02-03,-0.0013930168996258607
2014-02-04,-0.0010956694813589617
2014-02-05,-0.0005832596406502762
2014-02-06,0.0015696915701582054
2014-02-07,2.1112852812536952e-05
2014-02-09,-0.00019250516601671604
2014-02-10,0.0009136368707349403
2014-02-11,-0.0006565909486686198
2014-02-12,-0.0013979768447900272
2014-02-13,0.003342269408569046
2014-02-14,0.0020583944522693538
2014-02-16,0.0003678484275528738
2014-02-17,0.0007318124220960916
2014-02-18,0.002646062281777964
2014-02-19,-0.0012066985729162743
2014-02-20,0.001268043128628365
2014-02-21,0.0010234378498673023
2014-02-23,-0.0004057723839485937
2014-02-24,0.0020984975547320506
2014-02-25,0.0005710693065510148
2014-02-26,-0.0012611630195565806
2014-02-27,0.0002602416366282776
2014-02-28,0.0027057733274549003
2014-03-02,0.0004783802513370696
2014-03-03,0.0014996567139003599
2014-03-04,-0.00168879906659354
2014-03-05,-0.002053007278616307
2014-03-06,0.003481133802793131
2014-03-07,-0.002449186395150192
2014-03-09,-0.0004512644358997081
2014-03-10,-0.0003953741086589297
2014-03-11,0.0004640695602077167
2014-03-12,0.0016212145326661796
2014-03-13,-0.0005038736356560911
2014-03-14,0.0021704785253994305
2014-03-16,-0.0003150731094601705
2014-03-17,-0.0022049916528906013
2014-03-18,0.0016446589082062353
2014-03-19,-0.005180255391148455
2014-03-20,-0.0003240670541064313
2014-03-21,0.0010402521381489495
2014-03-23,-0.0006838162656762842
2014-03-24,0.0007248817787537442
2014-03-25,0.0004883160790817888
2014-03-26,-0.00012797588207948002
2014-03-27,-0.0007036092672119669
2014-03-28,-0.0002973240056406865
2014-03-30,-4.4522428948774326e-05
2014-03-31,-0.0008407837019186445
2014-04-01,-0.0017017471136839845
2014-04-02,0.0003300804017719843
2014-04-03,-0.0005458379130220515
2014-04-04,0.0024614746969228913
2014-04-06,-0.00014184858654289694
2014-04-07,0.00047539200950111045
2014-04-08,0.004582104782808599
2014-04-09,0.001339628218806227
2014-04-10,0.0008944653925625136
2014-04-11,-0.0013770725069595419
2014-04-13,4.093269526480592e-06
2014-04-14,0.0002867353379272114
2014-04-15,-0.0012927088289922562
2014-04-16,0.0016441262895818443
2014-04-17,-0.0014955500397165857
2014-04-18,-0.0001423061615148829
2014-04-20,-0.0008302063489384442
2014-04-21,0.000686799184275175
2014-04-22,0.0021342059344766637
2014-04-23,0.0015614349629824577
2014-04-24,0.002069443631603902
2014-04-25,0.0013801063683003363
2014-04-27,0.0008447746557799123
2014-04-28,-0.001013988430421631
2014-04-29,-0.0011783001383509988
2014-04-30,-4.7237286555020606e-05
2014-05-01,-0.002189199152528869
2014-05-02,0.003731450006271607
2014-05-04,0.0012957760784879063
2014-05-05,-0.00047153160794451523
2014-05-06,-0.0027899622945265472
2014-05-07,-0.0013372384232593908
2014-05-08,-0.004315946072361295
2014-05-09,-0.0017743625408487619
2014-05-11,0.00044294207119981887
