,ret
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-30,0.0
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.0
2012-10-14,0.0
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-21,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-11,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-18,0.0
2012-11-19,0.0002827928548135904
2012-11-20,0.0002827928548135904
2012-11-21,0.0002827928548135904
2012-11-22,0.0002827928548135904
2012-11-25,0.0002827928548135904
2012-11-26,-0.0005198480888362638
2012-11-27,-0.0005198480888362638
2012-11-28,-0.0005198480888362638
2012-11-29,-0.0005198480888362638
2012-12-02,-0.0005198480888362638
2012-12-03,-5.6461567505554696e-05
2012-12-04,-5.6461567505554696e-05
2012-12-05,-5.6461567505554696e-05
2012-12-06,-5.6461567505554696e-05
2012-12-09,-5.6461567505554696e-05
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,0.0
2012-12-16,0.0
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.0
2012-12-20,0.0
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.003966201192066207
2013-04-07,0.0
2013-04-08,-0.0011101349592498387
2013-04-09,-0.00010908273736072526
2013-04-10,-0.001777413150972889
2013-04-11,0.0003346336105744924
2013-04-12,0.0020520622008186945
2013-04-14,0.0
2013-04-15,0.0009534241485497049
2013-04-16,-0.0010226701748203579
2013-04-17,0.0007555395720288381
2013-04-18,0.00025657877892991567
2013-04-19,-0.00023549375137452442
2013-04-21,0.0
2013-04-22,0.00014588004823551688
2013-04-23,-0.0003433707655276683
2013-04-24,0.0002584533055156415
2013-04-25,-0.000518752962940671
2013-04-26,0.0013543891068127816
2013-04-28,0.0
2013-04-29,-0.0003196730588763559
2013-04-30,2.0295051418105526e-06
2013-05-01,0.0013952244714768762
2013-05-02,-9.600370731399406e-05
2013-05-03,-0.003636606458913885
2013-05-05,0.0
2013-05-06,-0.000406210016877268
2013-05-07,-0.000501200409776567
2013-05-08,0.0003191657013210989
2013-05-09,-0.00019678529523424877
2013-05-10,-0.0017169723964650834
2013-05-12,0.0
2013-05-13,-0.0007957708334274575
2013-05-14,-0.001414329390796791
2013-05-15,0.000869091594255259
2013-05-16,0.0014692840139374859
2013-05-17,-0.0016755201184330845
2013-05-19,0.0
2013-05-20,-0.00011293990100399588
2013-05-21,3.386126459209941e-05
2013-05-22,-0.002583943543719658
2013-05-23,-0.00019285594784283349
2013-05-24,-2.3943589035582765e-05
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,-0.00034489257426891873
2013-05-29,-0.0015567006494633172
2013-05-30,0.0001371686564908027
2013-05-31,0.0006462834526088393
2013-06-02,0.0
2013-06-03,-0.0005673026102899077
2013-06-04,0.0010042261270207388
2013-06-05,-0.0016912252074700407
2013-06-06,-0.00015982213378427725
2013-06-07,0.00359904480746423
2013-06-09,1.0627513902219122e-05
2013-06-10,0.0011683319022129336
2013-06-11,-0.0012315938829699363
2013-06-12,0.0007251805401534222
2013-06-13,-0.002055451685790007
2013-06-14,0.00045916938845025704
2013-06-16,-0.0006007020398413038
2013-06-17,0.000936041705849455
2013-06-18,0.0003675389721672997
2013-06-19,0.002844988655814149
2013-06-20,0.0025525678837211886
2013-06-21,0.0010767586143624684
2013-06-23,0.0008982304951765557
2013-06-24,-0.0007582896032983804
2013-06-25,0.003011758706133309
2013-06-26,-0.000262648036145323
2013-06-27,0.0015485991265262924
2013-06-28,-0.001003776854910557
2013-06-30,-0.00030298971950626184
2013-07-01,-0.0012686948334293187
2013-07-02,0.002314178660392094
2013-07-03,-0.0008491544060349979
2013-07-04,0.0020992925451497318
2013-07-05,0.0063518717366847265
2013-07-07,0.00018805736878242516
2013-07-08,-0.0028797459741810826
2013-07-09,0.0011816426452286193
2013-07-10,-0.00785891270839789
2013-07-11,-0.0019092827883405547
2013-07-12,2.458323414427195e-05
2013-07-14,-0.00030192825822015525
2013-07-15,-0.00046881230603903383
2013-07-16,-0.0003107434067672699
2013-07-17,0.00042785425139778353
2013-07-18,0.0007158302510662508
2013-07-19,-0.0011243362271820382
2013-07-21,-0.0013280174430912444
2013-07-22,-0.001355256076581008
2013-07-23,0.00013650436658863588
2013-07-24,0.0015384900966853784
2013-07-25,-0.0024325944241259203
2013-07-26,0.00025905690142066274
2013-07-28,0.0004653389581449657
2013-07-29,0.0005290186332921804
2013-07-30,-0.00024805814604776514
2013-07-31,0.0001688678205938802
2013-08-01,0.0037632704310518895
2013-08-02,-0.0023185775008887407
2013-08-04,-0.0001576499516836537
2013-08-05,0.0008673908661341655
2013-08-06,0.0004747494938117128
2013-08-07,-0.0009096316562787018
2013-08-08,-0.0014183012124717185
2013-08-09,0.0004923654515402804
2013-08-11,-0.0006747128835805638
2013-08-12,2.5529216313093108e-05
2013-08-13,0.001630190474666919
2013-08-14,-0.0009333750959160624
2013-08-15,0.00025965127351910056
2013-08-16,0.0001847022903988401
2013-08-18,-0.00016955437906491177
2013-08-19,0.0010535380981300186
2013-08-20,-0.001012226141963896
2013-08-21,-0.0011318838815081497
2013-08-22,-0.0021614755280123786
2013-08-23,-0.0013210092428255584
2013-08-25,-6.889504429078391e-05
2013-08-26,0.00011546678756877893
2013-08-27,0.001018050154235237
2013-08-28,-0.0003099884253379242
2013-08-29,-0.002447333095759793
2013-08-30,-0.0005209914956709952
2013-09-01,-0.0005048145850238506
2013-09-02,-0.0013379666445785738
2013-09-03,0.0017324424986062505
2013-09-04,-0.00035470044560758317
2013-09-05,0.0018687610079222098
2013-09-06,-0.00042626878493859534
2013-09-08,-0.0005745633070030902
2013-09-09,0.0009911121899053889
2013-09-10,0.003010117455327004
2013-09-11,-0.0013963298295463743
2013-09-12,0.001537881352938795
2013-09-13,-0.0006111146252184989
2013-09-15,-0.00010115659502803076
2013-09-16,0.0012013197662683226
2013-09-17,0.0004027023989358969
2013-09-18,-0.004977909017855887
2013-09-19,0.0025057868564459965
2013-09-20,0.0008065762628068728
2013-09-22,-0.00024064108780302227
2013-09-23,-0.00177827334755884
2013-09-24,-0.0018078823958102308
2013-09-25,0.000496566304185511
2013-09-26,-0.001669602893919212
2013-09-27,0.00038234414360947973
2013-09-29,-0.0011524795742895355
2013-09-30,-0.0011417779507002705
2013-10-01,-0.0005990027495803995
2013-10-02,0.0029499308876175276
2013-10-03,0.0010001427782204938
2013-10-04,-0.0018206798457395866
2013-10-06,0.0009303231296547403
2013-10-07,0.00044422458953545963
2013-10-08,-0.001110718174461808
2013-10-09,-0.003393165111500505
2013-10-10,-0.00017607495783272578
2013-10-11,-0.001038869042513665
2013-10-13,0.0009413526414278253
2013-10-14,-0.0007932772725566015
2013-10-15,-0.0010652963159197039
2013-10-16,0.000686721618391061
2013-10-17,0.004876701575524244
2013-10-18,0.001069442260413531
2013-10-20,-0.0004591604432128679
2013-10-21,-0.001137411461995728
2013-10-22,0.0037854126720959576
2013-10-23,0.0008984488492778154
2013-10-24,-0.00021954825655497954
2013-10-25,0.00017631384824558374
2013-10-27,-0.00020503898510499104
2013-10-28,-0.0004493674505196479
2013-10-29,-0.0022533908610151213
2013-10-30,7.042191908435126e-06
2013-10-31,-0.0033259724411773884
2013-11-01,0.00024498179961985657
2013-11-03,0.0001173259371606574
2013-11-04,0.0004865250313296121
2013-11-05,-0.0007360851568797585
2013-11-06,-0.00036540331531439974
2013-11-07,-0.002118081520100929
2013-11-08,0.00020451620043803733
2013-11-10,-0.00016943209289389533
2013-11-11,0.0013008985002369103
2013-11-12,0.001542281322685106
2013-11-13,-0.0006201278632005344
2013-11-14,-0.0011343210632000298
2013-11-15,0.0006496819313339265
2013-11-17,-0.00010241996849007898
2013-11-18,1.1486168772285213e-06
2013-11-19,0.0009087600308034817
2013-11-20,0.0033808253926245597
2013-11-21,0.0017304242025342643
2013-11-22,-0.0003649244916205884
2013-11-24,0.0011306994060133345
2013-11-25,-0.0019674221259183317
2013-11-26,0.000366426654721376
2013-11-27,0.0016874371164585207
2013-11-28,0.0006914110188607702
2013-11-29,-0.000512500363528279
2013-12-01,0.00048804054096518034
2013-12-02,0.005337071775538447
2013-12-03,-0.0017519930170039107
2013-12-04,0.0003368213420819323
2013-12-05,0.0021554257571646603
2013-12-06,0.0014739510745624318
2013-12-08,0.00016871919388252037
2013-12-09,-0.00020347266932553977
2013-12-10,-0.003948005446553871
2013-12-11,0.0021382525303364533
2013-12-12,0.0049156107772858875
2013-12-13,-0.002777803639129052
2013-12-15,-0.00020241817652013653
2013-12-16,0.0005956837879242794
2013-12-17,-0.0007969955974398694
2013-12-18,0.0024594530317742017
2013-12-19,0.0029976673207253368
2013-12-20,-0.0033682272293348125
2013-12-22,0.00011664160244442317
2013-12-23,0.0021157286709908444
2013-12-24,0.0013515347092148892
2013-12-25,0.0
2013-12-26,0.0017651043247198543
2013-12-27,0.0011424823527479055
2013-12-29,0.00032209445223583465
2013-12-30,-0.00026935426085737495
2013-12-31,0.0011611656683721036
2014-01-01,-0.0014056098756529485
2014-01-02,-0.004691834527603244
2014-01-03,-0.0005468722079506263
2014-01-05,-0.0009151943844514863
2014-01-06,-0.00035374375585348804
2014-01-07,0.0010440507832195068
2014-01-08,0.0004103736384078286
2014-01-09,-0.0010224250302087745
2014-01-10,-0.0014735383923891148
2014-01-12,-0.0009679552717178304
2014-01-13,-0.00038258886482996405
2014-01-14,0.001710617179223902
2014-01-15,-3.3432308270906944e-05
2014-01-16,-0.00014110432728433402
2014-01-17,-0.0019962701792458743
2014-01-19,-0.0006288873328161577
2014-01-20,0.0011535640851978077
2014-01-21,0.000793493007115232
2014-01-22,0.0003752903612029675
2014-01-23,0.0007317470777294469
2014-01-24,-0.0015025250738575498
2014-01-26,0.00016413850111271145
2014-01-27,0.0004897152788163922
2014-01-28,0.00047905617417236745
2014-01-29,-0.001049635868948347
2014-01-30,-0.0007663961492154557
2014-01-31,-0.0011929211934649695
2014-02-02,0.00022761657323867597
2014-02-03,-0.0006588797235198419
2014-02-04,-0.000415609347161492
2014-02-05,-0.000344878908132914
2014-02-06,0.0012843637161645363
2014-02-07,0.00042667896045932535
2014-02-09,-0.00024013785476200428
2014-02-10,-7.914460249195068e-05
2014-02-11,-0.0004901180454673427
2014-02-12,-0.0012544835498413992
2014-02-13,0.001966546758815407
2014-02-14,0.0012634516006774464
2014-02-16,0.0004403206096914756
2014-02-17,0.000905568748869954
2014-02-18,0.00011528017579259707
2014-02-19,-0.0008783898510563639
2014-02-20,0.00010761626704891363
2014-02-21,0.0013445180951692222
2014-02-23,-0.0004936043935652539
2014-02-24,0.0010241598589066914
2014-02-25,0.001003935713810062
2014-02-26,-0.0017141070504553082
2014-02-27,9.415986518128668e-05
2014-02-28,0.0022237600812213825
2014-03-02,0.0005946492045678246
2014-03-03,-0.00035268776291213214
2014-03-04,-0.002661315160971987
2014-03-05,-0.0006029927645511717
2014-03-06,0.00338925127797368
2014-03-07,-0.0009809179993276855
2014-03-09,-0.0005635282092511415
2014-03-10,0.0006301302226750403
2014-03-11,0.0009230981857235998
2014-03-12,0.0016703107518278124
2014-03-13,0.0010702778931668945
2014-03-14,0.0020924188969130395
2014-03-16,-0.00037622926835380414
2014-03-17,-0.0016837494288156009
2014-03-18,0.00022988566179854794
2014-03-19,-0.004360201699252866
2014-03-20,-0.0008301505514140465
2014-03-21,0.0013498368950228604
2014-03-23,-0.0008422289239363869
2014-03-24,0.0008151504792525005
2014-03-25,-0.0008356859964080495
2014-03-26,-9.489588982441945e-05
2014-03-27,-0.0014594435326141318
2014-03-28,-0.0009429872183494789
2014-03-30,-5.4082023140615524e-05
2014-03-31,-0.0013930434209660206
2014-04-01,-0.0010478317134770692
2014-04-02,0.0010095859606423974
2014-04-03,-0.0018103870137301584
2014-04-04,0.0018611600152840934
2014-04-06,-0.00016979014454467374
2014-04-07,0.0015086226859654926
2014-04-08,0.0034366040636986442
2014-04-09,0.0008022871792144004
2014-04-10,0.0019446807596576875
2014-04-11,0.0001441775624708536
2014-04-13,4.143102886915332e-05
2014-04-14,-0.001663077156116589
2014-04-15,-0.001991797912387811
2014-04-16,0.001645007436372128
2014-04-17,-0.0019327804199868886
2014-04-18,-0.0001737474579705586
2014-04-20,-0.0010505614927494031
2014-04-21,0.0010609947499097962
2014-04-22,0.002250035869001027
2014-04-23,0.0018277829198878126
2014-04-24,0.0016652704636809137
2014-04-25,0.0022896410451152195
2014-04-27,0.000913447948365849
2014-04-28,-0.0007938860478754865
2014-04-29,-0.0024225327659107092
2014-04-30,0.0008670036243721974
2014-05-01,-0.000771481510044072
2014-05-02,0.00297225155699735
2014-05-04,0.001674254847545976
2014-05-05,-0.0006072226339125392
2014-05-06,-0.003188810184130009
2014-05-07,-0.002999516437604155
2014-05-08,-0.004514218586680125
2014-05-09,-0.0017817699981116542
2014-05-11,0.0005194336499688198
2014-05-12,0.004306633730134632
