,ret
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-30,0.0
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.0
2012-10-14,0.0
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-21,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-11,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-18,0.0
2012-11-19,0.0005251867303680964
2012-11-20,0.0005251867303680964
2012-11-21,0.0005251867303680964
2012-11-22,0.0005251867303680964
2012-11-25,0.0005251867303680964
2012-11-26,-0.0009654321649816327
2012-11-27,-0.0009654321649816327
2012-11-28,-0.0009654321649816327
2012-11-29,-0.0009654321649816327
2012-12-02,-0.0009654321649816327
2012-12-03,-0.00010485719679603014
2012-12-04,-0.00010485719679603014
2012-12-05,-0.00010485719679603014
2012-12-06,-0.00010485719679603014
2012-12-09,-0.00010485719679603014
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,0.0
2012-12-16,0.0
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.0
2012-12-20,0.0
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0003629117393373332
2013-06-09,-0.00036433755735812564
2013-06-10,0.0014977719682608536
2013-06-11,0.0011241392089285298
2013-06-12,0.000621060425211229
2013-06-13,0.00027694411841943566
2013-06-14,-0.0004098106349872077
2013-06-16,-0.000498200611165303
2013-06-17,0.001019019771563623
2013-06-18,0.0017462257479224394
2013-06-19,-0.0028094473466778163
2013-06-20,0.0019594440799917973
2013-06-21,-0.003649766324672848
2013-06-23,0.0011104928768597543
2013-06-24,-0.00048700395239781183
2013-06-25,0.0059036476594692515
2013-06-26,0.0013382905496357293
2013-06-27,0.0033396859504645875
2013-06-28,-0.0016901705598494734
2013-06-30,-0.0009733523024276556
2013-07-01,-0.003155588183467437
2013-07-02,0.004026878426191264
2013-07-03,-0.0015154817829597926
2013-07-04,0.0042800491067426635
2013-07-05,0.004816562965520902
2013-07-07,0.00035767814328877895
2013-07-08,-0.004412690644247653
2013-07-09,0.0029723575545322453
2013-07-10,-0.014462226051053063
2013-07-11,-0.0003755158951796209
2013-07-12,-0.0003886283879445638
2013-07-14,-0.0005973877670693957
2013-07-15,0.0009523748371970627
2013-07-16,0.00026333715974526453
2013-07-17,0.0015066470653125026
2013-07-18,-0.001272964678533392
2013-07-19,-0.0007312455500592481
2013-07-21,-0.0018294299643101953
2013-07-22,-0.0023825543312354534
2013-07-23,-0.0005843551376905661
2013-07-24,0.0017693351967158258
2013-07-25,-0.00302233038305175
2013-07-26,0.0005821123893010818
2013-07-28,0.000114034747319308
2013-07-29,0.0006558650560091318
2013-07-30,-0.0005050928652321596
2013-07-31,0.0006700816565245943
2013-08-01,0.0023738076406500572
2013-08-02,-0.0015475481429506406
2013-08-04,-0.00018926484321495356
2013-08-05,0.00217540014999057
2013-08-06,0.0007458422317638929
2013-08-07,-0.0019961070941184756
2013-08-08,-0.0027602531927583946
2013-08-09,0.0007170127877908977
2013-08-11,-0.0010619953438457445
2013-08-12,6.478752789298752e-05
2013-08-13,0.0018785010240717657
2013-08-14,-0.0023388077326129187
2013-08-15,-0.002994473749558079
2013-08-16,-0.00045010061777235106
2013-08-18,-0.0004999900136253017
2013-08-19,0.0011264212201090148
2013-08-20,-0.0013391079637518329
2013-08-21,-0.0024125624249218486
2013-08-22,-0.0014144478448635826
2013-08-23,-0.0009864805297701736
2013-08-25,-0.0003240694630807165
2013-08-26,0.00039902621156054753
2013-08-27,0.0018378485187113553
2013-08-28,-0.0016241754221144095
2013-08-29,-0.0020812065307244066
2013-08-30,-0.001742289971832165
2013-09-01,1.2389073644955661e-05
2013-09-02,-0.0005032413930977109
2013-09-03,0.0012374257183819287
2013-09-04,-0.0014671019135598354
2013-09-05,0.0006195164108306707
2013-09-06,-0.0011285701467331087
2013-09-08,0.00026734566349575286
2013-09-09,0.002793795665608895
2013-09-10,0.0021582449376536333
2013-09-11,0.002137165260429537
2013-09-12,0.0030919349228574174
2013-09-13,0.0004489003307399031
2013-09-15,0.0012342299115442156
2013-09-16,0.0011793095512496543
2013-09-17,0.0029438828476195337
2013-09-18,-0.0036089211342336443
2013-09-19,0.0003561235036056326
2013-09-20,0.003355073460257569
2013-09-22,0.00031168877649716877
2013-09-23,-0.0009887708150296227
2013-09-24,-0.0010093447776570654
2013-09-25,0.002776821442008835
2013-09-26,-0.00242884420420414
2013-09-27,0.003270423994311893
2013-09-29,-0.0008784069956430401
2013-09-30,0.0004024231770889272
2013-10-01,-0.004271777247791635
2013-10-02,0.006339378637542683
2013-10-03,0.0014813260202453465
2013-10-04,-0.003944025797848795
2013-10-06,0.0006694005285073899
2013-10-07,0.0013473734219653242
2013-10-08,-0.0010065055221113468
2013-10-09,-0.004884848832428331
2013-10-10,0.000954195665770116
2013-10-11,-0.0017919083918673756
2013-10-13,0.0009571811222931461
2013-10-14,-0.0005454007565225268
2013-10-15,-0.00233665354550512
2013-10-16,0.0012109666896418386
2013-10-17,0.009145689310726289
2013-10-18,0.0007485761957338642
2013-10-20,-9.125202376490541e-05
2013-10-21,-0.0008527289424858548
2013-10-22,0.007344645093109139
2013-10-23,-0.00038120451393966964
2013-10-24,-0.0007239964979291334
2013-10-25,0.0009227317439465336
2013-10-27,0.00018020096100977866
2013-10-28,-0.0006505964749188886
2013-10-29,-0.002611538337480345
2013-10-30,-0.0007069981931990467
2013-10-31,-0.008084087020554662
2013-11-01,-0.0013326760039206968
2013-11-03,7.434852233350018e-05
2013-11-04,0.0006093532452349531
2013-11-05,0.00034432975453971753
2013-11-06,0.00019303354426828943
2013-11-07,-0.003840191846693097
2013-11-08,-0.0031644339518959548
2013-11-10,-0.00012561800264898225
2013-11-11,0.0016831791883901328
2013-11-12,0.002432007255845041
2013-11-13,-0.0011139612615188666
2013-11-14,-0.0005900365164742746
2013-11-15,0.0010415395994868805
2013-11-17,0.00016277488199166275
2013-11-18,0.0016834045106375803
2013-11-19,0.0012941893097564228
2013-11-20,-0.0011082216010743224
2013-11-21,0.0017464443815067804
2013-11-22,0.002533947468123686
2013-11-24,0.00020333447497934403
2013-11-25,-0.0019115314037238987
2013-11-26,0.002506174198282974
2013-11-27,0.0004307474535150824
2013-11-28,0.0003224958188393365
2013-11-29,-0.002430678333730021
2013-12-01,0.0015302026361655103
2013-12-02,0.003474861368025881
2013-12-03,0.0016107021295923309
2013-12-04,-0.00328195019867876
2013-12-05,0.004551153004405179
2013-12-06,0.0007678651360314851
2013-12-08,-4.6804527214433346e-05
2013-12-09,-0.0005439925685088291
2013-12-10,-0.0031064760452569323
2013-12-11,0.0017802294190162591
2013-12-12,0.00407452958854333
2013-12-13,-0.002163580224159927
2013-12-15,0.0012267625899830712
2013-12-16,-0.0008331912337975892
2013-12-17,0.0017997482693620133
2013-12-18,-0.001743823324646392
2013-12-19,0.0035432393251595587
2013-12-20,-1.0061137672969825e-05
2013-12-22,0.0005754464583117725
2013-12-23,0.0004781435170065268
2013-12-24,-0.000990379648640282
2013-12-25,0.0
2013-12-26,0.0006329353448991654
2013-12-27,1.4862035902205499e-05
2013-12-29,0.0003964533880049385
2013-12-30,0.004170162939592181
2013-12-31,-0.002525065519724031
2014-01-01,-0.0037818720304894334
2014-01-02,-0.004652700214456085
2014-01-03,-0.003786935426488792
2014-01-05,-0.0007003638803637253
2014-01-06,0.0012559328793306226
2014-01-07,0.002699156916145834
2014-01-08,-0.0017339429768254391
2014-01-09,-3.4233900273502064e-05
2014-01-10,-0.0008412453141920405
2014-01-12,4.2365374582631784e-05
2014-01-13,-0.0008827739386553689
2014-01-14,0.0008987769142095
2014-01-15,-0.0009833133745635974
2014-01-16,-0.00036428275061964164
2014-01-17,-0.005109116590828077
2014-01-19,-0.0009280663639985344
2014-01-20,0.0011849820065618182
2014-01-21,0.00272402594025204
2014-01-22,0.0004368558885426987
2014-01-23,0.002377542007798546
2014-01-24,-0.0019350026168725252
2014-01-26,3.174873025011058e-05
2014-01-27,0.0019126301495011326
2014-01-28,-0.0003395602681370884
2014-01-29,-0.001591151607220539
2014-01-30,-0.0009365139343734802
2014-01-31,-0.002627852138623148
2014-02-02,-0.00014606767945149032
2014-02-03,-0.0008554408242735569
2014-02-04,0.0006379072360954061
2014-02-05,6.86823312709905e-07
2014-02-06,0.002382618671649231
2014-02-07,0.0010257969504051695
2014-02-09,-0.0007609620249987715
2014-02-10,-0.0005576076982093285
2014-02-11,-0.001970907349254085
2014-02-12,-0.0014664585576644321
2014-02-13,0.005830301106563118
2014-02-14,0.0027574079470561413
2014-02-16,0.0017218225971314418
2014-02-17,-0.00030653020126010446
2014-02-18,0.0011907595814838157
2014-02-19,-0.00093889398691376
2014-02-20,-0.0006645595321855756
2014-02-21,0.002140827158403801
2014-02-23,-0.0005177505202231317
2014-02-24,0.002233431844742995
2014-02-25,0.0016567547273127728
2014-02-26,-0.004894730412137027
2014-02-27,0.0009744251661877294
2014-02-28,0.0042030589664469
2014-03-02,0.002761094136787823
2014-03-03,-1.748880975956731e-05
2014-03-04,-0.003127531329144913
2014-03-05,-0.00017053222801162403
2014-03-06,0.008321721668845481
2014-03-07,-0.0014278532200329523
2014-03-09,-0.0007562772678962161
2014-03-10,0.0006867415364931147
2014-03-11,0.0030072470856137815
2014-03-12,0.00442254379024482
2014-03-13,-0.001511563536577136
2014-03-14,0.0037507797560928854
2014-03-16,-0.00033671522959532953
2014-03-17,-0.0030244060822761662
2014-03-18,-0.0006758796881436899
2014-03-19,-0.008367705308595624
2014-03-20,-0.0016476155946100373
2014-03-21,0.0007572203995705746
2014-03-23,-0.0013468307726875212
2014-03-24,-0.0008348268491205998
2014-03-25,-0.0008597629897260131
2014-03-26,-0.0023545260478801166
2014-03-27,-0.0033573180315129222
2014-03-28,0.000455011186155508
2014-03-30,5.111995804788379e-05
2014-03-31,-0.00121728992970914
2014-04-01,0.0010549271306513556
2014-04-02,-0.0002041315615386775
2014-04-03,-0.0028636163601996516
2014-04-04,0.0030922526850411477
2014-04-06,-0.0004193312776060446
2014-04-07,0.0015614669172616428
2014-04-08,0.004246352260112979
2014-04-09,0.003000571472138404
2014-04-10,0.0025689701503927207
2014-04-11,-0.0006855645105439542
2014-04-13,0.00018892944014486636
2014-04-14,-0.0026491550325912104
2014-04-15,-0.004509845919785145
2014-04-16,0.0016045407308730047
2014-04-17,-0.0022502858201712663
2014-04-18,-0.000256117692779601
2014-04-20,-0.0017720786360343108
2014-04-21,0.0018459241039897557
2014-04-22,0.0026348065979918647
2014-04-23,0.0026375729661834925
2014-04-24,0.003924805551846327
2014-04-25,0.0017949067137221532
2014-04-27,0.00193469790037667
2014-04-28,0.00125478979488144
2014-04-29,-0.002629255322964461
2014-04-30,0.0039464971964565665
2014-05-01,-0.0022647703051981837
2014-05-02,0.0028104657702506574
2014-05-04,0.0010761816045419333
2014-05-05,0.002487789112449531
2014-05-06,-0.001647039280873864
2014-05-07,-0.0062634587385160985
2014-05-08,-0.006067468473491541
2014-05-09,-0.002935520545920984
2014-05-11,-0.00023240108761447817
2014-05-12,0.00634527548236539
2014-05-13,-0.002400451278106064
2014-05-14,0.0005206908473532956
2014-05-15,-0.005865900673229413
2014-05-16,-0.0012655541021033092
2014-05-18,0.0016015836093912481
2014-05-19,0.0032381458622419094
2014-05-20,-0.001960161729387622
2014-05-21,0.003677038158371079
2014-05-22,-0.0004357164513082626
2014-05-23,0.001092698589356554
2014-05-25,0.0007907783146507304
2014-05-26,0.004786498928572849
2014-05-27,0.010813436422417179
2014-05-28,-0.00017004330170595984
2014-05-29,0.0009680996354450963
2014-05-30,0.0061286973238334225
2014-06-01,-8.833074504803357e-05
2014-06-02,-0.0007367021205038922
2014-06-03,0.0005601218785826794
2014-06-04,0.0005902389004239859
2014-06-05,0.006115082788362721
2014-06-06,0.0007710688474853783
2014-06-08,-8.325894174119751e-06
2014-06-09,-0.0050995878884178905
