,ret
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-30,0.0
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.0
2012-10-14,0.0
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-21,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-11,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-18,0.0
2012-11-19,0.0003342097375069703
2012-11-20,0.0003342097375069703
2012-11-21,0.0003342097375069703
2012-11-22,0.0003342097375069703
2012-11-25,0.0003342097375069703
2012-11-26,-0.0006143659231701297
2012-11-27,-0.0006143659231701297
2012-11-28,-0.0006143659231701297
2012-11-29,-0.0006143659231701297
2012-12-02,-0.0006143659231701297
2012-12-03,-6.672730705201916e-05
2012-12-04,-6.672730705201916e-05
2012-12-05,-6.672730705201916e-05
2012-12-06,-6.672730705201916e-05
2012-12-09,-6.672730705201916e-05
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,0.0
2012-12-16,0.0
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.0
2012-12-20,0.0
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0013753421149253202
2013-06-09,1.3291352815607835e-05
2013-06-10,0.0007572621023482444
2013-06-11,-0.0004268758932399475
2013-06-12,-0.0008991476933339607
2013-06-13,2.3865041896185166e-05
2013-06-14,0.0006301067050251235
2013-06-16,-0.0007054998006664289
2013-06-17,0.00031136269937963844
2013-06-18,0.00036014411443347145
2013-06-19,0.0004108494275869422
2013-06-20,0.001499825618335419
2013-06-21,-0.0009942942979278056
2013-06-23,0.0011759038703565068
2013-06-24,-0.0010231123525882427
2013-06-25,0.0032705963794826694
2013-06-26,0.0005379508131114046
2013-06-27,0.0032375864902553057
2013-06-28,-0.0007555742573429551
2013-06-30,-0.0003616452106422441
2013-07-01,-0.0013522143726068198
2013-07-02,0.002934631868376585
2013-07-03,-0.0015182914979338146
2013-07-04,0.0027001648746689463
2013-07-05,0.003462306059413021
2013-07-07,0.00023538967573258086
2013-07-08,-0.0024433259850314267
2013-07-09,0.0016339781582999087
2013-07-10,-0.010570559651379208
2013-07-11,-0.0005332349140417496
2013-07-12,-8.936442881688868e-05
2013-07-14,-0.00037038230173877214
2013-07-15,5.566665007176043e-05
2013-07-16,-0.00014477503472800032
2013-07-17,0.0010862644118148229
2013-07-18,-0.0003286084610566795
2013-07-19,0.0001371297490567792
2013-07-21,-0.0016341904948049563
2013-07-22,-0.0015750457464890003
2013-07-23,-0.00018238162706158233
2013-07-24,0.0004410917513580271
2013-07-25,-0.002862677151770502
2013-07-26,0.0007622572582581967
2013-07-28,0.00057647537860258
2013-07-29,4.758751440193704e-06
2013-07-30,-0.0003531335721089964
2013-07-31,0.0005204977348074033
2013-08-01,0.0024091993789002444
2013-08-02,-0.0012885439935464774
2013-08-04,-0.00020211301080778739
2013-08-05,0.00026837158615622235
2013-08-06,0.0008286298063053494
2013-08-07,-0.00026577587779342946
2013-08-08,-0.0014192986935309265
2013-08-09,0.0007557415789066145
2013-08-11,-0.0008642787479985864
2013-08-12,-0.0006185725118912511
2013-08-13,0.00011525243178291957
2013-08-14,-0.0009551482825128468
2013-08-15,-0.0011201714719653983
2013-08-16,-0.0004115616540114426
2013-08-18,-0.00020663900630647802
2013-08-19,0.00025720163865907645
2013-08-20,-7.448351346137974e-05
2013-08-21,-0.0026972726232777342
2013-08-22,-0.0018992222440932685
2013-08-23,-0.0001750513332104668
2013-08-25,-9.206658333900223e-05
2013-08-26,0.0007162769029632214
2013-08-27,0.0027624028713712457
2013-08-28,-0.0013736826672990454
2013-08-29,-0.00218487964723933
2013-08-30,-0.0009445179741455105
2013-09-01,-0.0005644726942486608
2013-09-02,-0.0015447185731348708
2013-09-03,0.0004392920932541759
2013-09-04,-0.0010404804837567479
2013-09-05,0.0003407946867665247
2013-09-06,0.00043371326686991393
2013-09-08,-0.0006165821246332853
2013-09-09,0.0014880586319026997
2013-09-10,0.0024847008615855423
2013-09-11,-0.00026143278451186766
2013-09-12,0.001906553745286964
2013-09-13,-0.0002627861795574753
2013-09-15,-0.00011105273006133934
2013-09-16,0.0012974125450928048
2013-09-17,0.0015023926625384895
2013-09-18,-0.003287710856420578
2013-09-19,0.0021433447770655366
2013-09-20,0.0017191861216701756
2013-09-22,-0.000270140306919935
2013-09-23,-0.0011730073859312976
2013-09-24,-0.0009478688580862239
2013-09-25,0.0009817591121193878
2013-09-26,-0.0018755631058885711
2013-09-27,0.0010429765092264578
2013-09-29,-0.0014480676120464447
2013-09-30,-0.0010206212714754508
2013-10-01,-0.0010026362581430756
2013-10-02,0.004043066494689168
2013-10-03,0.0016964786941427727
2013-10-04,-0.0028388088995150414
2013-10-06,0.001182246890089075
2013-10-07,0.0012450456253262818
2013-10-08,-0.001486755575328093
2013-10-09,-0.003739608755052314
2013-10-10,-0.0008194464382319901
2013-10-11,-0.0010810772337698092
2013-10-13,0.0011917825710929543
2013-10-14,-0.0007259177051880312
2013-10-15,-0.001280574005159435
2013-10-16,0.00037777396951666094
2013-10-17,0.006449643764899771
2013-10-18,0.0011223053238238005
2013-10-20,-0.0005652538388417147
2013-10-21,-0.0012156489073118074
2013-10-22,0.005048704368886596
2013-10-23,0.000995157880103367
2013-10-24,-0.00027551041553968087
2013-10-25,0.0002013014429531274
2013-10-27,-0.0002339666396569492
2013-10-28,-0.00039061460004565586
2013-10-29,-0.0027533567704896974
2013-10-30,0.00012524124994577304
2013-10-31,-0.0051437001543933655
2013-11-01,0.00035277415060170426
2013-11-03,0.00014202165728188115
2013-11-04,0.0009417461384815104
2013-11-05,-0.0002824399405882928
2013-11-06,0.000181393977310471
2013-11-07,-0.0032749188334319198
2013-11-08,0.000470411973862371
2013-11-10,-0.00021664814664919496
2013-11-11,0.0020831956280171877
2013-11-12,0.0011707945182162078
2013-11-13,-0.00019635547808137912
2013-11-14,0.0008824651408980893
2013-11-15,0.0005066370474848346
2013-11-17,-0.00011321923626137418
2013-11-18,0.00020312749946379996
2013-11-19,0.0012782473520831135
2013-11-20,0.0002950912690821643
2013-11-21,0.002679909539222863
2013-11-22,0.0017229850897500188
2013-11-24,0.0014123555974530557
2013-11-25,-0.0019270791161621111
2013-11-26,0.0017002348104461812
2013-11-27,0.0012422836110500802
2013-11-28,0.0009006527667552329
2013-11-29,-0.0009322791432772063
2013-12-01,0.0007214256079330783
2013-12-02,0.00441835573261453
2013-12-03,-0.0009346055296401937
2013-12-04,-0.0024862642546320153
2013-12-05,0.0019498566879858
2013-12-06,0.0029065002664820845
2013-12-08,0.000206117198215858
2013-12-09,0.00044140780011233294
2013-12-10,-0.0028785358445120217
2013-12-11,0.0006018030537359831
2013-12-12,0.005022031281846074
2013-12-13,-0.002345024873700939
2013-12-15,-0.0001348451289462029
2013-12-16,-6.179520428867764e-05
2013-12-17,0.000849556561020861
2013-12-18,0.0007951986344826223
2013-12-19,0.002584598691962129
2013-12-20,-0.0005853631582503535
2013-12-22,0.00019848458726398684
2013-12-23,0.0009004776435023573
2013-12-24,-0.0006732658987198086
2013-12-25,0.0
2013-12-26,0.0015161556334504509
2013-12-27,0.0008537189974428264
2013-12-29,0.0004141736102175237
2013-12-30,0.00177490949121863
2013-12-31,-0.0008756497151134244
2014-01-01,-0.0019628994883880554
2014-01-02,-0.004954411104760364
2014-01-03,-0.0011400475792005243
2014-01-05,-0.001233766996257126
2014-01-06,0.0010173387369406977
2014-01-07,0.0022620488531532594
2014-01-08,-0.0012986937301113126
2014-01-09,0.0002602286127352622
2014-01-10,-0.0014486094168122384
2014-01-12,-0.0012638041915700976
2014-01-13,-0.0007257102726755661
2014-01-14,0.002135202459057565
2014-01-15,-0.00010423139953149088
2014-01-16,-0.0007384372214766458
2014-01-17,-0.0031121998859027526
2014-01-19,-0.0008980670810454043
2014-01-20,0.0016163628887210816
2014-01-21,0.0007852054556165167
2014-01-22,0.00025609570737150194
2014-01-23,0.00041645905098315774
2014-01-24,-0.002289722286615577
2014-01-26,0.00023214110177683351
2014-01-27,0.0012047615060871817
2014-01-28,0.0004750614886295168
2014-01-29,-0.0018361252881147416
2014-01-30,-0.0010142105555562152
2014-01-31,-0.002077030058107463
2014-02-02,0.00030747966380697335
2014-02-03,-0.0017337479989694058
2014-02-04,0.0005513698212583963
2014-02-05,0.0002681948560403969
2014-02-06,0.002270416601088356
2014-02-07,0.0012348228265150224
2014-02-09,-0.0003494552340450418
2014-02-10,-0.00025912485169416995
2014-02-11,-0.0007275036508614901
2014-02-12,-0.001403778362884031
2014-02-13,0.0028598123983517064
2014-02-14,0.001410934083572005
2014-02-16,0.0005921758940348753
2014-02-17,0.0013180401042649514
2014-02-18,0.0005436651245257272
2014-02-19,-0.0009458748250957046
2014-02-20,0.0002163044017925727
2014-02-21,0.0011683083360617928
2014-02-23,-0.0006700172646108584
2014-02-24,0.0015455867872922653
2014-02-25,0.00042766256289445315
2014-02-26,-0.0026493626474834815
2014-02-27,-0.000640135965608373
2014-02-28,0.003015603751299205
2014-03-02,0.0005554431630312792
2014-03-03,-0.0007707436027358796
2014-03-04,-0.0026008773352224767
2014-03-05,-0.0009817442008556636
2014-03-06,0.005285544497162226
2014-03-07,-0.001193220545907502
2014-03-09,-0.000748850695946703
2014-03-10,0.0008533597625752717
2014-03-11,0.0008587709009169559
2014-03-12,0.001809342087138221
2014-03-13,0.000860516988599056
2014-03-14,0.002756596238888485
2014-03-16,-0.0005201617248158705
2014-03-17,-0.0018862230852037557
2014-03-18,0.0003804652473460928
2014-03-19,-0.006592286146018655
2014-03-20,-0.0008418978849406551
2014-03-21,0.000533604940822732
2014-03-23,-0.0010628549395883993
2014-03-24,0.00024245473905212323
2014-03-25,-0.0006672125166556084
2014-03-26,-0.00033405396670918276
2014-03-27,-0.002400361548450716
2014-03-28,-0.00113482554252134
2014-03-30,-7.729739620759516e-05
2014-03-31,-0.0012868601939515505
2014-04-01,-0.0004090697207133605
2014-04-02,-0.00044849697117815195
2014-04-03,-0.0015901034988750951
2014-04-04,0.0028117229046265967
2014-04-06,-0.0002223577696678464
2014-04-07,0.001707539390478261
2014-04-08,0.004391157999234961
2014-04-09,0.0017942473374901213
2014-04-10,0.0021653370737858934
2014-04-11,-0.00048312796042598627
2014-04-13,-2.9612701404758812e-05
2014-04-14,-0.00211099774529426
2014-04-15,-0.0029745999246435628
2014-04-16,0.0015448388523067228
2014-04-17,-0.002227868497506296
2014-04-18,-0.00022405293702273897
2014-04-20,-0.0012664028757430918
2014-04-21,0.0011431415585778405
2014-04-22,0.0021500567092140595
2014-04-23,0.001956197490972552
2014-04-24,0.0017325685031925025
2014-04-25,0.0027590338939529157
2014-04-27,0.0010316732384449824
2014-04-28,-0.000547706252503957
2014-04-29,-0.002571493569101083
2014-04-30,0.001441922742891613
2014-05-01,-0.0020283894088341825
2014-05-02,0.0028714745066080773
2014-05-04,0.0019671348177842194
2014-05-05,0.00018743393047070686
2014-05-06,-0.003918380734901172
2014-05-07,-0.0026674844470003655
2014-05-08,-0.004514639068303396
2014-05-09,-0.0021100006498961333
2014-05-11,0.000577398349023027
2014-05-12,0.004598828280879329
2014-05-13,0.0003299977184204392
2014-05-14,0.0010557914067098994
2014-05-15,-0.0007623230909949199
2014-05-16,-0.001825535600905309
2014-05-18,7.041077749217104e-05
2014-05-19,0.002160872180557893
2014-05-20,0.0001413931078698348
2014-05-21,0.005213032079502528
2014-05-22,-1.677503025541082e-05
2014-05-23,0.001348894275354924
2014-05-25,-0.0001966866455298412
2014-05-26,0.004298474649713535
2014-05-27,0.0053930843847880125
2014-05-28,-0.0013094980797503806
2014-05-29,-0.00013998572301022216
2014-05-30,0.004285726081256533
2014-06-01,-5.042577442351123e-05
2014-06-02,-0.000563525782654025
2014-06-03,0.0007969648180533534
2014-06-04,0.0009126621229819532
2014-06-05,0.0026303094557743557
2014-06-06,0.0011610259779826532
2014-06-08,-0.00019175261903116203
