,ret
2012-09-24,0.0
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-30,0.0
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.0
2012-10-14,0.0
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-21,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-11,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-18,0.0
2012-11-19,0.003676307112576674
2012-11-20,0.003676307112576674
2012-11-21,0.003676307112576674
2012-11-22,0.003676307112576674
2012-11-25,0.003676307112576674
2012-11-26,-0.006758025154871428
2012-11-27,-0.006758025154871428
2012-11-28,-0.006758025154871428
2012-11-29,-0.006758025154871428
2012-12-02,-0.006758025154871428
2012-12-03,-0.0007340003775722109
2012-12-04,-0.0007340003775722109
2012-12-05,-0.0007340003775722109
2012-12-06,-0.0007340003775722109
2012-12-09,-0.0007340003775722109
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,0.0
2012-12-16,0.0
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.0
2012-12-20,0.0
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.001270191087680666
2013-06-09,-0.001457350229432503
2013-06-10,0.005697687952215063
2013-06-11,0.003288409489392859
2013-06-12,0.0016942525055601207
2013-06-13,0.0008401215483361448
2013-06-14,-0.0018645712551401687
2013-06-16,-0.0014940805815515485
2013-06-17,0.0030350836944884746
2013-06-18,0.004993861415334126
2013-06-19,-0.007159736808606751
2013-06-20,0.005864440561268624
2013-06-21,-0.015789908732883027
2013-06-23,0.002988590223363326
2013-06-24,-0.001298731787071325
2013-06-25,0.015833567872218245
2013-06-26,0.003284376520490949
2013-06-27,0.008222193603883352
2013-06-28,-0.006169262606294559
2013-06-30,-0.0025164930727572836
2013-07-01,-0.008068879401853612
2013-07-02,0.009509929434172577
2013-07-03,-0.0032863449015103716
2013-07-04,0.009237457211027639
2013-07-05,0.014485955928617485
2013-07-07,0.0006615525313014656
2013-07-08,-0.0081619848026343
2013-07-09,0.00533603710938408
2013-07-10,-0.02593745784643066
2013-07-11,-0.0005715884297350357
2013-07-12,-0.0008919452683700713
2013-07-14,-0.0009214894443277178
2013-07-15,0.0014789737381711151
2013-07-16,0.00042779256894344246
2013-07-17,0.002432590374174701
2013-07-18,-0.002052019425866678
2013-07-19,-0.0018627432902122685
2013-07-21,-0.003112591077038715
2013-07-22,-0.0041185099068939204
2013-07-23,-0.0010106617006113848
2013-07-24,0.003060624230168301
2013-07-25,-0.005229061027730482
2013-07-26,0.001549717696501525
2013-07-28,0.00020175108899430968
2013-07-29,0.001202204715180936
2013-07-30,-0.0010257752922557233
2013-07-31,0.0013660295966833789
2013-08-01,0.004904677591066491
2013-08-02,-0.004829114668474572
2013-08-04,-0.0005548700272256517
2013-08-05,0.006375377397377727
2013-08-06,0.002181818538335293
2013-08-07,-0.005814622311905829
2013-08-08,-0.008055848170749355
2013-08-09,0.003149525597522269
2013-08-11,-0.0031087631308098396
2013-08-12,0.00018881266264163675
2013-08-13,0.005471807359093157
2013-08-14,-0.0068300387239641535
2013-08-15,-0.008764611511960813
2013-08-16,-0.0019827384198672212
2013-08-18,-0.0014649719100728214
2013-08-19,0.003300270439092104
2013-08-20,-0.003918449777199423
2013-08-21,-0.007025336244416397
2013-08-22,-0.004127917633104935
2013-08-23,-0.004318575265391696
2013-08-25,-0.0009392476216985238
2013-08-26,0.0011563347392546566
2013-08-27,0.005326701577250985
2013-08-28,-0.004709891347094379
2013-08-29,-0.0060433998735227494
2013-08-30,-0.0075743358154870925
2013-09-01,3.593919839197012e-05
2013-09-02,-0.001458741960565694
2013-09-03,0.003587193627154385
2013-09-04,-0.004229661200034291
2013-09-05,0.0017724184367208917
2013-09-06,-0.004787699773070688
2013-09-08,0.0007471087641171084
2013-09-09,0.0078070412102577156
2013-09-10,0.006049311187529927
2013-09-11,0.005988987387563344
2013-09-12,0.008688508763012342
2013-09-13,0.0018580394628456714
2013-09-15,0.0034060909096291273
2013-09-16,0.003234970545579719
2013-09-17,0.00801347818973099
2013-09-18,-0.009853251480420724
2013-09-19,0.0008491876377938962
2013-09-20,0.01199827026513512
2013-09-22,0.0007385291686588863
2013-09-23,-0.0023426512364248587
2013-09-24,-0.0023879099979427026
2013-09-25,0.006570475219675639
2013-09-26,-0.005758433452901219
2013-09-27,0.01165458893691735
2013-09-29,-0.002097063037627859
2013-09-30,0.0009600659509344621
2013-10-01,-0.010151993767752039
2013-10-02,0.014932727104864159
2013-10-03,0.0032771243712460974
2013-10-04,-0.013177711083819592
2013-10-06,0.0013205220733173424
2013-10-07,0.0027239133214919664
2013-10-08,-0.002031010496725804
