tf,inst,mean_sharpe,best_sharpe,bars
1d,XAUUSD,0.2125,0.42,3888
1d,MNQ,0.13,0.59,3606
1d,ES,0.0925,0.36,3607
1d,EURUSD,0.16,0.36,3899
2d,XAUUSD,0.23249999999999998,0.31,2272
2d,MNQ,0.195,0.63,2106
2d,ES,0.1275,0.53,2106
2d,EURUSD,0.095,0.32,2276
3d,XAUUSD,0.22749999999999998,0.48,1521
3d,MNQ,0.16000000000000003,0.66,1413
3d,ES,0.29000000000000004,0.56,1413
3d,EURUSD,0.185,0.42,1521
1w,XAUUSD,0.47500000000000003,0.74,651
1w,MNQ,0.7025,1.13,605
1w,ES,0.275,0.87,605
1w,EURUSD,0.06999999999999999,0.62,651
2w,XAUUSD,0.37749999999999995,1.16,326
2w,MNQ,1.45,2.21,303
2w,ES,0.675,1.11,303
2w,EURUSD,0.05333333333333332,0.36,326
