instrument,dir,entry_date,entry_px,exit_date,exit_px,days_held,pts_net,pct_net
XAUUSD,LONG,2010-07-09,1198.3,2012-02-14,1716.63,585,517.88,43.218
XAUUSD,SHORT,2012-02-14,1716.63,2012-04-01,1671.09,47,45.09,2.627
XAUUSD,LONG,2012-04-01,1671.09,2012-04-10,1652.89,9,-18.65,-1.116
XAUUSD,SHORT,2012-04-10,1652.89,2012-04-11,1654.98,1,-2.54,-0.154
XAUUSD,LONG,2012-04-11,1654.98,2012-04-17,1649.67,6,-5.76,-0.348
XAUUSD,SHORT,2012-04-17,1649.67,2012-04-26,1645.41,9,3.81,0.231
XAUUSD,LONG,2012-04-26,1645.41,2012-05-02,1659.16,6,13.3,0.808
XAUUSD,SHORT,2012-05-02,1659.16,2012-06-21,1601.7,50,57.01,3.436
XAUUSD,LONG,2012-06-21,1601.7,2012-06-22,1563.61,1,-38.54,-2.406
XAUUSD,SHORT,2012-06-22,1563.61,2012-07-03,1599.87,11,-36.71,-2.348
XAUUSD,LONG,2012-07-03,1599.87,2012-07-08,1580.59,5,-19.73,-1.233
XAUUSD,SHORT,2012-07-08,1580.59,2012-09-09,1735.64,63,-155.5,-9.838
XAUUSD,LONG,2012-09-09,1735.64,2013-02-17,1609.43,161,-126.66,-7.298
XAUUSD,SHORT,2013-02-17,1609.43,2013-02-19,1613.0,2,-4.02,-0.25
XAUUSD,LONG,2013-02-19,1613.0,2013-02-21,1559.94,2,-53.51,-3.317
XAUUSD,SHORT,2013-02-21,1559.94,2014-01-02,1222.01,315,337.48,21.634
XAUUSD,LONG,2014-01-02,1222.01,2014-01-03,1230.49,1,8.03,0.657
XAUUSD,SHORT,2014-01-03,1230.49,2014-01-10,1233.08,7,-3.04,-0.247
XAUUSD,LONG,2014-01-10,1233.08,2014-01-13,1250.15,3,16.62,1.348
XAUUSD,SHORT,2014-01-13,1250.15,2014-01-14,1251.82,1,-2.12,-0.17
XAUUSD,LONG,2014-01-14,1251.82,2014-01-15,1238.96,1,-13.31,-1.063
XAUUSD,SHORT,2014-01-15,1238.96,2014-02-11,1283.04,27,-44.53,-3.594
XAUUSD,LONG,2014-02-11,1283.04,2014-02-12,1285.21,1,1.72,0.134
XAUUSD,SHORT,2014-02-12,1285.21,2014-03-13,1372.89,29,-88.13,-6.857
XAUUSD,LONG,2014-03-13,1372.89,2014-03-14,1372.36,1,-0.98,-0.071
XAUUSD,SHORT,2014-03-14,1372.36,2014-03-20,1331.74,6,40.17,2.927
XAUUSD,LONG,2014-03-20,1331.74,2014-03-26,1311.81,6,-20.38,-1.53
XAUUSD,SHORT,2014-03-26,1311.81,2014-04-08,1299.68,13,11.68,0.89
XAUUSD,LONG,2014-04-08,1299.68,2014-04-10,1315.22,2,15.09,1.161
XAUUSD,SHORT,2014-04-10,1315.22,2014-04-11,1319.01,1,-4.24,-0.322
XAUUSD,LONG,2014-04-11,1319.01,2014-04-16,1298.1,5,-21.36,-1.619
XAUUSD,SHORT,2014-04-16,1298.1,2014-04-17,1301.12,1,-3.47,-0.267
XAUUSD,LONG,2014-04-17,1301.12,2014-04-25,1291.93,8,-9.64,-0.741
XAUUSD,SHORT,2014-04-25,1291.93,2014-05-18,1289.43,23,2.05,0.159
XAUUSD,LONG,2014-05-18,1289.43,2014-05-28,1264.54,10,-25.34,-1.965
XAUUSD,SHORT,2014-05-28,1264.54,2014-05-29,1256.93,1,7.16,0.566
XAUUSD,LONG,2014-05-29,1256.93,2014-06-04,1245.38,6,-12.0,-0.955
XAUUSD,SHORT,2014-06-04,1245.38,2014-06-06,1253.85,2,-8.92,-0.716
XAUUSD,LONG,2014-06-06,1253.85,2014-08-21,1288.77,76,34.47,2.749
XAUUSD,SHORT,2014-08-21,1288.77,2015-04-06,1217.24,228,71.08,5.515
XAUUSD,LONG,2015-04-06,1217.24,2015-04-07,1213.8,1,-3.89,-0.32
XAUUSD,SHORT,2015-04-07,1213.8,2015-04-09,1197.24,2,16.11,1.327
XAUUSD,LONG,2015-04-09,1197.24,2015-04-13,1206.13,4,8.44,0.705
XAUUSD,SHORT,2015-04-13,1206.13,2015-05-07,1188.22,24,17.46,1.448
XAUUSD,LONG,2015-05-07,1188.22,2015-05-27,1188.17,20,-0.5,-0.042
XAUUSD,SHORT,2015-05-27,1188.17,2015-06-03,1192.53,7,-4.81,-0.405
XAUUSD,LONG,2015-06-03,1192.53,2015-06-07,1171.59,4,-21.39,-1.794
XAUUSD,SHORT,2015-06-07,1171.59,2015-06-21,1200.07,14,-28.93,-2.469
XAUUSD,LONG,2015-06-21,1200.07,2015-06-23,1186.2,2,-14.32,-1.193
XAUUSD,SHORT,2015-06-23,1186.2,2015-06-29,1182.27,6,3.48,0.293
XAUUSD,LONG,2015-06-29,1182.27,2015-07-01,1174.67,2,-8.05,-0.681
XAUUSD,SHORT,2015-07-01,1174.67,2016-01-26,1112.4,209,61.82,5.263
XAUUSD,LONG,2016-01-26,1112.4,2016-10-16,1251.59,264,138.74,12.472
XAUUSD,SHORT,2016-10-16,1251.59,2016-10-17,1253.12,1,-1.98,-0.158
XAUUSD,LONG,2016-10-17,1253.12,2016-11-10,1283.21,24,29.64,2.365
XAUUSD,SHORT,2016-11-10,1283.21,2017-04-12,1274.79,153,7.97,0.621
XAUUSD,LONG,2017-04-12,1274.79,2017-04-28,1264.81,16,-10.43,-0.818
XAUUSD,SHORT,2017-04-28,1264.81,2017-04-30,1268.01,2,-3.65,-0.289
XAUUSD,LONG,2017-04-30,1268.01,2017-05-01,1263.97,1,-4.49,-0.354
XAUUSD,SHORT,2017-05-01,1263.97,2017-05-22,1252.61,21,10.91,0.863
XAUUSD,LONG,2017-05-22,1252.61,2017-10-19,1277.43,150,24.37,1.946
XAUUSD,SHORT,2017-10-19,1277.43,2017-10-24,1282.44,5,-5.46,-0.427
XAUUSD,LONG,2017-10-24,1282.44,2017-10-25,1274.25,1,-8.64,-0.674
XAUUSD,SHORT,2017-10-25,1274.25,2017-10-30,1270.83,5,2.97,0.233
XAUUSD,LONG,2017-10-30,1270.83,2017-12-07,1263.07,38,-8.21,-0.646
XAUUSD,SHORT,2017-12-07,1263.07,2017-12-20,1263.79,13,-1.17,-0.093
