instrument,account_usd,risk_pct,median_atr_1h_pts,stop_pts(1.5xATR),risk_per_contract_usd,contracts,losses_to_daily_cap_3pct,losses_to_trail_5pct
MES,25000,0.5,20.5932,30.8898,154.45,0,6,10
MES,25000,0.75,20.5932,30.8898,154.45,1,4,7
MES,25000,1.0,20.5932,30.8898,154.45,1,3,5
MES,50000,0.5,20.5932,30.8898,154.45,1,6,10
MES,50000,0.75,20.5932,30.8898,154.45,2,4,7
MES,50000,1.0,20.5932,30.8898,154.45,3,3,5
MES,100000,0.5,20.5932,30.8898,154.45,3,6,10
MES,100000,0.75,20.5932,30.8898,154.45,4,4,7
MES,100000,1.0,20.5932,30.8898,154.45,6,3,5
ES,25000,0.5,20.5932,30.8898,1544.49,0,6,10
ES,25000,0.75,20.5932,30.8898,1544.49,0,4,7
ES,25000,1.0,20.5932,30.8898,1544.49,0,3,5
ES,50000,0.5,20.5932,30.8898,1544.49,0,6,10
ES,50000,0.75,20.5932,30.8898,1544.49,0,4,7
ES,50000,1.0,20.5932,30.8898,1544.49,0,3,5
ES,100000,0.5,20.5932,30.8898,1544.49,0,6,10
ES,100000,0.75,20.5932,30.8898,1544.49,0,4,7
ES,100000,1.0,20.5932,30.8898,1544.49,0,3,5
MNQ,25000,0.5,135.125,202.6875,405.37,0,6,10
MNQ,25000,0.75,135.125,202.6875,405.37,0,4,7
MNQ,25000,1.0,135.125,202.6875,405.37,0,3,5
MNQ,50000,0.5,135.125,202.6875,405.37,0,6,10
MNQ,50000,0.75,135.125,202.6875,405.37,0,4,7
MNQ,50000,1.0,135.125,202.6875,405.37,1,3,5
MNQ,100000,0.5,135.125,202.6875,405.37,1,6,10
MNQ,100000,0.75,135.125,202.6875,405.37,1,4,7
MNQ,100000,1.0,135.125,202.6875,405.37,2,3,5
XAUUSD,25000,0.5,21.6633,32.4949,3249.49,0,6,10
XAUUSD,25000,0.75,21.6633,32.4949,3249.49,0,4,7
XAUUSD,25000,1.0,21.6633,32.4949,3249.49,0,3,5
XAUUSD,50000,0.5,21.6633,32.4949,3249.49,0,6,10
XAUUSD,50000,0.75,21.6633,32.4949,3249.49,0,4,7
XAUUSD,50000,1.0,21.6633,32.4949,3249.49,0,3,5
XAUUSD,100000,0.5,21.6633,32.4949,3249.49,0,6,10
XAUUSD,100000,0.75,21.6633,32.4949,3249.49,0,4,7
XAUUSD,100000,1.0,21.6633,32.4949,3249.49,0,3,5
EURUSD,25000,0.5,0.001,0.0015,151.74,0,6,10
EURUSD,25000,0.75,0.001,0.0015,151.74,1,4,7
EURUSD,25000,1.0,0.001,0.0015,151.74,1,3,5
EURUSD,50000,0.5,0.001,0.0015,151.74,1,6,10
EURUSD,50000,0.75,0.001,0.0015,151.74,2,4,7
EURUSD,50000,1.0,0.001,0.0015,151.74,3,3,5
EURUSD,100000,0.5,0.001,0.0015,151.74,3,6,10
EURUSD,100000,0.75,0.001,0.0015,151.74,4,4,7
EURUSD,100000,1.0,0.001,0.0015,151.74,6,3,5
