n_trades,n_taken,skipped_by_daily_cap,win_rate,avg_R,t_stat,profit_factor,total_return_pct,ann_return_pct,sharpe,max_dd_pct,worst_day_pct,trailing_dd_breaches,oos_days,model,instrument,strategy,style
13,13,0,0.3846,0.1445,0.33,1.231,1.33,1.96,0.4,-4.37,-0.78,0,171,MES_smc_A,MES,smc,A
13,13,0,0.3846,0.2984,0.58,1.477,1.9,2.81,0.7,-2.93,-0.52,0,171,MES_smc_B,MES,smc,B
17,17,0,0.4706,0.1352,0.46,1.255,0.22,0.22,-0.03,-1.98,-0.42,0,261,MES_smc_C,MES,smc,C
408,406,2,0.2512,-0.1143,-1.41,0.852,-31.5,-22.29,-1.14,-46.35,-3.08,8,378,MES_ml_A,MES,ml,A
437,437,0,0.2677,-0.1597,-2.15,0.79,-21.18,-14.67,-1.4,-22.8,-1.56,5,378,MES_ml_B,MES,ml,B
679,679,0,0.3711,-0.0492,-0.99,0.924,-10.22,-6.93,-0.58,-16.57,-2.18,7,378,MES_ml_C,MES,ml,C
296,296,0,0.2804,-0.0279,-0.29,0.962,-8.08,-5.48,-0.25,-18.82,-2.34,17,377,MES_ml_err_A,MES,ml_err,A
296,293,3,0.2901,-0.0183,-0.18,0.975,-0.36,-0.24,0.08,-16.18,-3.2,8,377,MES_ml_err_B,MES,ml_err,B
510,510,0,0.3902,-0.015,-0.27,0.975,-0.94,-0.63,-0.03,-7.27,-2.22,14,377,MES_ml_err_C,MES,ml_err,C
384,384,0,0.2396,-0.1667,-2.07,0.786,-39.78,-28.75,-1.61,-40.88,-2.99,4,377,MES_ml_rec_A,MES,ml_rec,A
457,453,4,0.3113,-0.0636,-0.86,0.911,-14.44,-9.9,-0.58,-16.85,-3.11,7,377,MES_ml_rec_B,MES,ml_rec,B
764,764,0,0.3194,-0.1657,-3.56,0.763,-27.45,-19.31,-2.26,-27.59,-2.08,5,377,MES_ml_rec_C,MES,ml_rec,C
156,156,0,0.2628,-0.1569,-1.3,0.784,-17.59,-12.1,-1.04,-18.31,-2.3,4,378,MES_ta_A,MES,ta,A
153,153,0,0.2614,-0.1394,-1.08,0.807,1.14,0.76,0.13,-9.36,-1.04,6,378,MES_ta_B,MES,ta,B
309,309,0,0.3269,-0.1004,-1.32,0.852,-12.17,-8.29,-0.97,-14.57,-1.84,8,378,MES_ta_C,MES,ta,C
13,13,0,0.3846,0.148,0.34,1.238,1.36,2.02,0.41,-4.35,-0.77,0,171,ES_smc_A,ES,smc,A
13,13,0,0.3846,0.3019,0.59,1.484,1.92,2.85,0.7,-2.91,-0.52,0,171,ES_smc_B,ES,smc,B
17,17,0,0.4706,0.1401,0.48,1.265,0.25,0.24,-0.02,-1.97,-0.41,0,261,ES_smc_C,ES,smc,C
408,406,2,0.2512,-0.1065,-1.32,0.861,-29.85,-21.05,-1.06,-45.51,-3.06,11,378,ES_ml_A,ES,ml,A
437,437,0,0.2677,-0.1515,-2.04,0.799,-22.41,-15.56,-1.3,-25.33,-2.56,3,378,ES_ml_B,ES,ml,B
679,679,0,0.3711,-0.0416,-0.84,0.935,-8.42,-5.69,-0.47,-14.21,-1.88,8,378,ES_ml_C,ES,ml,C
