n_trades,n_taken,skipped_by_daily_cap,win_rate,avg_R,t_stat,profit_factor,total_return_pct,ann_return_pct,sharpe,max_dd_pct,worst_day_pct,trailing_dd_breaches,oos_days,model,instrument,strategy,style
84,84,0,0.2619,-0.2631,-1.73,0.646,-15.67,-1.1,-0.41,-17.2,-1.16,1,3880,MES_smc_A,MES,smc,A
203,203,0,0.3645,-0.1493,-1.74,0.779,-13.23,-0.92,-0.35,-17.73,-1.16,1,3880,MES_smc_B,MES,smc,B
147,147,0,0.3878,-0.1019,-1.0,0.845,-3.5,-0.23,-0.17,-5.57,-0.62,2,3880,MES_smc_C,MES,smc,C
7311,7296,15,0.3081,-0.157,-8.76,0.791,-99.99,-44.33,-2.2,-99.99,-4.66,1,3904,MES_ml_A,MES,ml,A
5318,5289,29,0.2424,-0.148,-6.03,0.826,-98.75,-24.63,-1.5,-98.9,-6.21,4,3904,MES_ml_B,MES,ml,B
9570,9570,0,0.3196,-0.1696,-11.52,0.783,-98.83,-24.94,-2.61,-98.88,-2.63,2,3904,MES_ml_C,MES,ml,C
6532,6522,10,0.3099,-0.1488,-7.82,0.802,-99.96,-39.21,-1.97,-99.97,-3.85,2,3904,MES_ml_err_A,MES,ml_err,A
4890,4873,17,0.2356,-0.0911,-3.34,0.894,-92.88,-15.68,-0.92,-94.82,-3.79,4,3904,MES_ml_err_B,MES,ml_err,B
8430,8430,0,0.3471,-0.1445,-9.52,0.807,-92.56,-15.44,-2.05,-93.01,-3.02,4,3904,MES_ml_err_C,MES,ml_err,C
8455,8417,38,0.3014,-0.1663,-9.91,0.782,-100.0,-51.04,-2.43,-100.0,-4.13,1,3904,MES_ml_rec_A,MES,ml_rec,A
5640,5580,60,0.2154,-0.169,-6.82,0.808,-99.74,-31.88,-1.54,-99.77,-4.2,1,3904,MES_ml_rec_B,MES,ml_rec,B
11148,11142,6,0.3111,-0.19,-14.04,0.759,-99.95,-39.08,-3.22,-99.95,-3.68,1,3904,MES_ml_rec_C,MES,ml_rec,C
493,493,0,0.2921,-0.1435,-2.02,0.813,-43.17,-3.6,-0.5,-48.93,-2.34,3,3889,MES_ta_A,MES,ta,A
483,483,0,0.2588,-0.2205,-3.08,0.737,-47.16,-4.05,-0.67,-47.32,-2.34,2,3889,MES_ta_B,MES,ta,B
584,584,0,0.3425,-0.0672,-1.11,0.908,-7.86,-0.53,-0.23,-10.04,-0.84,7,3889,MES_ta_C,MES,ta,C
84,84,0,0.2619,-0.2411,-1.59,0.668,-14.49,-1.01,-0.38,-16.19,-1.07,2,3880,ES_smc_A,ES,smc,A
220,220,0,0.4,-0.0531,-0.64,0.916,0.34,0.02,0.05,-9.07,-1.42,2,3868,ES_smc_B,ES,smc,B
191,191,0,0.4084,-0.0406,-0.45,0.935,-3.04,-0.2,-0.15,-5.45,-0.57,2,3880,ES_smc_C,ES,smc,C
7311,7304,7,0.3104,-0.128,-7.16,0.825,-99.94,-38.33,-1.8,-99.95,-3.96,1,3904,ES_ml_A,ES,ml,A
5524,5487,37,0.2577,-0.1095,-4.67,0.865,-97.45,-21.08,-1.11,-97.82,-3.96,6,3904,ES_ml_B,ES,ml,B
9570,9570,0,0.3196,-0.1368,-9.32,0.82,-98.03,-22.4,-2.24,-98.13,-3.05,1,3904,ES_ml_C,ES,ml,C
