n_trades,n_taken,skipped_by_daily_cap,win_rate,avg_R,t_stat,profit_factor,total_return_pct,ann_return_pct,sharpe,calmar,max_dd_pct,worst_day_pct,trailing_dd_breaches,oos_days,model,instrument,strategy,style
7534,7528,6,0.313,-0.132,-7.43,0.822,-99.96,-40.16,-1.87,-0.4,-99.96,-3.88,1,3904,MES_ai_A,MES,ai,A
5109,5053,56,0.2161,-0.1481,-5.53,0.832,-99.0,-25.73,-1.29,-0.26,-99.08,-4.21,1,3904,MES_ai_B,MES,ai,B
9745,9745,0,0.3274,-0.1364,-9.3,0.822,-98.55,-23.92,-2.01,-0.24,-98.55,-3.03,3,3904,MES_ai_C,MES,ai,C
7534,7531,3,0.3155,-0.1032,-5.81,0.857,-99.82,-33.54,-1.47,-0.34,-99.82,-3.63,1,3904,ES_ai_A,ES,ai,A
5109,5040,69,0.2161,-0.1216,-4.54,0.859,-99.34,-27.67,-1.15,-0.28,-99.47,-4.07,1,3904,ES_ai_B,ES,ai,B
9747,9747,0,0.3279,-0.1061,-7.26,0.858,-90.99,-14.39,-1.55,-0.16,-91.0,-2.64,2,3904,ES_ai_C,ES,ai,C
7508,7501,7,0.3229,-0.0738,-4.14,0.895,-99.05,-25.9,-1.06,-0.26,-99.47,-3.7,1,3911,MNQ_ai_A,MNQ,ai,A
5514,5484,30,0.2484,-0.0193,-0.75,0.976,-66.57,-6.82,-0.29,-0.08,-83.67,-3.5,2,3911,MNQ_ai_B,MNQ,ai,B
9859,9859,0,0.3338,-0.0889,-6.15,0.879,-93.11,-15.84,-1.5,-0.17,-93.76,-2.65,1,3911,MNQ_ai_C,MNQ,ai,C
8477,8467,10,0.3133,-0.0922,-5.56,0.869,-99.83,-31.91,-1.35,-0.32,-99.88,-3.79,15,4199,XAUUSD_ai_A,XAUUSD,ai,A
5983,5923,60,0.2359,-0.0723,-2.99,0.911,-83.09,-10.12,-0.34,-0.11,-89.58,-3.44,19,4199,XAUUSD_ai_B,XAUUSD,ai,B
10657,10657,0,0.3432,-0.1209,-9.36,0.829,-98.14,-21.27,-1.98,-0.22,-98.25,-2.81,14,4199,XAUUSD_ai_C,XAUUSD,ai,C
9299,9280,19,0.3031,-0.1447,-9.03,0.807,-100.0,-46.98,-2.15,-0.47,-100.0,-3.75,2,4247,EURUSD_ai_A,EURUSD,ai,A
6538,6499,39,0.2453,-0.1327,-6.0,0.841,-98.85,-23.28,-1.18,-0.23,-99.13,-3.98,1,4247,EURUSD_ai_B,EURUSD,ai,B
11665,11665,0,0.3322,-0.1554,-12.17,0.792,-99.47,-26.76,-2.8,-0.27,-99.49,-3.05,4,4247,EURUSD_ai_C,EURUSD,ai,C
