n_days,ann_return_pct,sharpe,calmar,max_dd_pct,t_stat,DSR_prob_true_SR_gt_0,clue,family,label
4787,4.27,0.494,0.18,-23.73,2.15,0.682,eqtrend_ES,equity_trend,BETA
4787,6.41,0.616,0.32,-20.28,2.69,0.8412,buyhold_ES,buyhold,BETA
4786,6.34,0.702,0.41,-15.41,3.06,0.9136,eqtrend_NQ,equity_trend,BETA
4786,8.26,0.784,0.49,-16.86,3.42,0.9578,buyhold_NQ,buyhold,BETA
5068,6.16,0.745,0.27,-22.87,3.34,0.9519,gold_trend,equity_trend,BETA
4787,5.34,0.622,0.29,-18.63,2.71,0.8454,eqtrend_BOOK,equity_trend,BETA
4848,6.86,0.514,0.26,-25.9,2.25,0.7225,intraday_ES,intraday,drift
4847,11.26,0.669,0.33,-34.52,2.93,0.8985,intraday_NQ,intraday,drift
4787,-0.66,-0.111,-0.03,-23.14,-0.48,0.0143,tom_ES,seasonality,seas
4786,-0.44,-0.073,-0.02,-19.13,-0.32,0.0229,tom_NQ,seasonality,seas
