metric,bucket,n_train,avgR_train,t_train,p_train,n_test,avgR_test,t_test,p_test
session,Asia,64943,-0.1805,-28.48,0.0,45728,-0.0806,-10.73,0.0
session,London_KZ,33161,-0.2127,-24.09,0.0,22071,-0.1124,-10.45,0.0
session,NY_KZ,55548,-0.1607,-24.21,0.0,36599,-0.0595,-7.18,0.0
session,Off,133664,-0.1269,-30.6,0.0,87157,-0.0588,-11.41,0.0
dir,long,162964,-0.1088,-27.86,0.0,122097,-0.048,-10.68,0.0
dir,short,124352,-0.2167,-49.77,0.0,69458,-0.1095,-18.61,0.0
dow,0,58399,-0.1551,-23.98,0.0,39388,-0.062,-7.83,0.0
dow,1,57609,-0.1508,-23.09,0.0,38021,-0.0969,-12.23,0.0
dow,2,56886,-0.1735,-26.62,0.0,37542,-0.0937,-11.63,0.0
dow,3,56427,-0.142,-21.7,0.0,37486,-0.055,-6.82,0.0
dow,4,44623,-0.172,-23.52,0.0,29830,-0.0442,-4.82,0.0
dow,6,13372,-0.102,-7.39,0.0,9288,-0.0484,-2.97,0.0029
killzone,in_KZ,88709,-0.1802,-33.94,0.0,58670,-0.0794,-12.09,0.0
killzone,out_KZ,198607,-0.1444,-41.54,0.0,132885,-0.0663,-15.58,0.0
trend,down,131466,-0.1254,-29.12,0.0,89896,-0.0704,-13.49,0.0
trend,up,155850,-0.1808,-45.84,0.0,101659,-0.0703,-14.33,0.0
rsi_band,30-70,203832,-0.1637,-47.43,0.0,132146,-0.0789,-18.37,0.0
rsi_band,<30,39220,-0.1084,-13.67,0.0,28294,-0.0608,-6.48,0.0
rsi_band,>70,44264,-0.1591,-21.56,0.0,31115,-0.0426,-4.81,0.0
vol_ratio_b,lo,95772,-0.2451,-47.56,0.0,64813,-0.1077,-17.09,0.0
vol_ratio_b,mid,95772,-0.1372,-26.91,0.0,62403,-0.0749,-11.84,0.0
vol_ratio_b,hi,95772,-0.0841,-17.36,0.0,64339,-0.0283,-4.77,0.0
atr_pct_b,lo,95772,-0.292,-57.48,0.0,48953,-0.1809,-25.24,0.0
atr_pct_b,mid,95773,-0.142,-28.11,0.0,60312,-0.0763,-11.97,0.0
atr_pct_b,hi,95771,-0.0324,-6.55,0.0,82290,-0.0002,-0.03,0.9747
don_pos_b,lo,95772,-0.1382,-27.36,0.0,64722,-0.0662,-10.72,0.0
don_pos_b,mid,95772,-0.1549,-30.64,0.0,60009,-0.085,-13.37,0.0
don_pos_b,hi,95772,-0.1733,-34.59,0.0,66824,-0.0612,-10.11,0.0
