cond,n,avgR,t,p,bh_thresh,fdr_pass
session=Asia,110671,-0.13924998030816543,-28.723797425294343,0.0,0.0035714285714285713,True
session=London_KZ,55232,-0.17261725599807082,-25.281362955857627,0.0,0.007142857142857143,True
session=NY_KZ,92147,-0.12052956254311036,-23.24287392294342,0.0,0.010714285714285714,True
session=Off,220821,-0.10003185284316743,-30.947512521649774,0.0,0.014285714285714285,True
dir=long,285061,-0.08275372056903031,-28.066149876555045,0.0,0.01785714285714286,True
dir=short,193810,-0.1782706975449313,-50.907138848567634,0.0,0.02142857142857143,True
dow=0,97787,-0.11758400322768495,-23.467347434764896,0.0,0.025,True
dow=1,95630,-0.12938484425274072,-25.66657289797549,0.0,0.02857142857142857,True
dow=2,94428,-0.14178349836291432,-27.969170737826406,0.0,0.03214285714285715,True
dow=3,93913,-0.10725530114374053,-21.102579043003402,0.0,0.03571428571428572,True
dow=4,74453,-0.12080600195551379,-21.101436216360884,0.0,0.039285714285714285,True
killzone=in_KZ,147379,-0.14005003347115555,-33.90319454767772,0.0,0.04285714285714286,True
trend=down,221362,-0.10306325782495902,-31.026022259183964,0.0,0.04642857142857143,True
killzone=out_KZ,331492,-0.11312510813946054,-41.99402235616986,0.0,0.05,True
trend=up,257509,-0.13718438327073193,-44.602665813227986,0.0,0.053571428571428575,True
rsi_band=30-70,335978,-0.13038320295817665,-48.43230882522067,0.0,0.05714285714285714,True
don_pos_b=lo,160494,-0.10916270450691345,-27.91438255774635,0.0,0.060714285714285714,True
rsi_band=<30,67514,-0.08841919296955884,-14.602957461284353,0.0,0.0642857142857143,True
rsi_band=>70,75379,-0.11097362757110625,-19.562642579227326,0.0,0.06785714285714287,True
vol_ratio_b=lo,160585,-0.18960732879574324,-47.49233352126122,0.0,0.07142857142857144,True
vol_ratio_b=mid,158175,-0.11259899050719109,-28.3645491321457,0.0,0.07500000000000001,True
vol_ratio_b=hi,160111,-0.06172008176934821,-16.43561207108076,0.0,0.07857142857142857,True
atr_pct_b=lo,144725,-0.25441619797391357,-61.34996009397408,0.0,0.08214285714285714,True
atr_pct_b=mid,156085,-0.11661487197413363,-29.438976485210556,0.0,0.08571428571428572,True
don_pos_b=hi,162596,-0.1272295204082461,-32.95577451957472,0.0,0.0892857142857143,True
don_pos_b=mid,155781,-0.1279586858017328,-32.33007018702871,0.0,0.09285714285714286,True
dow=6,22660,-0.08004740103605565,-7.602443022136505,3.019806626980426e-14,0.09642857142857143,True
atr_pct_b=hi,178061,-0.017512457452525877,-4.804938249556508,1.5492503870895291e-06,0.1,True
