scope,mode,n_trades,n_taken,win_rate,avg_R,t_stat,profit_factor,total_return_pct,ann_return_pct,sharpe,calmar,max_dd_pct,trailing_dd_breaches,oos_days
MES,selective,87,87,0.2989,-0.2663,-1.96,0.648,-4.96,-0.59,-0.69,-0.12,-4.96,0,2158
MES,always_on,9342,9342,0.2266,-0.1098,-5.57,0.873,-81.69,-11.22,-1.41,-0.13,-83.72,7,3596
ES,selective,206,206,0.3641,-0.1281,-1.47,0.81,-5.39,-0.5,-0.38,-0.07,-6.95,1,2814
ES,always_on,9846,9846,0.2394,-0.0941,-5.06,0.886,-85.65,-12.72,-1.38,-0.14,-87.74,9,3596
MNQ,selective,97,97,0.299,-0.2237,-1.56,0.721,-8.51,-3.72,-0.81,-0.28,-13.26,4,591
MNQ,always_on,9559,9559,0.251,0.0054,0.27,1.007,-31.58,-2.62,-0.27,-0.04,-60.2,2,3609
XAUUSD,selective,58,58,0.2069,-0.3307,-1.66,0.612,-11.13,-0.84,-0.34,-0.08,-11.13,5,3506
XAUUSD,always_on,11528,11528,0.2375,-0.0735,-4.25,0.909,-79.25,-9.67,-0.76,-0.12,-82.64,15,3899
EURUSD,selective,114,114,0.3947,-0.0731,-0.62,0.884,-3.75,-0.27,-0.22,-0.04,-5.94,6,3618
EURUSD,always_on,12760,12760,0.2468,-0.1487,-9.52,0.821,-94.97,-17.33,-1.91,-0.18,-95.38,4,3958
GLOBAL,selective,562,562,0.3327,-0.1758,-3.17,0.755,-29.68,-16.69,-1.89,-0.54,-30.75,7,486
