entry_ts,exit_ts,leg,dir,R,risk_pct,pnl_pct,reason,equity,drawdown_pct
2025-12-04T14:15:00+00:00,2025-12-08T15:00:00+00:00,RULE:smc_B,1,-1.01,0.005,-0.505,stop,99494.95987,-0.51
2025-12-08T15:00:00+00:00,2025-12-10T15:00:00+00:00,RULE:smc_C,-1,-0.427,0.004,-0.171,time,99324.85049,-0.68
2025-12-26T16:00:00+00:00,2025-12-30T15:30:00+00:00,RULE:smc_C,-1,1.461,0.004,0.585,target,99905.45494,-0.09
2026-02-09T02:15:00+00:00,2026-02-09T05:30:00+00:00,RULE:smc_C,-1,-1.089,0.004,-0.436,stop,99470.08538,-0.53
2026-03-16T07:00:00+00:00,2026-03-16T14:00:00+00:00,RULE:smc_B,-1,-1.009,0.005,-0.504,stop,98968.29791,-1.03
2026-03-16T14:45:00+00:00,2026-03-17T04:30:00+00:00,RULE:smc_B,-1,-1.006,0.005,-0.503,stop,98470.55898,-1.53
2026-03-30T01:30:00+00:00,2026-03-30T10:15:00+00:00,RULE:smc_C,1,-1.063,0.004,-0.425,stop,98051.8994,-1.95
2026-04-08T14:45:00+00:00,2026-04-08T20:00:00+00:00,RULE:smc_C,-1,1.474,0.004,0.589,target,98629.85572,-1.37
2026-04-13T13:00:00+00:00,2026-04-13T14:15:00+00:00,RULE:smc_C,-1,-1.067,0.004,-0.427,stop,98209.08745,-1.79
2026-04-20T13:15:00+00:00,2026-04-20T14:30:00+00:00,RULE:smc_C,-1,-1.069,0.004,-0.427,stop,97789.32128,-2.21
2026-05-20T07:30:00+00:00,2026-05-20T09:00:00+00:00,RULE:smc_C,1,-1.092,0.004,-0.437,stop,97362.3351,-2.64
