sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
118608,118609,118619,1,-1.258593984747658,1.0,stop,1.914197658089506,0.002,RULE:ta_C
118922,118923,118931,1,-1.0989781608491138,1.0,stop,5.001103230788431,0.002,RULE:ta_C
119185,119186,119186,1,-1.1160272026515383,1.0,stop,4.266240921851932,0.002,RULE:ta_C
120428,120429,120435,1,-1.225502339749421,1.0,stop,2.195099175246014,0.002,RULE:ta_C
120621,120622,120644,1,-1.16339642649538,1.0,stop,3.0294420179011468,0.002,RULE:ta_C
120855,120856,120952,-1,-0.3999809559948269,1.0,time,9.67546064880662,0.002,RULE:ta_C
120859,120860,120899,-1,1.9810653923435135,1.0,target,6.337601611665377,0.002,RULE:ta_C
120862,120863,120874,-1,-1.0923579667275534,1.0,stop,5.359580960245694,0.002,RULE:ta_C
121168,121169,121185,-1,1.981339686615686,1.0,target,6.430760166164873,0.002,RULE:ta_C
122169,122170,122196,1,-1.0769668552020248,1.0,stop,6.431339811152611,0.002,RULE:ta_C
122811,122812,122832,-1,-1.080435953454235,1.0,stop,6.153964474128316,0.002,RULE:ta_C
122919,122920,122921,1,-1.0725419542593626,1.0,stop,6.823637508168076,0.002,RULE:ta_C
123807,123808,123815,1,1.9743564538697655,1.0,target,4.679540005526633,0.002,RULE:ta_C
123837,123838,123911,1,-1.0616711963742478,1.0,stop,8.026437447331546,0.002,RULE:ta_C
124054,124055,124080,1,-1.1434436470204348,1.0,stop,3.4508325065764893,0.002,RULE:ta_C
125445,125446,125457,1,-1.1958891472903697,1.0,stop,2.5269393779444727,0.002,RULE:ta_C
126815,126816,126833,-1,1.956034835453984,1.0,target,2.729433660470022,0.002,RULE:ta_C
127690,127691,127778,1,1.976649784256039,1.0,target,5.139138812070087,0.002,RULE:ta_C
128501,128502,128512,-1,-1.1899387120596543,1.0,stop,2.606103803865608,0.002,RULE:ta_C
129434,129435,129435,-1,-1.0998040391073691,1.0,stop,4.959719109839625,0.002,RULE:ta_C
129516,129517,129519,1,-1.1506882440140935,1.0,stop,3.28492778742384,0.002,RULE:ta_C
129862,129863,129865,1,1.9679491325921457,1.0,target,3.744048436286448,0.002,RULE:ta_C
130902,130903,130918,1,-1.2022293605410967,1.0,stop,2.447715794954547,0.002,RULE:ta_C
132213,132214,132232,-1,-1.089983269289336,1.0,stop,5.501022622420578,0.002,RULE:ta_C
132250,132251,132253,-1,-1.1165197924915056,1.0,stop,4.248205299851406,0.002,RULE:ta_C
132898,132899,132967,1,1.9781476033514396,1.0,target,5.491388515863491,0.002,RULE:ta_C
135398,135399,135417,1,-1.3899684527717953,1.0,stop,1.2693334460304868,0.002,RULE:ta_C
135942,135943,135944,1,-1.38577689818128,1.0,stop,1.283125045417819,0.002,RULE:ta_C
135943,135944,135944,1,-1.397470628810266,1.0,stop,1.2453750393624432,0.002,RULE:ta_C
137158,137159,137165,-1,-1.0601098734590348,1.0,stop,8.23492001421937,0.002,RULE:ta_C
137161,137162,137167,-1,-1.0608495847238262,1.0,stop,8.13481311740452,0.002,RULE:ta_C
