sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
119376,119377,119461,1,1.974470466350548,1.0,target,0.0031336255921665,0.002,RULE:smc_C
119469,119470,119472,-1,-1.0572735302834475,1.0,stop,0.0022698094452486,0.002,RULE:smc_C
124576,124577,124604,1,-1.0308020163470677,1.0,stop,0.0042205029221238,0.002,RULE:smc_C
131573,131574,131746,-1,1.9854009982627456,1.0,target,0.005479826733348,0.002,RULE:smc_C
132913,132914,132928,-1,1.9820328842717392,1.0,target,0.0044525788785434,0.002,RULE:smc_C
137510,137511,137530,1,1.979057616255509,1.0,target,0.0038200044930913,0.002,RULE:smc_C
139804,139805,139812,1,-1.0942750971741972,1.0,stop,0.0013789431556872,0.002,RULE:smc_C
141472,141473,141511,1,1.977674187276628,1.0,target,0.003583296204767,0.0025,RULE:smc_B
141732,141733,141762,-1,1.9725596404207133,1.0,target,0.0029154136908755,0.0025,RULE:smc_B
142044,142045,142062,-1,-1.05431667455003,1.0,stop,0.0023933718526962,0.0025,RULE:smc_B
142203,142204,142214,-1,-1.1050595469604858,1.0,stop,0.0012373934950338,0.0025,RULE:smc_B
142218,142219,142240,-1,1.9769688503363143,1.0,target,0.0034735565166397,0.0025,RULE:smc_B
142504,142505,142514,-1,-1.0362648783098485,1.0,stop,0.0035847355915379,0.0025,RULE:smc_B
142719,142720,142779,1,1.9799416554786748,1.0,target,0.0039883650375507,0.0025,RULE:smc_B
143695,143696,143743,-1,-1.0694593982856204,1.0,stop,0.0018715969790803,0.0025,RULE:smc_B
143821,143822,143840,-1,-1.0810515990421958,1.0,stop,0.0016039165363341,0.0025,RULE:smc_B
144831,144832,144838,-1,-1.0397470881458306,1.0,stop,0.0032706798425872,0.0025,RULE:smc_B
145864,145865,145910,1,1.980810480689095,1.0,target,0.0041689423639985,0.0025,RULE:smc_B
146053,146054,146097,-1,1.9695899332343976,1.0,target,0.0026307078053011,0.0025,RULE:smc_B
146653,146654,146699,-1,-1.035850442601395,1.0,stop,0.0036261755941346,0.0025,RULE:smc_B
147113,147114,147131,-1,-1.0519255140937045,1.0,stop,0.0025035861901243,0.0025,RULE:smc_B
148842,148843,148941,-1,1.9608016322831807,1.0,target,0.0020409013094102,0.0025,RULE:smc_B
150229,150230,150232,1,-1.122059318863308,1.0,stop,0.0010650559188003,0.0025,RULE:smc_B
150641,150642,150645,-1,-1.1185969848829582,1.0,stop,0.0010961492834611,0.0025,RULE:smc_B
152251,152252,152276,1,1.959776342717811,1.0,target,0.001988879316437,0.0025,RULE:smc_B
152738,152739,152758,1,-1.0697151076662743,1.0,stop,0.0018647321126206,0.0025,RULE:smc_B
153747,153748,153834,1,-1.042266902394282,1.0,stop,0.0030756926255777,0.0025,RULE:smc_B
155573,155574,155656,1,-1.0366602333745651,1.0,stop,0.0035460767167483,0.0025,RULE:smc_B
157391,157392,157394,-1,-1.045152690329936,1.0,stop,0.0028791196947552,0.0025,RULE:smc_B
157575,157576,157587,1,-1.045568283502993,1.0,stop,0.0028528614643026,0.0025,RULE:smc_B
