sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg,entry_ts,exit_ts
119376,0,1,1,1.974470466350548,1.0,target,0.0031336255921665,0.002,RULE:smc_C,2014-10-20 08:45:00+00:00,2014-10-21 05:45:00+00:00
119469,2,3,-1,-1.0572735302834475,1.0,stop,0.0022698094452486,0.002,RULE:smc_C,2014-10-21 08:00:00+00:00,2014-10-21 08:30:00+00:00
118362,4,5,-1,-1.0977509256594238,1.0,stop,2.301768484360309,0.0075,RULE:ta_A,2014-12-08 07:45:00+00:00,2014-12-08 08:00:00+00:00
118560,6,7,1,1.055705700255573,1.0,time,3.5047646319465,0.0075,RULE:ta_A,2014-12-10 11:00:00+00:00,2014-12-11 00:00:00+00:00
119726,8,9,-1,-1.0963498656876698,1.0,stop,2.3352393736518025,0.0075,RULE:ta_A,2014-12-30 05:45:00+00:00,2014-12-30 08:15:00+00:00
124576,10,11,1,-1.0308020163470677,1.0,stop,0.0042205029221238,0.002,RULE:smc_C,2015-01-06 15:15:00+00:00,2015-01-06 22:00:00+00:00
121274,12,13,1,-1.1097697758583889,1.0,stop,2.0497445516348307,0.0075,RULE:ta_A,2015-01-23 05:00:00+00:00,2015-01-23 05:45:00+00:00
121588,14,15,1,-1.0531835432914172,1.0,stop,4.230631997703313,0.0075,RULE:ta_A,2015-01-28 14:30:00+00:00,2015-01-28 19:15:00+00:00
121752,16,17,-1,-1.0728977821206378,1.0,stop,3.086513655896397,0.0075,RULE:ta_A,2015-01-30 09:30:00+00:00,2015-01-30 15:30:00+00:00
121849,18,19,1,-1.0904310537222743,1.0,stop,2.4880833600691403,0.0075,RULE:ta_A,2015-02-02 10:45:00+00:00,2015-02-02 12:30:00+00:00
122789,20,21,1,-1.0852787950911715,1.0,stop,2.638405007474148,0.0075,RULE:ta_A,2015-02-16 15:15:00+00:00,2015-02-17 03:00:00+00:00
122986,22,23,-1,-1.0710710933639518,1.0,stop,3.1658440773901475,0.0075,RULE:ta_A,2015-02-18 23:15:00+00:00,2015-02-19 01:00:00+00:00
123511,24,25,1,0.3210618584435505,1.0,time,4.765436814629311,0.0075,RULE:ta_A,2015-02-26 15:15:00+00:00,2015-02-27 04:15:00+00:00
123843,26,27,-1,3.0,1.0,target,1.6977000413594396,0.0075,RULE:ta_A,2015-03-04 06:15:00+00:00,2015-03-04 09:30:00+00:00
125624,28,29,-1,-1.0692816945704084,1.0,stop,3.2476110954712567,0.0075,RULE:ta_A,2015-03-31 13:30:00+00:00,2015-03-31 15:15:00+00:00
125818,30,31,1,3.0,1.0,target,4.51977271308624,0.0075,RULE:ta_A,2015-04-02 15:30:00+00:00,2015-04-05 23:00:00+00:00
131573,32,33,-1,1.9854009982627456,1.0,target,0.005479826733348,0.002,RULE:smc_C,2015-04-17 12:30:00+00:00,2015-04-21 07:30:00+00:00
126916,34,35,-1,-1.1191800382198192,1.0,stop,1.8879000490410365,0.0075,RULE:ta_A,2015-04-21 11:45:00+00:00,2015-04-21 12:30:00+00:00
127120,36,37,-1,-1.0583629706974802,1.0,stop,3.855184157197528,0.0075,RULE:ta_A,2015-04-23 16:30:00+00:00,2015-04-23 19:00:00+00:00
127256,38,39,-1,-1.1302471949787338,1.0,stop,1.727484419427583,0.0075,RULE:ta_A,2015-04-27 04:30:00+00:00,2015-04-27 11:45:00+00:00
127287,40,41,-1,-1.105758531504146,1.0,stop,2.127487936905481,0.0075,RULE:ta_A,2015-04-27 12:15:00+00:00,2015-04-27 12:30:00+00:00
127804,42,43,1,3.0,1.0,target,1.676031952392805,0.0075,RULE:ta_A,2015-05-05 03:30:00+00:00,2015-05-05 12:15:00+00:00
132913,44,45,-1,1.9820328842717392,1.0,target,0.0044525788785434,0.002,RULE:smc_C,2015-05-07 11:30:00+00:00,2015-05-07 15:00:00+00:00
130305,46,47,1,-1.1107143907748631,1.0,stop,2.0322561360378586,0.0075,RULE:ta_A,2015-06-11 09:00:00+00:00,2015-06-11 10:00:00+00:00
132044,48,49,-1,-1.0723256266735868,1.0,stop,3.110930528336212,0.0075,RULE:ta_A,2015-07-08 12:45:00+00:00,2015-07-08 14:00:00+00:00
137510,50,51,1,1.979057616255509,1.0,target,0.0038200044930913,0.002,RULE:smc_C,2015-07-14 08:45:00+00:00,2015-07-14 13:30:00+00:00
132859,52,53,-1,1.9005617253607912,1.0,time,3.467395934614615,0.0075,RULE:ta_A,2015-07-21 09:15:00+00:00,2015-07-21 21:15:00+00:00
133242,54,55,1,-1.0735132351803751,1.0,stop,3.060673352870936,0.0075,RULE:ta_A,2015-07-27 13:00:00+00:00,2015-07-27 13:15:00+00:00
134512,56,57,-1,-1.1190165241576533,1.0,stop,1.8904937914492168,0.0075,RULE:ta_A,2015-08-14 07:45:00+00:00,2015-08-14 08:00:00+00:00
