sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
118608,118609,118619,1,-1.3317316774035608,1.0,stop,1.914197658089506,0.002,RULE:ta_C
118922,118923,118931,1,-1.1269719841195702,1.0,stop,5.001103230788431,0.002,RULE:ta_C
119185,119186,119186,1,-1.1488429771388422,1.0,stop,4.266240921851932,0.002,RULE:ta_C
120428,120429,120435,1,-1.2892807792745091,1.0,stop,2.195099175246014,0.002,RULE:ta_C
120621,120622,120644,1,-1.209609557221346,1.0,stop,3.0294420179011468,0.002,RULE:ta_C
120855,120856,120952,-1,-0.4144505513021332,1.0,time,9.67546064880662,0.002,RULE:ta_C
120859,120860,120899,-1,1.9589750167442797,1.0,target,6.337601611665377,0.002,RULE:ta_C
120862,120863,120874,-1,-1.118479411862619,1.0,stop,5.359580960245694,0.002,RULE:ta_C
121168,121169,121185,-1,1.9595693210006528,1.0,target,6.430760166164873,0.002,RULE:ta_C
122169,122170,122196,1,-1.0987352586935064,1.0,stop,6.431339811152611,0.002,RULE:ta_C
122811,122812,122832,-1,-1.1031855160473518,1.0,stop,6.153964474128316,0.002,RULE:ta_C
122919,122920,122921,1,-1.093058870615546,1.0,stop,6.823637508168076,0.002,RULE:ta_C
123807,123808,123815,1,1.944438983384492,1.0,target,4.679540005526633,0.002,RULE:ta_C
123837,123838,123911,1,-1.079113554944742,1.0,stop,8.026437447331546,0.002,RULE:ta_C
124054,124055,124080,1,-1.1840135673898506,1.0,stop,3.4508325065764893,0.002,RULE:ta_C
125445,125446,125457,1,-1.2512921384432014,1.0,stop,2.5269393779444727,0.002,RULE:ta_C
126815,126816,126833,-1,1.904742143483632,1.0,target,2.729433660470022,0.002,RULE:ta_C
127690,127691,127778,1,1.9494078658880845,1.0,target,5.139138812070087,0.002,RULE:ta_C
128501,128502,128512,-1,-1.2436587518341022,1.0,stop,2.606103803865608,0.002,RULE:ta_C
129434,129435,129435,-1,-1.128031444107433,1.0,stop,4.959719109839625,0.002,RULE:ta_C
129516,129517,129519,1,-1.1933071413110088,1.0,stop,3.28492778742384,0.002,RULE:ta_C
129862,129863,129865,1,1.9305564539496496,1.0,target,3.744048436286448,0.002,RULE:ta_C
130902,130903,130918,1,-1.2594255433203965,1.0,stop,2.447715794954547,0.002,RULE:ta_C
132213,132214,132232,-1,-1.1154330828257135,1.0,stop,5.501022622420578,0.002,RULE:ta_C
132250,132251,132253,-1,-1.149474885317386,1.0,stop,4.248205299851406,0.002,RULE:ta_C
132898,132899,132967,1,1.952653140594785,1.0,target,5.491388515863491,0.002,RULE:ta_C
135398,135399,135417,1,-1.5002625606264444,1.0,stop,1.2693334460304868,0.002,RULE:ta_C
135942,135943,135944,1,-1.4948855158487124,1.0,stop,1.283125045417819,0.002,RULE:ta_C
135943,135944,135944,1,-1.5098865642313513,1.0,stop,1.2453750393624432,0.002,RULE:ta_C
137158,137159,137165,-1,-1.077110645750479,1.0,stop,8.23492001421937,0.002,RULE:ta_C
137161,137162,137167,-1,-1.0780595682820802,1.0,stop,8.13481311740452,0.002,RULE:ta_C
