sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
118094,118095,118103,-1,-1.205729100659254,1.0,stop,6.659242642921527,0.004,RULE:ta_C
119046,119047,119049,-1,-1.0702818860112784,1.0,stop,19.492931646429497,0.004,RULE:ta_C
120385,120386,120451,1,-1.07886318946796,1.0,stop,17.371856365974054,0.004,RULE:ta_C
121208,121209,121401,-1,-0.0174316267420318,1.0,time,35.56753532962193,0.004,RULE:ta_C
122057,122058,122100,-1,1.9683510812861644,1.0,target,19.58992677146216,0.004,RULE:ta_C
122060,122061,122097,-1,1.957386749048246,1.0,target,14.549464923527012,0.004,RULE:ta_C
122061,122062,122072,-1,-1.102581743369896,1.0,stop,13.355202933722468,0.004,RULE:ta_C
122073,122074,122084,-1,1.932503133454466,1.0,target,9.185611595491537,0.004,RULE:ta_C
122367,122368,122384,-1,1.959180120746385,1.0,target,15.188677951444332,0.004,RULE:ta_C
123370,123371,123408,1,1.9568468289320544,1.0,target,14.367426185755903,0.004,RULE:ta_C
123476,123477,123491,-1,-1.0729148067790264,1.0,stop,18.78905068146014,0.004,RULE:ta_C
123648,123649,123659,-1,1.9616223102871535,1.0,target,16.15521946836907,0.004,RULE:ta_C
124090,124091,124109,-1,1.9475093544153173,1.0,target,11.811628397668755,0.004,RULE:ta_C
125015,125016,125023,1,1.9503938557611915,1.0,target,12.49845174451093,0.004,RULE:ta_C
125274,125275,125305,1,1.9276619611191683,1.0,target,8.570871004968467,0.004,RULE:ta_C
125682,125683,125683,-1,-1.092085328561625,1.0,stop,14.877505693897549,0.004,RULE:ta_C
126869,126870,126893,1,1.9585695427466636,1.0,target,14.964836043417565,0.004,RULE:ta_C
127348,127349,127371,-1,-1.0920669555057487,1.0,stop,14.880474677089296,0.004,RULE:ta_C
127900,127901,127934,1,-1.1045260987237553,1.0,stop,13.106774448940996,0.004,RULE:ta_C
128039,128040,128052,-1,1.900673981323835,1.0,target,6.242070388640059,0.004,RULE:ta_C
128989,128990,129004,-1,-1.1355610310852915,1.0,stop,10.106149156817992,0.004,RULE:ta_C
129302,129303,129316,-1,-1.1399465834539129,1.0,stop,9.78944941840018,0.004,RULE:ta_C
129724,129725,129734,-1,1.9131633202549263,1.0,target,7.139840005630504,0.004,RULE:ta_C
129749,129750,129753,-1,-1.0988680610429988,1.0,stop,13.856851095766617,0.004,RULE:ta_C
129965,129966,129981,-1,-1.2537631077283775,1.0,stop,5.398735900832435,0.004,RULE:ta_C
130734,130735,130743,1,-1.161018318764928,1.0,stop,8.508348680500603,0.004,RULE:ta_C
130735,130736,130739,1,-1.1786280331586725,1.0,stop,7.669568856435035,0.004,RULE:ta_C
131085,131086,131088,1,1.9358846441365976,1.0,target,9.670070323260916,0.004,RULE:ta_C
