sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
118362,118363,118364,-1,-1.0977509256594238,1.0,stop,2.301768484360309,0.0075,RULE:ta_A
118560,118561,118609,1,1.055705700255573,1.0,time,3.5047646319465,0.0075,RULE:ta_A
119726,119727,119737,-1,-1.0963498656876698,1.0,stop,2.3352393736518025,0.0075,RULE:ta_A
121274,121275,121278,1,-1.1097697758583889,1.0,stop,2.0497445516348307,0.0075,RULE:ta_A
121588,121589,121608,1,-1.0531835432914172,1.0,stop,4.230631997703313,0.0075,RULE:ta_A
121752,121753,121777,-1,-1.0728977821206378,1.0,stop,3.086513655896397,0.0075,RULE:ta_A
121849,121850,121857,1,-1.0904310537222743,1.0,stop,2.4880833600691403,0.0075,RULE:ta_A
122789,122790,122817,1,-1.0852787950911715,1.0,stop,2.638405007474148,0.0075,RULE:ta_A
122986,122987,122994,-1,-1.0710710933639518,1.0,stop,3.1658440773901475,0.0075,RULE:ta_A
123511,123512,123560,1,0.3210618584435505,1.0,time,4.765436814629311,0.0075,RULE:ta_A
123843,123844,123857,-1,3.0,1.0,target,1.6977000413594396,0.0075,RULE:ta_A
125624,125625,125632,-1,-1.0692816945704084,1.0,stop,3.2476110954712567,0.0075,RULE:ta_A
125818,125819,125853,1,3.0,1.0,target,4.51977271308624,0.0075,RULE:ta_A
126916,126917,126920,-1,-1.1191800382198192,1.0,stop,1.8879000490410365,0.0075,RULE:ta_A
127120,127121,127131,-1,-1.0583629706974802,1.0,stop,3.855184157197528,0.0075,RULE:ta_A
127256,127257,127286,-1,-1.1302471949787338,1.0,stop,1.727484419427583,0.0075,RULE:ta_A
127287,127288,127289,-1,-1.105758531504146,1.0,stop,2.127487936905481,0.0075,RULE:ta_A
127804,127805,127840,1,3.0,1.0,target,1.676031952392805,0.0075,RULE:ta_A
130305,130306,130310,1,-1.1107143907748631,1.0,stop,2.0322561360378586,0.0075,RULE:ta_A
132044,132045,132050,-1,-1.0723256266735868,1.0,stop,3.110930528336212,0.0075,RULE:ta_A
132859,132860,132908,-1,1.9005617253607912,1.0,time,3.467395934614615,0.0075,RULE:ta_A
133242,133243,133244,1,-1.0735132351803751,1.0,stop,3.060673352870936,0.0075,RULE:ta_A
134512,134513,134514,-1,-1.1190165241576533,1.0,stop,1.8904937914492168,0.0075,RULE:ta_A
135062,135063,135091,1,3.0,1.0,target,4.4971912262012665,0.0075,RULE:ta_A
135323,135324,135363,-1,3.0,1.0,target,2.0845971719927547,0.0075,RULE:ta_A
136903,136904,136906,1,-1.145582164425353,1.0,stop,1.5455189918905037,0.0075,RULE:ta_A
137073,137074,137091,-1,-1.139475020464921,1.0,stop,1.6131920916727722,0.0075,RULE:ta_A
137257,137258,137260,1,-1.1309756162254494,1.0,stop,1.7178770101193097,0.0075,RULE:ta_A
137802,137803,137806,1,-1.1518709164474978,1.0,stop,1.4815213160163694,0.0075,RULE:ta_A
137820,137821,137826,1,-1.1023224565014322,1.0,stop,2.198930788929601,0.0075,RULE:ta_A
138338,138339,138343,1,-1.0856303402264105,1.0,stop,2.6275733508123267,0.0075,RULE:ta_A
138342,138343,138343,1,-1.1046095304464596,1.0,stop,2.150855653778762,0.0075,RULE:ta_A
138471,138472,138479,1,3.0,1.0,target,3.794752319117378,0.0075,RULE:ta_A
138911,138912,138939,1,-1.0852795019334625,1.0,stop,2.638383138957124,0.0075,RULE:ta_A
139005,139006,139034,-1,-1.0953580254665296,1.0,stop,2.359528722402956,0.0075,RULE:ta_A
139731,139732,139748,-1,3.0,1.0,target,1.5424492639333494,0.0075,RULE:ta_A
140594,140595,140596,1,-1.0675883130235224,1.0,stop,3.3289778947671493,0.0075,RULE:ta_A
140596,140597,140613,1,-1.0659289342240916,1.0,stop,3.41276561873633,0.0075,RULE:ta_A
140971,140972,140975,1,-1.0705415076686355,1.0,stop,3.1896114420580943,0.0075,RULE:ta_A
213639,213640,213646,-1,-1.1263205304383457,1.0,stop,1.7811831474989503,0.005,RULE:smc_B
218005,218006,218035,-1,-1.0817129215302654,1.0,stop,2.753542472674553,0.005,RULE:smc_B
232548,232549,232551,1,-1.0851006275755746,1.0,stop,2.643928798293473,0.005,RULE:smc_B
262303,262304,262308,-1,-1.031328193180557,1.0,stop,7.182029257261775,0.005,RULE:smc_B
272586,272587,272589,-1,-1.0374421621636605,1.0,stop,6.009268348778278,0.005,RULE:smc_B
278070,278071,278100,-1,-1.0478205501937328,1.0,stop,4.705090156603774,0.005,RULE:smc_B
