sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
72803,72804,72812,1,-1.2752581290181222,0.5,stop,4.977146378517318,0.0075
72842,72843,72891,-1,-0.6251703077713325,1.25,time,13.388351775435694,0.0075
73193,73194,73242,-1,0.016010276099784,0.75,time,8.119785017433514,0.0075
73764,73765,73766,-1,-1.0687690648649895,0.5,stop,19.921748284488785,0.0075
73821,73822,73828,1,-1.4659711680520322,0.5,stop,2.9400960701650547,0.0075
74450,74451,74464,1,-1.1845478419067699,0.5,stop,7.423549285892477,0.0075
74858,74859,74907,1,2.5654145933676453,0.5,time,8.041585189908346,0.0075
74930,74931,74931,1,-1.3038506764818312,0.5,stop,4.508793647796665,0.0075
75479,75480,75480,1,-1.211709050393949,0.5,stop,6.471145175185939,0.0075
75496,75497,75510,-1,2.9191893271598173,1.0,target,7.672253901735985,0.0075
75717,75718,75766,1,0.8330680678700444,0.5,time,8.258628874817532,0.0075
75859,75860,75908,-1,0.6155632062993114,0.75,time,16.456474162743234,0.0075
76037,76038,76086,-1,1.1316111239369264,0.75,time,25.079286867793144,0.0075
76275,76276,76286,-1,-1.1176250012275446,0.5,stop,11.647183725420291,0.0075
77037,77038,77047,1,2.9031079784042406,0.5,target,6.398875674064129,0.0075
77227,77228,77228,-1,-1.4251311257103794,0.5,stop,3.222535159501149,0.0075
77841,77842,77847,-1,-1.2483999645342472,0.75,stop,5.515298694058856,0.0075
77945,77946,77946,1,-1.1916068529689188,0.5,stop,7.150057415859919,0.0075
77948,77949,77951,-1,-1.0952679197934787,0.75,stop,14.380496634857536,0.0075
78106,78107,78110,-1,2.808599735430393,0.5,target,3.239284968566608,0.0075
78130,78131,78134,-1,-1.166686489455086,0.5,stop,8.219022456341008,0.0075
78286,78287,78315,-1,-1.1540758394857231,0.5,stop,8.89172503990767,0.0075
80197,80198,80246,1,0.8628465606930426,0.5,time,7.394130417435463,0.0075
80897,80898,80898,1,-1.2588947633170053,0.5,stop,5.291725419422619,0.0075
81213,81214,81221,-1,-1.0440475677507335,1.0,stop,31.102738924266305,0.0075
81544,81545,81568,1,2.904761425930398,0.5,target,6.509967269636945,0.0075
82699,82700,82748,1,-0.4246618914694426,0.75,time,25.596834136415964,0.0075
83524,83525,83573,1,2.173198827942901,1.0,time,12.888834486678661,0.0075
84058,84059,84107,1,0.2047109178776406,0.5,time,11.62615079193074,0.0075
84172,84173,84221,-1,0.02908190888751834,0.75,time,13.066542552957799,0.0075
84256,84257,84305,1,-0.09148994325471912,1.25,time,12.241782650162804,0.0075
84324,84325,84325,1,-1.465320539841823,0.5,stop,2.9442070201021124,0.0075
84334,84335,84346,-1,-1.1966304576852442,0.5,stop,6.967384484213653,0.0075
84717,84718,84766,1,0.380213354348292,0.75,time,8.889745616098935,0.0075
84826,84827,84855,1,2.9047193281732797,1.0,target,6.5070909777750785,0.0075
85185,85186,85234,1,0.06852570093987843,0.75,time,11.090729311428731,0.0075
85246,85247,85274,1,-1.3776918561224123,0.5,stop,3.627295579166457,0.0075
85290,85291,85291,-1,-1.2342651098363644,0.5,stop,5.848075289388817,0.0075
85524,85525,85525,1,-1.2935189497308506,0.5,stop,4.667501029341565,0.0075
85562,85563,85611,-1,0.010255084321428149,0.5,time,12.676638818889387,0.0075
85664,85665,85666,1,-1.1315580749819103,1.25,stop,10.413651919035601,0.0075
85924,85925,85973,1,1.735699576343639,0.75,time,8.716946300045947,0.0075
86699,86700,86701,1,-1.4794163260530953,0.5,stop,2.8576415227216785,0.0075
86738,86739,86742,-1,-1.2034647869110568,0.5,stop,6.733351853158183,0.0075
86821,86822,86822,1,-1.371596660045545,0.5,stop,3.6867930939747566,0.0075
87020,87021,87069,-1,-0.34893411458398493,1.25,time,26.136739340815893,0.0075
87071,87072,87078,1,2.8301407303369905,0.5,target,3.6500804532483926,0.0075
87106,87107,87155,1,-0.9047689120621534,0.75,time,10.079921931903755,0.0075
87850,87851,87859,-1,-1.126432749353139,1.25,stop,10.835800115154143,0.0075
87918,87919,87924,-1,-1.151389621516195,0.75,stop,9.049497490509566,0.0075
88498,88499,88500,-1,-1.1737026759481788,0.5,stop,7.88704026879077,0.0075
89049,89050,89082,1,2.9277065603514068,0.5,target,8.576158542375651,0.0075
89518,89519,89561,1,2.859438038627454,0.5,target,4.410866168527264,0.0075
89879,89880,89928,-1,-0.13448305846090117,1.25,time,4.610246131338954,0.0075
90066,90067,90115,-1,-1.0110173479537834,1.0,time,10.25699511584844,0.0075
90608,90609,90614,1,-1.105279447302162,0.75,stop,13.012986248569177,0.0075
90670,90671,90692,1,-1.2386859865706914,0.5,stop,5.7397588341209484,0.0075
90711,90712,90714,1,-1.143544178328378,1.25,stop,9.544100053057718,0.0075
90977,90978,91026,-1,1.3138231889711425,0.75,time,16.65368687634009,0.0075
91619,91620,91620,-1,-1.1951783766375152,0.5,stop,7.019220180032335,0.0075
91997,91998,92002,-1,2.8878409274064527,0.5,target,5.527863111411534,0.0075
92610,92611,92631,-1,-1.274314230509807,0.5,stop,4.994272435133553,0.0075
94130,94131,94179,1,1.8350281967526465,1.25,time,20.915209950407643,0.0075
94347,94348,94396,1,-0.46988756232258044,0.75,time,10.364181541491234,0.0075
94590,94591,94595,1,-1.1000526002047204,0.75,stop,13.692797560451254,0.0075
94950,94951,94952,1,-1.2187134930435044,0.75,stop,6.263902518933719,0.0075
95054,95055,95074,1,-1.1548645436629752,0.5,stop,8.846440686781534,0.0075
95219,95220,95248,1,-1.119992339206806,0.5,stop,11.41739555255117,0.0075
95398,95399,95404,1,-1.3969161386116797,0.5,stop,3.4516107225872474,0.0075
95682,95683,95710,1,2.886924150192484,0.5,target,5.483045239592684,0.0075
96120,96121,96135,-1,-1.3119261293244218,0.5,stop,4.392065528358216,0.0075
96517,96518,96521,1,-1.131536881745959,0.5,stop,10.41532976770668,0.0075
97153,97154,97158,-1,-1.0975798708647515,0.5,stop,14.039780826302376,0.0075
97531,97532,97539,1,-1.15560303926463,0.5,stop,8.80445527590291,0.0075
97731,97732,97780,1,-0.08844270459268463,0.5,time,12.663565696662772,0.0075
98093,98094,98096,1,-1.1443580030705869,0.5,stop,9.490294759273638,0.0075
98384,98385,98433,-1,0.8016898586437317,0.5,time,32.30675768284891,0.0075
98841,98842,98843,1,-1.0571673471007672,0.5,stop,23.96472933377754,0.0075
98893,98894,98901,-1,-1.0602460221211985,0.5,stop,22.740090577995943,0.0075
98995,98996,99044,-1,1.3422603409515745,1.25,time,52.80644733178269,0.0075
99649,99650,99698,-1,-0.17443088198815238,0.5,time,13.58704360711181,0.0075
99812,99813,99835,-1,2.940421588598187,0.75,target,10.406454039510209,0.0075
99842,99843,99857,-1,2.9741084805985905,0.5,target,23.946064747604396,0.0075
100117,100118,100119,-1,-1.0711013884399825,0.75,stop,19.268259453982864,0.0075
100211,100212,100260,1,1.4269828103548854,0.5,time,18.136168012818416,0.0075
100563,100564,100578,-1,-1.1280051043635688,0.5,stop,10.702698199509541,0.0075
100647,100648,100662,-1,-1.1463913740735472,0.75,stop,9.358474901066984,0.0075
100779,100780,100788,1,2.9136332411301424,0.5,target,7.178687820556661,0.0075
101283,101284,101287,-1,-1.2724302050866498,0.5,stop,5.028810955687732,0.0075
101742,101743,101772,1,-1.2522086696274783,0.5,stop,5.4320099385304275,0.0075
101792,101793,101841,1,0.39246463871962134,0.75,time,16.893241698487145,0.0075
101932,101933,101945,1,-1.2285849424302342,0.75,stop,5.99339565167611,0.0075
102243,102244,102292,-1,0.1411203588461065,1.25,time,13.18023859355344,0.0075
102440,102441,102489,-1,0.09684683330744664,0.75,time,16.830700027387138,0.0075
102786,102787,102793,1,2.8794014416979588,0.5,target,5.14102331511458,0.0075
102979,102980,103028,1,0.7829055314796072,0.5,time,16.796407064781306,0.0075
103421,103422,103422,-1,-1.313940210277967,0.5,stop,4.363888266453614,0.0075
103999,104000,104003,-1,2.9559826093026103,0.5,target,14.085341956372758,0.0075
104008,104009,104057,-1,-0.10862532359571099,0.5,time,31.02407328647132,0.0075
104529,104530,104538,1,-1.101830704801948,0.5,stop,13.45370242368972,0.0075
104729,104730,104732,1,-1.1091710741408662,0.75,stop,12.549111665167402,0.0075
104808,104809,104857,-1,0.2851821013836224,0.5,time,14.41184415171574,0.0075
105179,105180,105180,-1,-1.2908469036265502,0.75,stop,4.710381932616656,0.0075
106087,106088,106103,1,2.8974505155315438,0.75,target,6.04586169509912,0.0075
106185,106186,106200,1,-1.2633147540394523,0.75,stop,5.202898732346512,0.0075
106682,106683,106684,-1,2.8252487393189742,0.5,target,3.547900012759783,0.0075
107249,107250,107298,1,-0.7125262544236806,1.25,time,27.213032333361298,0.0075
107515,107516,107552,1,-1.165045140645744,1.0,stop,8.300759384007506,0.0075
107565,107566,107578,-1,2.9338898965436417,0.5,target,9.378294202932011,0.0075
107936,107937,107941,-1,-1.1153186377759206,0.75,stop,11.88012646023526,0.0075
107949,107950,107950,1,-1.1404863719450506,1.0,stop,9.751835576876147,0.0075
107955,107956,108004,-1,-0.37448676851226015,0.75,time,27.691232032569133,0.0075
108229,108230,108278,-1,1.0698713925136147,0.5,time,15.777597305729614,0.0075
108885,108886,108934,-1,-0.21385061011658352,0.75,time,16.927704803023516,0.0075
109138,109139,109157,1,2.9561114965629627,0.5,target,14.12670634553433,0.0075
109357,109358,109406,1,0.6564048572693449,0.75,time,18.098586365465053,0.0075
109519,109520,109531,-1,-1.117413473816882,0.5,stop,11.66816682501576,0.0075
109904,109905,109915,-1,-1.0660231178231419,0.75,stop,20.75030754636373,0.0075
109998,109999,110047,1,0.7643281364705501,0.5,time,19.49424506181913,0.0075
110175,110176,110183,1,-1.1776333794840803,0.5,stop,7.712514415809892,0.0075
110360,110361,110409,-1,1.7495005084958992,1.25,time,26.653321775876066,0.0075
111459,111460,111464,-1,2.8528331238755453,0.5,target,4.2129045361789395,0.0075
111828,111829,111829,1,-1.255188442553527,0.75,stop,5.36858168924573,0.0075
111925,111926,111931,-1,-1.054535943422934,0.75,stop,25.121047038197503,0.0075
112132,112133,112181,-1,0.04073668806970046,0.75,time,28.230080904780152,0.0075
112655,112656,112657,1,-1.1466894124024531,0.5,stop,9.339460684737787,0.0075
112894,112895,112924,1,-1.2257562520185772,1.0,stop,6.068491958695631,0.0075
113562,113563,113566,-1,-1.0413436281102595,0.5,stop,33.13690797397703,0.0075
113686,113687,113735,1,1.815295211719199,0.5,time,67.82918789467203,0.0075
114677,114678,114685,1,-1.0439880400302248,0.5,stop,31.144829345855214,0.0075
114852,114853,114874,1,-1.0561367155337078,0.75,stop,24.40470531585288,0.0075
115046,115047,115063,1,-1.14706392380804,0.5,stop,9.315676914674441,0.0075
115365,115366,115410,-1,2.9720009383921546,0.75,target,22.143599263565193,0.0075
115567,115568,115594,-1,-1.086144204711549,0.75,stop,15.903565475906362,0.0075
116459,116460,116508,-1,0.516481824053325,1.25,time,23.447098108817954,0.0075
116814,116815,116815,-1,-1.1435919331541564,0.5,stop,9.540925941356363,0.0075
116907,116908,116908,1,-1.1560952309934796,1.25,stop,8.776693504859395,0.0075
117388,117389,117437,-1,0.6220047578130136,1.25,time,25.932277522624645,0.0075
117647,117648,117696,1,0.24989123432739013,0.75,time,10.604613671756852,0.0075
118002,118003,118034,1,-1.1174231789287987,0.5,stop,11.667202442464259,0.0075
118487,118488,118536,1,0.7324306928587003,1.0,time,27.456522775567464,0.0075
118852,118853,118901,-1,1.9653051614561536,0.5,time,24.11839185568533,0.0075
119376,119377,119400,1,2.9289736247953666,0.5,target,8.729151645620732,0.0075
119470,119471,119477,1,-1.2148003786676282,0.75,stop,6.378014827058905,0.0075
119600,119601,119649,-1,-0.22502989097454412,0.5,time,19.419642346510955,0.0075
119825,119826,119874,-1,0.40348623465574157,0.5,time,15.7626195238754,0.0075
119921,119922,119928,1,-1.1207305902091922,1.0,stop,11.34757974450531,0.0075
120003,120004,120013,1,2.921102315891371,0.5,target,7.858278820280248,0.0075
120015,120016,120064,1,2.331872785351298,0.5,time,12.599315101820139,0.0075
120374,120375,120380,1,-1.119465867811023,0.75,stop,11.467710611428629,0.0075
120567,120568,120572,-1,2.958472371367285,0.75,target,14.9298195060328,0.0075
120865,120866,120872,-1,-1.1251991432500792,0.75,stop,10.942566893317235,0.0075
121118,121119,121122,1,-1.0638023842268751,0.75,stop,21.47255179568856,0.0075
121378,121379,121413,-1,-1.0637508842350183,1.25,stop,21.489898005955183,0.0075
122555,122556,122561,-1,-1.056861694461358,0.75,stop,24.093548617884153,0.0075
123489,123490,123491,-1,-1.1069536121822794,0.5,stop,12.809291542815117,0.0075
123587,123588,123589,-1,-1.1020058146889535,0.75,stop,13.430606913709198,0.0075
123721,123722,123766,1,2.9750465199430116,0.75,target,24.846233815245796,0.0075
124078,124079,124127,-1,2.043851413679382,0.5,time,22.080861503897722,0.0075
125296,125297,125320,1,-1.1225931902135724,0.75,stop,11.175172108771221,0.0075
125422,125423,125426,-1,-1.0479148632368913,0.5,stop,28.592380473397498,0.0075
125705,125706,125723,1,-1.05228046123501,1.0,stop,26.20481854285117,0.0075
126048,126049,126051,1,-1.1270252722527885,0.5,stop,10.785255372439678,0.0075
126332,126333,126368,-1,-1.0885023290048201,0.75,stop,15.479818615003751,0.0075
126605,126606,126627,1,2.9292227284697088,0.75,target,8.759874273122477,0.0075
126804,126805,126810,1,2.958268062337996,0.5,target,14.856726879578673,0.0075
126995,126996,127044,-1,1.9716124554028496,0.5,time,11.08737162828129,0.0075
127065,127066,127069,-1,2.889701073324996,1.0,target,5.621088243467966,0.0075
127754,127755,127755,1,-1.1488100723333636,0.75,stop,9.206366064596295,0.0075
127804,127805,127806,-1,-1.284834656263183,0.5,stop,4.809807970607835,0.0075
128378,128379,128384,1,-1.0745039672961978,1.25,stop,18.388282526666444,0.0075
129092,129093,129094,-1,-1.0789576553315416,0.75,stop,17.351072473560635,0.0075
129098,129099,129115,1,-1.0806429772332797,0.75,stop,16.98846008669716,0.0075
129346,129347,129364,1,-1.1380380237352068,0.5,stop,9.92480160849027,0.0075
129841,129842,129890,-1,0.8418100202111434,0.5,time,20.64598850420043,0.0075
129985,129986,130009,1,-1.1000425334853592,0.5,stop,13.694175389915472,0.0075
130864,130865,130913,-1,0.6948232307786193,1.0,time,24.682536852980775,0.0075
131672,131673,131692,-1,-1.1005094783866163,0.75,stop,13.630555266939155,0.0075
131742,131743,131746,-1,-1.1204164125251288,0.75,stop,11.377186641514527,0.0075
131933,131934,131982,-1,-0.2574269637545067,0.75,time,26.76487303237991,0.0075
132294,132295,132343,-1,0.03455892425168598,0.5,time,10.416990916087343,0.0075
133103,133104,133106,-1,-1.233434831557185,0.5,stop,5.868875655192824,0.0075
133258,133259,133307,-1,1.0842934049483843,1.25,time,68.82823381513845,0.0075
133495,133496,133544,1,2.3572092858572993,0.5,time,20.956985150359287,0.0075
133666,133667,133691,1,2.962045869657345,0.5,target,16.335508004071016,0.0075
135294,135295,135319,1,2.9160606667042623,0.75,target,7.386286924815067,0.0075
135699,135700,135748,1,0.7145710617209837,0.75,time,17.702927920890033,0.0075
135966,135967,135967,1,-1.1804704657149845,0.5,stop,7.591269821199603,0.0075
136401,136402,136426,1,2.9122036591060865,0.5,target,7.061797720581126,0.0075
136428,136429,136477,1,0.7740008617894552,0.5,time,9.832030396459231,0.0075
136903,136904,136952,-1,0.2216040183457605,1.25,time,6.227323900990086,0.0075
137001,137002,137050,-1,-0.7330026395579561,1.0,time,12.469259326968313,0.0075
137229,137230,137236,-1,-1.2355003586940554,1.25,stop,5.817400905872091,0.0075
137438,137439,137439,1,-1.1044099104152614,0.5,stop,13.121359788081463,0.0075
137445,137446,137447,1,-1.0531911533446072,0.5,stop,25.75616270480623,0.0075
137714,137715,137724,-1,2.880787438374202,0.5,target,5.200794207796207,0.0075
138601,138602,138618,1,-1.1210489859689532,0.5,stop,11.317732148135292,0.0075
139449,139450,139450,-1,-1.1752715857292357,0.75,stop,7.816440949626667,0.0075
139524,139525,139546,1,-1.2039282902499264,0.5,stop,6.718047791804565,0.0075
139898,139899,139913,1,-1.2349004703099378,0.5,stop,5.832257373484026,0.0075
140911,140912,140924,-1,-1.1263704822377933,0.5,stop,10.841139289332204,0.0075
141018,141019,141042,-1,-1.1140886251958166,0.5,stop,12.008208510257646,0.0075
143048,143049,143097,1,1.745025423728388,0.75,time,27.16292803271972,0.0075
143456,143457,143475,-1,-1.191088363025205,1.0,stop,7.169458036642936,0.0075
144120,144121,144127,-1,-1.1119870553005622,0.75,stop,12.233556783175118,0.0075
144666,144667,144668,-1,-1.155811910536587,0.5,stop,8.792652598135646,0.0075
144692,144693,144741,-1,0.13606399542623815,1.25,time,22.856891643208655,0.0075
146573,146574,146622,-1,0.016369378995335696,0.5,time,7.941657410280641,0.0075
146769,146770,146784,1,-1.0904219914305393,0.75,stop,15.151181458466453,0.0075
148921,148922,148923,-1,-1.1233904008520563,0.75,stop,11.102970656871548,0.0075
149692,149693,149736,1,2.8743709008929508,0.5,target,4.935162350178871,0.0075
150189,150190,150194,1,-1.2887189791678775,0.75,stop,4.745098517418228,0.0075
150559,150560,150563,1,-1.1040771403355643,0.5,stop,13.163313246144753,0.0075
151023,151024,151072,1,0.5006462694385814,1.0,time,12.743528493989288,0.0075
151117,151118,151166,-1,0.5651448694345993,1.25,time,21.87049846593345,0.0075
151303,151304,151304,1,-1.1182617762430442,0.5,stop,11.584470008166136,0.0075
152016,152017,152065,1,0.5100309315148771,0.5,time,11.528712547953546,0.0075
153000,153001,153026,1,-1.4756208596357114,0.75,stop,2.880445573916404,0.0075
153127,153128,153129,-1,2.886294932625627,1.0,target,5.452703334308353,0.0075
153298,153299,153347,1,1.168791630540241,0.75,time,8.025382587368767,0.0075
153822,153823,153850,1,2.858793477290098,0.5,target,4.390732015076537,0.0075
154875,154876,154924,-1,-0.23810867024822072,1.25,time,16.253083081626755,0.0075
