sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
72803,72804,72812,1,-1.2752581290181222,0.5,stop,4.977146378517318,0.004
72842,72843,73000,-1,-1.1023277564691427,1.25,stop,13.388351775435694,0.004
73193,73194,73284,-1,1.4236432986010024,0.75,target,8.119785017433514,0.004
73764,73765,73766,-1,-1.0687690648649895,0.5,stop,19.921748284488785,0.004
73821,73822,73828,1,-1.4659711680520322,0.5,stop,2.9400960701650547,0.004
74450,74451,74464,1,-1.1845478419067699,0.5,stop,7.423549285892477,0.004
74858,74859,74861,1,1.422900773248254,0.5,target,8.041585189908346,0.004
74930,74931,74931,1,-1.3038506764818312,0.5,stop,4.508793647796665,0.004
75479,75480,75480,1,-1.211709050393949,0.5,stop,6.471145175185939,0.004
75496,75497,75501,-1,1.4191893271598472,1.0,target,7.672253901735985,0.004
75717,75718,75751,1,1.4249270055117387,0.5,target,8.258628874817532,0.004
75859,75860,75913,-1,1.4623248580547172,0.75,target,16.456474162743234,0.004
76037,76038,76047,-1,1.4752784039168205,0.75,target,25.079286867793144,0.004
76275,76276,76286,-1,-1.1176250012275446,0.5,stop,11.647183725420291,0.004
77037,77038,77042,1,1.4031079784042764,0.5,target,6.398875674064129,0.004
77227,77228,77228,-1,-1.4251311257103794,0.5,stop,3.222535159501149,0.004
77841,77842,77847,-1,-1.2483999645342472,0.75,stop,5.515298694058856,0.004
77945,77946,77946,1,-1.1916068529689188,0.5,stop,7.150057415859919,0.004
77948,77949,77951,-1,-1.0952679197934787,0.75,stop,14.380496634857536,0.004
78106,78107,78109,-1,1.3085997354303929,0.5,target,3.239284968566608,0.004
78130,78131,78134,-1,-1.166686489455086,0.5,stop,8.219022456341008,0.004
78286,78287,78315,-1,-1.1540758394857231,0.5,stop,8.89172503990767,0.004
80197,80198,80253,1,1.416149707268105,0.5,target,7.394130417435463,0.004
80897,80898,80898,1,-1.2588947633170053,0.5,stop,5.291725419422619,0.004
81213,81214,81221,-1,-1.0440475677507335,1.0,stop,31.102738924266305,0.004
81544,81545,81565,1,1.4047614259303987,0.5,target,6.509967269636945,0.004
82699,82700,82774,1,-1.053522243911052,0.75,stop,25.596834136415964,0.004
83524,83525,83540,1,1.4518963486852878,1.0,target,12.888834486678661,0.004
84058,84059,84251,1,-1.1178377972657005,0.5,stop,11.62615079193074,0.004
84172,84173,84351,-1,-1.1048479346734212,0.75,stop,13.066542552957799,0.004
84256,84257,84356,1,1.4493537814125848,1.25,target,12.241782650162804,0.004
84324,84325,84325,1,-1.465320539841823,0.5,stop,2.9442070201021124,0.004
84334,84335,84344,-1,1.4110139534563129,0.5,target,6.967384484213653,0.004
84717,84718,84798,1,-1.1541101465849586,0.75,stop,8.889745616098935,0.004
84826,84827,84831,1,1.4047193281732797,1.0,target,6.5070909777750785,0.004
85185,85186,85288,1,-1.1235265924837103,0.75,stop,11.090729311428731,0.004
85189,85190,85288,-1,1.438530859019907,1.0,target,10.086361873851274,0.004
85246,85247,85274,1,-1.3776918561224123,0.5,stop,3.627295579166457,0.004
85290,85291,85291,-1,-1.2342651098363644,0.5,stop,5.848075289388817,0.004
85524,85525,85525,1,-1.2935189497308506,0.5,stop,4.667501029341565,0.004
85562,85563,85642,-1,-1.1080728116950505,0.5,stop,12.676638818889387,0.004
85664,85665,85666,1,-1.1315580749819103,1.25,stop,10.413651919035601,0.004
85924,85925,85945,1,1.4288741746640152,0.75,target,8.716946300045947,0.004
86699,86700,86701,1,-1.4794163260530953,0.5,stop,2.8576415227216785,0.004
86738,86739,86742,-1,-1.2034647869110568,0.5,stop,6.733351853158183,0.004
86821,86822,86822,1,-1.371596660045545,0.5,stop,3.6867930939747566,0.004
87020,87021,87090,-1,-1.052416637826761,1.25,stop,26.136739340815893,0.004
87071,87072,87077,1,1.3301407303370525,0.5,target,3.6500804532483926,0.004
87106,87107,87162,1,-1.1359137510444244,0.75,stop,10.079921931903755,0.004
87850,87851,87859,-1,-1.126432749353139,1.25,stop,10.835800115154143,0.004
87918,87919,87924,-1,-1.151389621516195,0.75,stop,9.049497490509566,0.004
88498,88499,88500,-1,-1.1737026759481788,0.5,stop,7.88704026879077,0.004
89049,89050,89068,1,1.4277065603514336,0.5,target,8.576158542375651,0.004
89518,89519,89520,1,1.3594380386274023,0.5,target,4.410866168527264,0.004
89879,89880,89946,-1,1.3655169415391482,1.25,target,4.610246131338954,0.004
89900,89901,89953,-1,1.3832871862084095,1.0,target,5.312184496786358,0.004
90066,90067,90180,-1,-1.133567383480876,1.0,stop,10.25699511584844,0.004
90608,90609,90614,1,-1.105279447302162,0.75,stop,13.012986248569177,0.004
90670,90671,90682,1,1.3919815243256726,0.5,target,5.7397588341209484,0.004
90711,90712,90714,1,-1.143544178328378,1.25,stop,9.544100053057718,0.004
90977,90978,91001,-1,1.4627710065282535,0.75,target,16.65368687634009,0.004
91619,91620,91620,-1,-1.1951783766375152,0.5,stop,7.019220180032335,0.004
91997,91998,91999,-1,1.3878409274064525,0.5,target,5.527863111411534,0.004
92610,92611,92621,-1,1.3758577934919578,0.5,target,4.994272435133553,0.004
94130,94131,94143,1,1.47035650125101,1.25,target,20.915209950407643,0.004
94347,94348,94401,1,-1.1321860288258594,0.75,stop,10.364181541491234,0.004
94590,94591,94595,1,-1.1000526002047204,0.75,stop,13.692797560451254,0.004
94950,94951,94952,1,-1.2187134930435044,0.75,stop,6.263902518933719,0.004
95054,95055,95059,1,1.9299153160065365,0.5,target,8.846440686781534,0.004
95219,95220,95248,1,-1.119992339206806,0.5,stop,11.41739555255117,0.004
95398,95399,95404,1,-1.3969161386116797,0.5,stop,3.4516107225872474,0.004
95682,95683,95705,1,1.8869241501924838,0.5,target,5.483045239592684,0.004
96120,96121,96135,-1,-1.3119261293244218,0.5,stop,4.392065528358216,0.004
96517,96518,96521,1,-1.131536881745959,0.5,stop,10.41532976770668,0.004
97153,97154,97158,-1,-1.0975798708647515,0.5,stop,14.039780826302376,0.004
97531,97532,97539,1,-1.15560303926463,0.5,stop,8.80445527590291,0.004
97731,97732,97822,1,1.9510406456719067,0.5,target,12.663565696662772,0.004
98093,98094,98096,1,-1.1443580030705869,0.5,stop,9.490294759273638,0.004
98384,98385,98481,-1,-0.37453464438566175,0.5,time,32.30675768284891,0.004
98841,98842,98843,1,-1.0571673471007672,0.5,stop,23.96472933377754,0.004
98893,98894,98901,-1,-1.0602460221211985,0.5,stop,22.740090577995943,0.004
98995,98996,99092,-1,1.4558828303097777,1.25,time,52.80644733178269,0.004
99649,99650,99728,-1,1.9543682924756731,0.5,target,13.58704360711181,0.004
99812,99813,99814,-1,1.9404215885981868,0.75,target,10.406454039510209,0.004
99842,99843,99854,-1,1.974108480598591,0.5,target,23.946064747604396,0.004
100117,100118,100119,-1,-1.0711013884399825,0.75,stop,19.268259453982864,0.004
100211,100212,100230,1,1.9658141676035539,0.5,target,18.136168012818416,0.004
100563,100564,100578,-1,-1.1280051043635688,0.5,stop,10.702698199509541,0.004
100647,100648,100662,-1,-1.1463913740735472,0.75,stop,9.358474901066984,0.004
100779,100780,100783,1,1.9136332411301427,0.5,target,7.178687820556661,0.004
101283,101284,101287,-1,-1.2724302050866498,0.5,stop,5.028810955687732,0.004
101742,101743,101772,1,-1.2522086696274783,0.5,stop,5.4320099385304275,0.004
101792,101793,101889,1,-0.4362691383655519,0.75,time,16.893241698487145,0.004
101932,101933,101945,1,-1.2285849424302342,0.75,stop,5.99339565167611,0.004
102243,102244,102334,-1,1.95295988038462,1.25,target,13.18023859355344,0.004
102252,102253,102335,-1,1.9638113701262148,1.25,target,17.13245298764741,0.004
102440,102441,102508,-1,1.9631625542020756,0.75,target,16.830700027387138,0.004
102786,102787,102793,1,1.8794014416979588,0.5,target,5.14102331511458,0.004
102979,102980,103076,1,-0.05060606097013705,0.5,time,16.796407064781306,0.004
103421,103422,103422,-1,-1.313940210277967,0.5,stop,4.363888266453614,0.004
103999,104000,104003,-1,1.9559826093026098,0.5,target,14.085341956372758,0.004
104008,104009,104105,-1,0.14182534831488894,0.5,time,31.02407328647132,0.004
104529,104530,104538,1,-1.101830704801948,0.5,stop,13.45370242368972,0.004
104729,104730,104732,1,-1.1091710741408662,0.75,stop,12.549111665167402,0.004
104808,104809,104810,-1,1.956979828988354,0.5,target,14.41184415171574,0.004
105179,105180,105180,-1,-1.2908469036265502,0.75,stop,4.710381932616656,0.004
106087,106088,106090,1,1.8974505155315442,0.75,target,6.04586169509912,0.004
106185,106186,106200,1,-1.2633147540394523,0.75,stop,5.202898732346512,0.004
106682,106683,106684,-1,1.825248739318974,0.5,target,3.547900012759783,0.004
