sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
72021,72022,72048,1,-1.0444311323527502,0.75,stop,5.064016784752994,0.0075
72098,72099,72107,-1,-1.0751196700593533,0.5,stop,2.995220823282807,0.0075
72451,72452,72470,-1,3.0,0.5,target,3.3635133785073776,0.0075
72651,72652,72700,-1,1.1525351308497673,0.5,time,5.257974215095828,0.0075
72838,72839,72849,1,-1.0672719786036395,0.75,stop,3.344631816548599,0.0075
73033,73034,73034,1,-1.0429489044582327,0.5,stop,5.238783220156847,0.0075
73124,73125,73127,1,-1.0406724667331975,0.5,stop,5.531997886330828,0.0075
73130,73131,73179,-1,-0.15846418314775676,1.0,time,5.742622603564087,0.0075
73947,73948,73953,1,-1.0574264927804775,0.5,stop,3.918052263090658,0.0075
74426,74427,74475,-1,0.05545265608712384,1.0,time,10.820040775999132,0.0075
74555,74556,74573,-1,-1.080746027997755,0.75,stop,2.7865147745244485,0.0075
74602,74603,74603,-1,-1.0844835056028304,1.0,stop,2.6632417581920436,0.0075
74646,74647,74673,1,-1.0889518794786441,0.5,stop,2.5294575147670457,0.0075
74689,74690,74691,-1,-1.100106694325816,0.5,stop,2.2476019362661646,0.0075
74761,74762,74764,1,-1.1032325504644602,0.5,stop,2.1795451045973095,0.0075
74785,74786,74786,1,-1.1028373404575909,0.5,stop,2.187921225877062,0.0075
75066,75067,75115,1,1.0908845259720077,1.0,time,6.700984225151387,0.0075
75228,75229,75243,-1,-1.0953884271640126,0.5,stop,2.3587767058265854,0.0075
75981,75982,75998,1,-1.0694830163441202,0.5,stop,3.2382013884598564,0.0075
76000,76001,76001,-1,-1.0682386787332028,1.25,stop,3.2972502424850063,0.0075
76181,76182,76230,-1,1.3161588251856198,0.75,time,9.489736163292264,0.0075
76284,76285,76333,1,0.4398857728703656,0.75,time,9.911664047577688,0.0075
76464,76465,76467,1,-1.0616519915703966,0.5,stop,3.6495171407884754,0.0075
77575,77576,77624,1,0.11216030308906591,0.5,time,6.062751091714745,0.0075
77668,77669,77717,-1,-0.7946937178802058,0.5,time,6.2539817393510475,0.0075
77774,77775,77823,-1,0.8232785040950735,0.75,time,5.69673564495065,0.0075
78868,78869,78883,-1,-1.081894197072392,0.5,stop,2.747447414387807,0.0075
79578,79579,79580,-1,-1.045207104420184,1.0,stop,4.977093819338961,0.0075
79620,79621,79631,-1,3.0,0.5,target,6.725586296797019,0.0075
79911,79912,79919,-1,3.0,0.5,target,8.348179187482174,0.0075
80006,80007,80055,-1,0.30042908673091456,1.0,time,6.9900022759156855,0.0075
80457,80458,80460,1,-1.0677600798868268,0.5,stop,3.320539178461786,0.0075
81024,81025,81073,-1,1.3934707582003298,0.75,time,7.21220731820722,0.0075
81270,81271,81297,-1,3.0,0.5,target,6.075951687531415,0.0075
81579,81580,81584,1,-1.0209202924097796,0.5,stop,10.755107796424909,0.0075
81671,81672,81720,-1,-0.1381512823649382,0.5,time,6.659366342829799,0.0075
81759,81760,81808,-1,0.7025976448145586,0.75,time,6.604064266718069,0.0075
82003,82004,82017,-1,-1.05660018556033,0.5,stop,3.9752519849971577,0.0075
82025,82026,82074,1,0.9793983338350849,0.5,time,7.085983057399062,0.0075
82489,82490,82538,1,-0.5058937024557956,0.75,time,8.440508310879522,0.0075
82540,82541,82561,-1,3.0,0.5,target,2.2334047760568865,0.0075
82567,82568,82568,-1,-1.0626406889765847,0.5,stop,3.591914515563758,0.0075
82571,82572,82598,1,3.0,1.25,target,7.879715723042182,0.0075
83003,83004,83008,-1,-1.0678443168218026,0.5,stop,3.3164163269693745,0.0075
83236,83237,83285,-1,-0.4281439438409924,0.5,time,4.46111647140151,0.0075
83706,83707,83717,1,-1.0333220245062484,1.0,stop,6.7522908146747795,0.0075
83768,83769,83779,-1,-1.0306634549718499,0.5,stop,7.337724995649296,0.0075
84123,84124,84139,-1,-1.025183546489378,0.5,stop,8.93440485416977,0.0075
84816,84817,84825,1,-1.0361368997442686,0.5,stop,6.226322722540544,0.0075
84830,84831,84844,1,3.0,0.75,target,8.889575470879208,0.0075
