sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
72021,72022,72048,1,-1.0444311323527502,0.75,stop,5.064016784752994,0.0025
72098,72099,72107,-1,-1.0751196700593533,0.5,stop,2.995220823282807,0.0025
72451,72452,72493,-1,4.0,0.5,target,3.3635133785073776,0.0025
72651,72652,72813,-1,-1.042792145947374,0.5,stop,5.257974215095828,0.0025
72838,72839,72849,1,-1.0672719786036395,0.75,stop,3.344631816548599,0.0025
73033,73034,73034,1,-1.0429489044582327,0.5,stop,5.238783220156847,0.0025
73124,73125,73127,1,-1.0406724667331975,0.5,stop,5.531997886330828,0.0025
73130,73131,73187,-1,-1.0391807046244457,1.0,stop,5.742622603564087,0.0025
73947,73948,73953,1,-1.0574264927804775,0.5,stop,3.918052263090658,0.0025
74426,74427,74603,-1,-1.0207947460326583,1.0,stop,10.820040775999132,0.0025
74602,74603,74603,-1,-1.0844835056028304,1.0,stop,2.6632417581920436,0.0025
74646,74647,74673,1,-1.0889518794786441,0.5,stop,2.5294575147670457,0.0025
74689,74690,74691,-1,-1.100106694325816,0.5,stop,2.2476019362661646,0.0025
74761,74762,74764,1,-1.1032325504644602,0.5,stop,2.1795451045973095,0.0025
74785,74786,74786,1,-1.1028373404575909,0.5,stop,2.187921225877062,0.0025
75066,75067,75252,1,-1.0335771570921473,1.0,stop,6.700984225151387,0.0025
75981,75982,75998,1,-1.0694830163441202,0.5,stop,3.2382013884598564,0.0025
76000,76001,76001,-1,-1.0682386787332028,1.25,stop,3.2972502424850063,0.0025
76181,76182,76374,-1,2.048529028151188,0.75,time,9.489736163292264,0.0025
76464,76465,76467,1,-1.0616519915703966,0.5,stop,3.6495171407884754,0.0025
77575,77576,77663,1,-1.0371118649926747,0.5,stop,6.062751091714745,0.0025
77668,77669,77861,-1,1.4342862473613551,0.5,time,6.2539817393510475,0.0025
78868,78869,78883,-1,-1.081894197072392,0.5,stop,2.747447414387807,0.0025
79578,79579,79580,-1,-1.045207104420184,1.0,stop,4.977093819338961,0.0025
79620,79621,79720,-1,-1.0334543324657157,0.5,stop,6.725586296797019,0.0025
79911,79912,80104,-1,0.6444519073174032,0.5,time,8.348179187482174,0.0025
80457,80458,80460,1,-1.0677600798868268,0.5,stop,3.320539178461786,0.0025
81024,81025,81110,-1,4.0,0.75,target,7.21220731820722,0.0025
81270,81271,81306,-1,4.0,0.5,target,6.075951687531415,0.0025
81579,81580,81584,1,-1.0209202924097796,0.5,stop,10.755107796424909,0.0025
81671,81672,81864,-1,-0.2913190084652188,0.5,time,6.659366342829799,0.0025
82003,82004,82017,-1,-1.05660018556033,0.5,stop,3.9752519849971577,0.0025
82025,82026,82119,1,4.0,0.5,target,7.085983057399062,0.0025
82489,82490,82561,1,-1.0266571623073804,0.75,stop,8.440508310879522,0.0025
82567,82568,82568,-1,-1.0626406889765847,0.5,stop,3.591914515563758,0.0025
82571,82572,82680,1,-1.028554329611404,1.25,stop,7.879715723042182,0.0025
83003,83004,83008,-1,-1.0678443168218026,0.5,stop,3.3164163269693745,0.0025
83236,83237,83334,-1,4.0,0.5,target,4.46111647140151,0.0025
83706,83707,83717,1,-1.0333220245062484,1.0,stop,6.7522908146747795,0.0025
83768,83769,83779,-1,-1.0306634549718499,0.5,stop,7.337724995649296,0.0025
84123,84124,84139,-1,-1.025183546489378,0.5,stop,8.93440485416977,0.0025
84816,84817,84825,1,-1.0361368997442686,0.5,stop,6.226322722540544,0.0025
84830,84831,84873,1,4.0,0.75,target,8.889575470879208,0.0025
85123,85124,85158,-1,-1.124415702027864,0.5,stop,1.8084534052584331,0.0025
85233,85234,85273,-1,-1.0804417111256972,0.75,stop,2.7970563635615235,0.0025
85626,85627,85632,1,-1.0526212892525708,0.5,stop,4.275835943888751,0.0025
86118,86119,86162,-1,-1.0398465906653807,0.5,stop,5.646656244429778,0.0025
86168,86169,86205,1,-1.0293787256773999,0.75,stop,7.658603115416781,0.0025
86231,86232,86305,-1,4.0,0.75,target,4.61322036801289,0.0025
87414,87415,87607,-1,1.6898969024413495,0.5,time,6.680880936399035,0.0025
87745,87746,87797,-1,-1.0507125170289475,0.75,stop,4.436774452971349,0.0025
88074,88075,88117,1,-1.0284753290420316,0.5,stop,7.901576823494906,0.0025
88413,88414,88586,1,-1.0283188033148443,1.25,stop,7.945250987423151,0.0025
90184,90185,90189,1,-1.0456902274355493,0.5,stop,4.924466622918317,0.0025
