sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
72098,72099,72107,-1,-1.0751196700593533,0.5,stop,2.995220823282807,0.004
72651,72652,72655,-1,2.0,0.5,target,5.257974215095828,0.004
72838,72839,72849,1,-1.0672719786036395,0.75,stop,3.344631816548599,0.004
73841,73842,73861,-1,2.0,0.5,target,3.9040994820979904,0.004
74646,74647,74673,1,-1.0889518794786441,0.5,stop,2.5294575147670457,0.004
74785,74786,74786,1,-1.1028373404575909,0.5,stop,2.187921225877062,0.004
74805,74806,74958,1,-1.0260261831285047,1.25,stop,8.645140122505381,0.004
75251,75252,75252,1,-1.0472302848724568,0.75,stop,4.763892502607405,0.004
75981,75982,75992,1,2.0,0.5,target,3.2382013884598564,0.004
76181,76182,76254,-1,2.0,0.75,target,9.489736163292264,0.004
76464,76465,76467,1,-1.0616519915703966,0.5,stop,3.6495171407884754,0.004
77575,77576,77663,1,-1.0371118649926747,0.5,stop,6.062751091714745,0.004
77774,77775,77853,-1,2.0,0.75,target,5.69673564495065,0.004
78868,78869,78883,-1,-1.081894197072392,0.5,stop,2.747447414387807,0.004
79620,79621,79630,-1,2.0,0.5,target,6.725586296797019,0.004
80457,80458,80460,1,-1.0677600798868268,0.5,stop,3.320539178461786,0.004
81024,81025,81085,-1,2.0,0.75,target,7.21220731820722,0.004
81270,81271,81274,-1,2.0,0.5,target,6.075951687531415,0.004
81579,81580,81582,1,2.0,0.5,target,10.755107796424909,0.004
82003,82004,82017,-1,-1.05660018556033,0.5,stop,3.9752519849971577,0.004
82025,82026,82088,1,2.0,0.5,target,7.085983057399062,0.004
82281,82282,82282,-1,-1.0531499526853327,0.75,stop,4.233305744070776,0.004
82540,82541,82545,-1,2.0,0.5,target,2.2334047760568865,0.004
82567,82568,82568,-1,-1.0626406889765847,0.5,stop,3.591914515563758,0.004
82586,82587,82592,-1,-1.0321095452387021,0.75,stop,7.007262118702101,0.004
83241,83242,83300,1,-1.054068623792356,1.0,stop,4.161378341420232,0.004
83768,83769,83779,-1,-1.0306634549718499,0.5,stop,7.337724995649296,0.004
84816,84817,84825,1,-1.0361368997442686,0.5,stop,6.226322722540544,0.004
85123,85124,85136,-1,2.0,0.5,target,1.8084534052584331,0.004
85140,85141,85158,-1,-1.0384253072910485,0.75,stop,5.855515957118314,0.004
85626,85627,85632,1,-1.0526212892525708,0.5,stop,4.275835943888751,0.004
86118,86119,86162,-1,-1.0398465906653807,0.5,stop,5.646656244429778,0.004
86230,86231,86361,-1,2.0,0.75,target,12.900638886168963,0.004
86299,86300,86305,1,-1.0242872291559966,0.5,stop,9.264128013728396,0.004
87181,87182,87230,1,-1.0299134573839597,0.5,stop,7.521698248112216,0.004
89727,89728,89824,-1,2.0,0.75,target,6.520009226216416,0.004
90184,90185,90189,1,-1.0456902274355493,0.5,stop,4.924466622918317,0.004
91565,91566,91690,1,-1.047961843589448,0.5,stop,4.691229176382421,0.004
